id,Name,id_similar,Name_similar,Intersection_size,Intersection,ngram Similarity,Similar
fre000016,andrieux-moliere-et-ses-amis,fre000207,cadet-gassicourt-souper-de-moliere,7,"[""laforet"", ""chapelle"", ""moliere"", ""mignard"", ""lulli"", ""lafontaine"", ""tous""]",0.0031817110534998823,False
fre000017,anonyme-adam,fre000039,anonyme-vierges-folles-vierges-sages,6,"[""moise"", ""david"", ""daniel"", ""jeremie"", ""isaie"", ""nabuchodonosor""]",0.00029866348092287017,False
fre000023,anonyme-deroute-des-precieuses,fre001159,pure-deroute-des-precieuses,7,"[""lamour"", ""lecolporteurcriant"", ""colporteurportant"", ""precieuses"", ""lepoete"", ""lesgalants"", ""hymen""]",0.9929577464788732,True
fre000045,archambault-ce-n-est-pas,fre000049,archambault-janot-battus,6,"[""janot"", ""dodinet"", ""ragot"", ""simon"", ""madameragot"", ""suzon""]",0.04701250578971746,False
fre000059,aubignac-pucelle,fre000060,aubignac-pucelle-prose,12,"[""lange"", ""lapucelle"", ""legarde"", ""lecomte"", ""leduc"", ""aronte"", ""lacomtesse"", ""dalinde"", ""canchon"", ""mide"", ""lebaron"", ""unsoldat""]",0.019377900413896903,False
fre000075,barante-arlequin-misanthrope,fre000122,biancolelli-ecole-galante,8,"[""arlequin"", ""octave"", ""scaramouche"", ""ledocteur"", ""leandre"", ""pierrot"", ""lachanteuse"", ""mezzetin""]",0.003156847270356518,False
fre000075,barante-arlequin-misanthrope,fre000127,biancollelli-arlequin-gentilhomme,9,"[""arlequin"", ""colombine"", ""octave"", ""scaramouche"", ""ledocteur"", ""leandre"", ""pierrot"", ""lachanteuse"", ""mezzetin""]",0.005345529058889912,False
fre000075,barante-arlequin-misanthrope,fre000128,biancollelli-foire-galante,6,"[""arlequin"", ""colombine"", ""scaramouche"", ""ledocteur"", ""pierrot"", ""lachanteuse""]",0.000927256711020446,False
fre000075,barante-arlequin-misanthrope,fre000540,dufresny-depart-des-comediens,7,"[""arlequin"", ""colombine"", ""octave"", ""leandre"", ""pierrot"", ""lachanteuse"", ""mezzetin""]",0.004517710385927813,False
fre000075,barante-arlequin-misanthrope,fre001032,mongin-promenades-de-paris,7,"[""arlequin"", ""colombine"", ""octave"", ""scaramouche"", ""leandre"", ""pierrot"", ""mezzetin""]",0.007292616226071103,False
fre000122,biancolelli-ecole-galante,fre000127,biancollelli-arlequin-gentilhomme,8,"[""arlequin"", ""pierrot"", ""octave"", ""leandre"", ""scaramouche"", ""ledocteur"", ""lachanteuse"", ""mezzetin""]",0.01023308698123934,False
fre000122,biancolelli-ecole-galante,fre000540,dufresny-depart-des-comediens,6,"[""arlequin"", ""pierrot"", ""octave"", ""leandre"", ""lachanteuse"", ""mezzetin""]",0.0015708862416546668,False
fre000122,biancolelli-ecole-galante,fre001032,mongin-promenades-de-paris,6,"[""arlequin"", ""pierrot"", ""octave"", ""leandre"", ""scaramouche"", ""mezzetin""]",0.002382181283995712,False
fre000127,biancollelli-arlequin-gentilhomme,fre000128,biancollelli-foire-galante,6,"[""colombine"", ""pierrot"", ""arlequin"", ""ledocteur"", ""scaramouche"", ""lachanteuse""]",0.0018473505104521148,False
fre000127,biancollelli-arlequin-gentilhomme,fre000533,dufresny-regnard-chinois,6,"[""colombine"", ""pierrot"", ""arlequin"", ""octave"", ""mezzetin"", ""isabelle""]",0.003548013883532588,False
fre000127,biancollelli-arlequin-gentilhomme,fre000540,dufresny-depart-des-comediens,7,"[""colombine"", ""pierrot"", ""arlequin"", ""leandre"", ""octave"", ""mezzetin"", ""lachanteuse""]",0.002120355411954766,False
fre000127,biancollelli-arlequin-gentilhomme,fre001032,mongin-promenades-de-paris,7,"[""colombine"", ""pierrot"", ""arlequin"", ""scaramouche"", ""leandre"", ""octave"", ""mezzetin""]",0.004038092674226873,False
fre000127,biancollelli-arlequin-gentilhomme,fre001203,regnard-arlequin-bonnes-fortunes,6,"[""colombine"", ""pierrot"", ""arlequin"", ""ledocteur"", ""mezzetin"", ""isabelle""]",0.01152717619114154,False
fre000127,biancollelli-arlequin-gentilhomme,fre001207,regnard-coquette,6,"[""colombine"", ""pierrot"", ""arlequin"", ""octave"", ""mezzetin"", ""isabelle""]",0.008904263156208961,False
fre000157,boissy-dehors-trompeurs,fre000160,boissy-homme-du-jour,9,"[""lisette"", ""celiante"", ""lacomtesse"", ""lemarquis"", ""lebaron"", ""champagne"", ""lucile"", ""monsieurdeforlis"", ""lelaquais""]",0.5559843573119275,True
