VALEUR,#cassandre,#sostene,#antigone,#hermas,#olympie,#l-hierophante,#une-pretresse,#statira,#le-pretre,#la-pretresse,#la-pretresse-inferieure,#tous-ensemble,#les-pretres
Fréquences (scènes),0.4375,0.125,0.34375,0.15625,0.5625,0.28125,0.03125,0.25,0.03125,0.03125,0.03125,0.03125,0.03125
Fréquences(répliques),0.22007042253521128,0.03286384976525822,0.1772300469483568,0.03990610328638498,0.2130281690140845,0.142018779342723,0.0029342723004694834,0.1613849765258216,0.008215962441314555,0.0005868544600938967,0.0005868544600938967,0.0005868544600938967,0.0005868544600938967
Confrontation,0.17424242424242425,0.03787878787878788,0.15151515151515152,0.045454545454545456,0.21212121212121213,0.12878787878787878,0.007575757575757576,0.08333333333333333,0.007575757575757576,0.015151515151515152,0.045454545454545456,0.045454545454545456,0.045454545454545456
Déviations,#cassandre,#sostene,#antigone,#hermas,#olympie,#l-hierophante,#une-pretresse,#statira,#le-pretre,#la-pretresse,#la-pretresse-inferieure,#tous-ensemble,#les-pretres
#cassandre,10.125,2.892857142857143,0.007305194805194805,2.1875,0.09722222222222222,0.22321428571428573,0.4375,1.7857142857142858,0.4375,0.4375,0.7232142857142857,0.7232142857142857,0.7232142857142857
#sostene,2.892857142857143,24.5,1.375,0.625,0.6944444444444444,1.125,0.125,1.0,0.125,0.125,0.125,0.125,0.125
#antigone,0.007305194805194805,1.375,13.78125,6.264204545454546,0.7733585858585859,0.38667929292929293,0.34375,1.1136363636363635,0.34375,0.34375,1.2528409090909092,1.2528409090909092,1.2528409090909092
#hermas,2.1875,0.625,6.264204545454546,22.78125,1.1680555555555556,1.40625,0.15625,1.25,0.15625,0.15625,0.15625,0.15625,0.15625
#olympie,0.09722222222222222,0.6944444444444444,0.7733585858585859,1.1680555555555556,6.125,0.22299382716049382,0.5625,1.3888888888888888,0.5625,0.3402777777777778,0.3402777777777778,0.3402777777777778,0.3402777777777778
#l-hierophante,0.22321428571428573,1.125,0.38667929292929293,1.40625,0.22299382716049382,16.53125,1.8368055555555556,0.027777777777777776,1.8368055555555556,1.8368055555555556,1.8368055555555556,1.8368055555555556,1.8368055555555556
#une-pretresse,0.4375,0.125,0.34375,0.15625,0.5625,1.8368055555555556,30.03125,0.25,0.03125,0.03125,0.03125,0.03125,0.03125
#statira,1.7857142857142858,1.0,1.1136363636363635,1.25,1.3888888888888888,0.027777777777777776,0.25,18.0,0.25,0.25,0.25,0.25,0.25
#le-pretre,0.4375,0.125,0.34375,0.15625,0.5625,1.8368055555555556,0.03125,0.25,30.03125,0.03125,0.03125,0.03125,0.03125
#la-pretresse,0.4375,0.125,0.34375,0.15625,0.3402777777777778,1.8368055555555556,0.03125,0.25,0.03125,30.03125,0.03125,0.03125,0.03125
#la-pretresse-inferieure,0.7232142857142857,0.125,1.2528409090909092,0.15625,0.3402777777777778,1.8368055555555556,0.03125,0.25,0.03125,0.03125,30.03125,30.03125,30.03125
#la-pretresse-inferieure,0.7232142857142857,0.125,1.2528409090909092,0.15625,0.3402777777777778,1.8368055555555556,0.03125,0.25,0.03125,0.03125,30.03125,30.03125,30.03125
#la-pretresse-inferieure,0.7232142857142857,0.125,1.2528409090909092,0.15625,0.3402777777777778,1.8368055555555556,0.03125,0.25,0.03125,0.03125,30.03125,30.03125,30.03125
Successions,#cassandre,#sostene,#antigone,#hermas,#olympie,#l-hierophante,#une-pretresse,#statira,#le-pretre,#la-pretresse,#la-pretresse-inferieure,#tous-ensemble,#les-pretres
#cassandre,0.014492753623188406,0.14492753623188406,0.37681159420289856,0.0,0.2753623188405797,0.08695652173913043,0.0,0.08695652173913043,0.0,0.0,0.0,0.014492753623188406,0.0
#sostene,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#antigone,0.5106382978723404,0.0,0.0,0.23404255319148937,0.10638297872340426,0.0425531914893617,0.0,0.0851063829787234,0.0,0.0,0.0,0.0,0.02127659574468085
#hermas,0.09090909090909091,0.0,0.7272727272727273,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#olympie,0.2597402597402597,0.0,0.07792207792207792,0.0,0.012987012987012988,0.22077922077922077,0.0,0.4025974025974026,0.0,0.012987012987012988,0.012987012987012988,0.0,0.0
#l-hierophante,0.15555555555555556,0.0,0.044444444444444446,0.0,0.37777777777777777,0.044444444444444446,0.022222222222222223,0.3333333333333333,0.022222222222222223,0.0,0.0,0.0,0.0
#une-pretresse,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#statira,0.10714285714285714,0.0,0.07142857142857142,0.0,0.5178571428571429,0.30357142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-pretre,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-pretre,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-pretre,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-pretre,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#sostene,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
