VALEUR,#le-magister,#madame-bobinette,#nicolette,#lindor,#ensemble,#nicolette #madame-bobinette,#le-magister #madame-bobinette,#tous,#lindor #nicolette
Fréquences (scènes),0.6,0.5333333333333333,0.8,0.3333333333333333,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667
Fréquences(répliques),0.37293729372937295,0.1254125412541254,0.30033003300330036,0.12871287128712872,0.019801980198019802,0.013201320132013201,0.019801980198019802,0.0165016501650165,0.0033003300330033004
Confrontation,0.17857142857142858,0.16964285714285715,0.21428571428571427,0.14285714285714285,0.08035714285714286,0.026785714285714284,0.0625,0.0625,0.0625
Déviations,#le-magister,#madame-bobinette,#nicolette,#lindor,#ensemble,#nicolette #madame-bobinette,#le-magister #madame-bobinette,#tous,#lindor #nicolette
#le-magister,2.4000000000000012,0.008333333333333349,0.005555555555555565,0.0,0.5333333333333334,0.6,0.2666666666666667,0.2666666666666667,0.2666666666666667
#madame-bobinette,0.008333333333333349,3.266666666666667,0.025000000000000043,0.041666666666666706,0.004166666666666665,0.4083333333333334,0.4083333333333334,0.4083333333333334,0.4083333333333334
#nicolette,0.005555555555555517,0.025000000000000043,0.5999999999999992,0.25,0.09999999999999995,0.049999999999999975,0.049999999999999975,0.049999999999999975,0.049999999999999975
#lindor,0.0,0.041666666666666706,0.25,6.666666666666668,0.1666666666666667,1.3333333333333337,1.3333333333333337,1.3333333333333337,1.3333333333333337
#ensemble,0.5333333333333334,0.004166666666666665,0.09999999999999995,0.1666666666666667,11.266666666666667,0.13333333333333333,5.633333333333334,5.633333333333334,5.633333333333334
#nicolette #madame-bobinette,0.6,0.4083333333333334,0.049999999999999975,1.3333333333333337,0.13333333333333333,13.066666666666668,0.06666666666666667,0.06666666666666667,0.06666666666666667
#le-magister #madame-bobinette,0.2666666666666667,0.4083333333333334,0.049999999999999975,1.3333333333333337,5.633333333333334,0.06666666666666667,13.066666666666668,13.066666666666668,13.066666666666668
#le-magister #madame-bobinette,0.2666666666666667,0.4083333333333334,0.049999999999999975,1.3333333333333337,5.633333333333334,0.06666666666666667,13.066666666666668,13.066666666666668,13.066666666666668
#le-magister #madame-bobinette,0.2666666666666667,0.4083333333333334,0.049999999999999975,1.3333333333333337,5.633333333333334,0.06666666666666667,13.066666666666668,13.066666666666668,13.066666666666668
Successions,#le-magister,#madame-bobinette,#nicolette,#lindor,#ensemble,#nicolette #madame-bobinette,#le-magister #madame-bobinette,#tous,#lindor #nicolette
#le-magister,0.0,0.2988505747126437,0.6551724137931034,0.022988505747126436,0.011494252873563218,0.0,0.0,0.011494252873563218,0.0
#madame-bobinette,0.41379310344827586,0.0,0.3103448275862069,0.22413793103448276,0.017241379310344827,0.0,0.034482758620689655,0.0,0.0
#nicolette,0.6781609195402298,0.1724137931034483,0.034482758620689655,0.10344827586206896,0.011494252873563218,0.0,0.0,0.0,0.0
#lindor,0.07692307692307693,0.6153846153846154,0.23076923076923078,0.0,0.038461538461538464,0.038461538461538464,0.0,0.0,0.0
#ensemble,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,0.0,0.0
#nicolette #madame-bobinette,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
#le-magister #madame-bobinette,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
#tous,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
#lindor #nicolette,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
