VALEUR,#zelis,#l-amour,#hilas,#zelis-et-hilas,#le-choeur,#le-petit-choeur,#le-grand-choeur,#zelis #les-choeurs
Fréquences (scènes),0.7142857142857143,0.5714285714285714,0.5714285714285714,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
Fréquences(répliques),0.4304635761589404,0.23178807947019867,0.2185430463576159,0.026490066225165563,0.033112582781456956,0.006622516556291391,0.013245033112582781,0.039735099337748346
Confrontation,0.15625,0.15625,0.140625,0.109375,0.109375,0.109375,0.109375,0.109375
Déviations,#zelis,#l-amour,#hilas,#zelis-et-hilas,#le-choeur,#le-petit-choeur,#le-grand-choeur,#zelis #les-choeurs
#zelis,0.5714285714285713,0.007142857142857182,0.25714285714285695,0.11428571428571437,0.11428571428571437,0.11428571428571437,0.11428571428571437,0.11428571428571437
#l-amour,0.007142857142857136,1.285714285714286,0.035714285714285685,0.3214285714285715,0.3214285714285715,0.3214285714285715,0.3214285714285715,0.3214285714285715
#hilas,0.2571428571428572,0.035714285714285685,1.285714285714286,0.3214285714285715,0.3214285714285715,0.3214285714285715,0.3214285714285715,0.3214285714285715
#zelis-et-hilas,0.11428571428571427,0.3214285714285715,0.3214285714285715,5.142857142857144,5.142857142857144,5.142857142857144,5.142857142857144,5.142857142857144
#zelis-et-hilas,0.11428571428571427,0.3214285714285715,0.3214285714285715,5.142857142857144,5.142857142857144,5.142857142857144,5.142857142857144,5.142857142857144
#zelis-et-hilas,0.11428571428571427,0.3214285714285715,0.3214285714285715,5.142857142857144,5.142857142857144,5.142857142857144,5.142857142857144,5.142857142857144
#zelis-et-hilas,0.11428571428571427,0.3214285714285715,0.3214285714285715,5.142857142857144,5.142857142857144,5.142857142857144,5.142857142857144,5.142857142857144
#zelis-et-hilas,0.11428571428571427,0.3214285714285715,0.3214285714285715,5.142857142857144,5.142857142857144,5.142857142857144,5.142857142857144,5.142857142857144
Successions,#zelis,#l-amour,#hilas,#zelis-et-hilas,#le-choeur,#le-petit-choeur,#le-grand-choeur,#zelis #les-choeurs
#zelis,0.26666666666666666,0.3333333333333333,0.2,0.0,0.2,0.0,0.0,0.0
#l-amour,0.5454545454545454,0.0,0.36363636363636365,0.09090909090909091,0.0,0.0,0.0,0.0
#hilas,0.42857142857142855,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0
#zelis-et-hilas,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-choeur,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
#le-petit-choeur,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-grand-choeur,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
#zelis #les-choeurs,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
