VALEUR,#moncade,#don-alvar,#clotaire,#lindamire,#le-roi,#leonor,#dona-elvire,#carlos,#le-page
Fréquences (scènes),0.46875,0.34375,0.3125,0.4375,0.25,0.25,0.40625,0.09375,0.03125
Fréquences(répliques),0.2450462351387054,0.08652575957727873,0.09973579920739763,0.21862615587846765,0.1023778071334214,0.05151915455746367,0.18295904887714662,0.011889035667107,0.001321003963011889
Confrontation,0.15384615384615385,0.14285714285714285,0.14835164835164835,0.13186813186813187,0.1043956043956044,0.1043956043956044,0.15934065934065933,0.04945054945054945,0.005494505494505495
Déviations,#moncade,#don-alvar,#clotaire,#lindamire,#le-roi,#leonor,#dona-elvire,#carlos,#le-page
#moncade,9.03125,0.659280303030303,0.020833333333333332,1.000595238095238,0.016666666666666666,0.15,0.7193910256410256,0.11736111111111111,0.46875
#don-alvar,0.659280303030303,13.78125,0.09204545454545454,0.2930194805194805,0.20454545454545456,0.20454545454545456,0.482736013986014,0.9100378787878788,0.34375
#clotaire,0.020833333333333332,0.09204545454545454,15.125,0.03214285714285714,0.9,0.1,0.9240384615384616,0.004166666666666667,0.3125
#lindamire,1.000595238095238,0.2930194805194805,0.03214285714285714,10.125,0.07142857142857142,1.7857142857142858,1.2699175824175823,0.3601190476190476,0.4375
#le-roi,0.016666666666666666,0.20454545454545456,0.9,0.07142857142857142,18.0,0.5,0.019230769230769232,0.08333333333333333,0.25
#leonor,0.15,0.20454545454545456,0.1,1.7857142857142858,0.5,18.0,6.9423076923076925,0.08333333333333333,0.25
#dona-elvire,0.7193910256410256,0.482736013986014,0.9240384615384616,1.2699175824175823,0.019230769230769232,6.9423076923076925,11.28125,0.03926282051282051,0.8677884615384616
#carlos,0.11736111111111111,0.9100378787878788,0.004166666666666667,0.3601190476190476,0.08333333333333333,0.08333333333333333,0.03926282051282051,26.28125,0.09375
#le-page,0.46875,0.34375,0.3125,0.4375,0.25,0.25,0.8677884615384616,0.09375,30.03125
Successions,#moncade,#don-alvar,#clotaire,#lindamire,#le-roi,#leonor,#dona-elvire,#carlos,#le-page
#moncade,0.015625,0.25,0.125,0.25,0.15625,0.015625,0.171875,0.015625,0.0
#don-alvar,0.5,0.0,0.06666666666666667,0.36666666666666664,0.03333333333333333,0.0,0.03333333333333333,0.0,0.0
#clotaire,0.25,0.03125,0.0,0.34375,0.125,0.03125,0.1875,0.03125,0.0
#lindamire,0.26153846153846155,0.15384615384615385,0.16923076923076924,0.03076923076923077,0.12307692307692308,0.0,0.2,0.06153846153846154,0.0
#le-roi,0.3125,0.0625,0.1875,0.25,0.03125,0.0,0.15625,0.0,0.0
#leonor,0.15789473684210525,0.0,0.0,0.0,0.05263157894736842,0.0,0.7894736842105263,0.0,0.0
#dona-elvire,0.18867924528301888,0.0,0.09433962264150944,0.24528301886792453,0.11320754716981132,0.3018867924528302,0.018867924528301886,0.018867924528301886,0.018867924528301886
#carlos,0.14285714285714285,0.14285714285714285,0.0,0.5714285714285714,0.14285714285714285,0.0,0.0,0.0,0.0
#le-page,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
