VALEUR,#isabelle,#eliante,#dorante,#carlin,#lisette,#valere,#un-laquais,#le-notaire
Fréquences (scènes),0.45454545454545453,0.2727272727272727,0.5454545454545454,0.36363636363636365,0.45454545454545453,0.22727272727272727,0.045454545454545456,0.045454545454545456
Fréquences(répliques),0.24788732394366197,0.05258215962441314,0.2460093896713615,0.19154929577464788,0.20469483568075117,0.03943661971830986,0.0009389671361502347,0.016901408450704224
Confrontation,0.19491525423728814,0.13559322033898305,0.17796610169491525,0.0847457627118644,0.2033898305084746,0.13559322033898305,0.025423728813559324,0.0423728813559322
Déviations,#isabelle,#eliante,#dorante,#carlin,#lisette,#valere,#un-laquais,#le-notaire
#isabelle,6.545454545454547,0.5939393939393942,0.03787878787878782,0.7363636363636366,1.325454545454546,0.2327272727272729,0.6545454545454544,0.6545454545454544
#eliante,0.5939393939393942,11.636363636363635,0.4949494949494948,0.015151515151515124,0.027272727272727317,5.0969696969696985,0.2727272727272727,1.9393939393939397
#dorante,0.03787878787878782,0.4949494949494948,4.545454545454547,0.4261363636363635,0.05454545454545463,0.027272727272727317,0.3787878787878789,0.3787878787878789
#carlin,0.7363636363636362,0.015151515151515124,0.4261363636363635,8.909090909090908,0.7363636363636362,0.3681818181818181,0.36363636363636365,0.36363636363636365
#lisette,1.325454545454546,0.027272727272727317,0.05454545454545463,0.7363636363636366,6.545454545454547,1.3127272727272732,0.6545454545454544,0.6545454545454544
#valere,0.2327272727272729,5.0969696969696985,0.027272727272727317,0.3681818181818183,1.3127272727272732,13.136363636363638,0.2272727272727273,2.627272727272727
#un-laquais,0.6545454545454544,0.2727272727272727,0.3787878787878789,0.36363636363636365,0.6545454545454544,0.22727272727272727,20.045454545454547,0.045454545454545456
#le-notaire,0.6545454545454544,1.9393939393939397,0.3787878787878789,0.36363636363636365,0.6545454545454544,2.627272727272727,0.045454545454545456,20.045454545454547
Successions,#isabelle,#eliante,#dorante,#carlin,#lisette,#valere,#un-laquais,#le-notaire
#isabelle,0.013513513513513514,0.05405405405405406,0.44594594594594594,0.013513513513513514,0.40540540540540543,0.05405405405405406,0.0,0.013513513513513514
#eliante,0.3125,0.0,0.125,0.5,0.0,0.0625,0.0,0.0
#dorante,0.3523809523809524,0.0,0.009523809523809525,0.3904761904761905,0.20952380952380953,0.02857142857142857,0.009523809523809525,0.0
#carlin,0.0136986301369863,0.1095890410958904,0.5616438356164384,0.0,0.3013698630136986,0.0136986301369863,0.0,0.0
#lisette,0.3125,0.025,0.325,0.275,0.0,0.05,0.0,0.0125
#valere,0.21428571428571427,0.14285714285714285,0.14285714285714285,0.07142857142857142,0.35714285714285715,0.0,0.0,0.07142857142857142
#un-laquais,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-notaire,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
