VALEUR,#amestris,#megabise,#bagoas,#ochus,#statira,#barsine,#darius,#oropaste
Fréquences (scènes),0.37037037037037035,0.5185185185185185,0.07407407407407407,0.2962962962962963,0.4444444444444444,0.07407407407407407,0.4444444444444444,0.14814814814814814
Fréquences(répliques),0.14511352418558737,0.21470878578479763,0.02418558736426456,0.16288252714708787,0.18460019743336623,0.009871668311944718,0.2418558736426456,0.01678183613030602
Confrontation,0.16981132075471697,0.20754716981132076,0.018867924528301886,0.16981132075471697,0.1792452830188679,0.018867924528301886,0.1792452830188679,0.05660377358490566
Déviations,#amestris,#megabise,#bagoas,#ochus,#statira,#barsine,#darius,#oropaste
#amestris,10.703703703703706,0.12804232804232807,0.7407407407407407,0.3629629629629631,0.4694444444444445,0.7407407407407407,0.06944444444444439,1.4814814814814814
#megabise,0.12804232804232807,6.259259259259261,0.8941798941798943,0.005291005291005275,0.7936507936507932,1.037037037037037,0.7936507936507932,0.0026455026455026375
#bagoas,0.7407407407407407,0.8941798941798943,23.148148148148152,0.5925925925925926,0.8888888888888888,0.14814814814814814,0.8888888888888888,0.2962962962962963
#ochus,0.3629629629629631,0.005291005291005275,0.5925925925925926,13.370370370370372,0.05555555555555561,0.5925925925925926,0.05555555555555561,0.5601851851851853
#statira,0.4694444444444445,0.7936507936507932,0.8888888888888888,0.05555555555555561,8.333333333333336,1.388888888888889,0.020833333333333297,0.3402777777777777
#barsine,0.7407407407407407,1.037037037037037,0.14814814814814814,0.5925925925925926,1.388888888888889,23.148148148148152,0.8888888888888888,0.2962962962962963
#darius,0.06944444444444439,0.7936507936507932,0.8888888888888888,0.05555555555555561,0.020833333333333297,0.8888888888888888,8.333333333333336,0.3402777777777777
#oropaste,1.4814814814814814,0.0026455026455026375,0.2962962962962963,0.5601851851851853,0.3402777777777777,0.2962962962962963,0.3402777777777777,19.59259259259259
Successions,#amestris,#megabise,#bagoas,#ochus,#statira,#barsine,#darius,#oropaste
#amestris,0.0,0.4444444444444444,0.0,0.14814814814814814,0.1111111111111111,0.0,0.2962962962962963,0.0
#megabise,0.2857142857142857,0.0,0.05952380952380952,0.14285714285714285,0.11904761904761904,0.0,0.30952380952380953,0.08333333333333333
#bagoas,0.0,0.8,0.0,0.0,0.0,0.0,0.2,0.0
#ochus,0.19607843137254902,0.3137254901960784,0.0,0.058823529411764705,0.13725490196078433,0.0,0.23529411764705882,0.058823529411764705
#statira,0.11864406779661017,0.13559322033898305,0.0,0.1016949152542373,0.01694915254237288,0.15254237288135594,0.4745762711864407,0.0
#barsine,0.0,0.0,0.0,0.2222222222222222,0.7777777777777778,0.0,0.0,0.0
#darius,0.15294117647058825,0.29411764705882354,0.0,0.2,0.32941176470588235,0.0,0.023529411764705882,0.0
#oropaste,0.1,0.7,0.0,0.2,0.0,0.0,0.0,0.0
