VALEUR,#apollon,#i-muse,#ii-muse,#iii-muse,#iv-muse,#v-muse,#vi-muse,#vii-muse,#l-amour,#le-roi,#theaspe,#nerice,#clitie,#palmis,#la-princesse,#venus,#pallas,#mercure,#personne-1,#personne-2,#personne-3,#furie-1,#la-discorde,#jupiter,#eole,#mirsa,#le-soleil
Fréquences (scènes),0.3389830508474576,0.01694915254237288,0.01694915254237288,0.01694915254237288,0.01694915254237288,0.01694915254237288,0.01694915254237288,0.01694915254237288,0.03389830508474576,0.13559322033898305,0.2711864406779661,0.05084745762711865,0.3050847457627119,0.13559322033898305,0.3389830508474576,0.1016949152542373,0.01694915254237288,0.01694915254237288,0.01694915254237288,0.01694915254237288,0.01694915254237288,0.01694915254237288,0.03389830508474576,0.01694915254237288,0.01694915254237288,0.03389830508474576,0.03389830508474576
Fréquences(répliques),0.19109461966604824,0.00046382189239332097,0.0013914656771799629,0.0018552875695732839,0.0009276437847866419,0.0037105751391465678,0.0018552875695732839,0.00046382189239332097,0.05102040816326531,0.031076066790352505,0.12059369202226346,0.00927643784786642,0.2166048237476809,0.03710575139146568,0.1906307977736549,0.07467532467532467,0.00463821892393321,0.0027829313543599257,0.006493506493506494,0.003246753246753247,0.0018552875695732839,0.013914656771799629,0.010667903525046383,0.004174397031539889,0.0055658627087198514,0.00463821892393321,0.00927643784786642
Confrontation,0.13402061855670103,0.03608247422680412,0.03608247422680412,0.03608247422680412,0.03608247422680412,0.03608247422680412,0.03608247422680412,0.03608247422680412,0.015463917525773196,0.05154639175257732,0.08762886597938144,0.015463917525773196,0.08762886597938144,0.05154639175257732,0.14432989690721648,0.02577319587628866,0.005154639175257732,0.005154639175257732,0.015463917525773196,0.015463917525773196,0.015463917525773196,0.0,0.02577319587628866,0.015463917525773196,0.0,0.020618556701030927,0.015463917525773196
Déviations,#apollon,#i-muse,#ii-muse,#iii-muse,#iv-muse,#v-muse,#vi-muse,#vii-muse,#l-amour,#le-roi,#theaspe,#nerice,#clitie,#palmis,#la-princesse,#venus,#pallas,#mercure,#personne-1,#personne-2,#personne-3,#furie-1,#la-discorde,#jupiter,#eole,#mirsa,#le-soleil
#apollon,25.779661016949156,1.2889830508474578,1.2889830508474578,1.2889830508474578,1.2889830508474578,1.2889830508474578,1.2889830508474578,1.2889830508474578,0.15296610169491529,2.711864406779661,5.423728813559322,1.0169491525423728,0.7239171374764598,1.080614406779661,0.21966101694915266,0.0005649717514124264,0.3389830508474576,0.3389830508474576,0.3389830508474576,0.3389830508474576,0.3389830508474576,0.3389830508474576,2.5779661016949156,1.2889830508474578,0.3389830508474576,0.6779661016949152,0.6779661016949152
#i-muse,1.2889830508474578,57.01694915254238,57.01694915254238,57.01694915254238,57.01694915254238,57.01694915254238,57.01694915254238,57.01694915254238,0.03389830508474576,0.13559322033898305,0.2711864406779661,0.050847457627118654,0.3050847457627119,0.13559322033898305,0.3389830508474576,0.10169491525423731,0.01694915254237288,0.01694915254237288,0.01694915254237288,0.01694915254237288,0.01694915254237288,0.01694915254237288,0.03389830508474576,0.01694915254237288,0.01694915254237288,0.03389830508474576,0.03389830508474576
#i-muse,1.2889830508474578,57.01694915254238,57.01694915254238,57.01694915254238,57.01694915254238,57.01694915254238,57.01694915254238,57.01694915254238,0.03389830508474576,0.13559322033898305,0.2711864406779661,0.050847457627118654,0.3050847457627119,0.13559322033898305,0.3389830508474576,0.10169491525423731,0.01694915254237288,0.01694915254237288,0.01694915254237288,0.01694915254237288,0.01694915254237288,0.01694915254237288,0.03389830508474576,0.01694915254237288,0.01694915254237288,0.03389830508474576,0.03389830508474576
#i-muse,1.2889830508474578,57.01694915254238,57.01694915254238,57.01694915254238,57.01694915254238,57.01694915254238,57.01694915254238,57.01694915254238,0.03389830508474576,0.13559322033898305,0.2711864406779661,0.050847457627118654,0.3050847457627119,0.13559322033898305,0.3389830508474576,0.10169491525423731,0.01694915254237288,0.01694915254237288,0.01694915254237288,0.01694915254237288,0.01694915254237288,0.01694915254237288,0.03389830508474576,0.01694915254237288,0.01694915254237288,0.03389830508474576,0.03389830508474576
#i-muse,1.2889830508474578,57.01694915254238,57.01694915254238,57.01694915254238,57.01694915254238,57.01694915254238,57.01694915254238,57.01694915254238,0.03389830508474576,0.13559322033898305,0.2711864406779661,0.050847457627118654,0.3050847457627119,0.13559322033898305,0.3389830508474576,0.10169491525423731,0.01694915254237288,0.01694915254237288,0.01694915254237288,0.01694915254237288,0.01694915254237288,0.01694915254237288,0.03389830508474576,0.01694915254237288,0.01694915254237288,0.03389830508474576,0.03389830508474576
#i-muse,1.2889830508474578,57.01694915254238,57.01694915254238,57.01694915254238,57.01694915254238,57.01694915254238,57.01694915254238,57.01694915254238,0.03389830508474576,0.13559322033898305,0.2711864406779661,0.050847457627118654,0.3050847457627119,0.13559322033898305,0.3389830508474576,0.10169491525423731,0.01694915254237288,0.01694915254237288,0.01694915254237288,0.01694915254237288,0.01694915254237288,0.01694915254237288,0.03389830508474576,0.01694915254237288,0.01694915254237288,0.03389830508474576,0.03389830508474576
#i-muse,1.2889830508474578,57.01694915254238,57.01694915254238,57.01694915254238,57.01694915254238,57.01694915254238,57.01694915254238,57.01694915254238,0.03389830508474576,0.13559322033898305,0.2711864406779661,0.050847457627118654,0.3050847457627119,0.13559322033898305,0.3389830508474576,0.10169491525423731,0.01694915254237288,0.01694915254237288,0.01694915254237288,0.01694915254237288,0.01694915254237288,0.01694915254237288,0.03389830508474576,0.01694915254237288,0.01694915254237288,0.03389830508474576,0.03389830508474576
#i-muse,1.2889830508474578,57.01694915254238,57.01694915254238,57.01694915254238,57.01694915254238,57.01694915254238,57.01694915254238,57.01694915254238,0.03389830508474576,0.13559322033898305,0.2711864406779661,0.050847457627118654,0.3050847457627119,0.13559322033898305,0.3389830508474576,0.10169491525423731,0.01694915254237288,0.01694915254237288,0.01694915254237288,0.01694915254237288,0.01694915254237288,0.01694915254237288,0.03389830508474576,0.01694915254237288,0.01694915254237288,0.03389830508474576,0.03389830508474576
#l-amour,0.15296610169491529,0.03389830508474576,0.03389830508474576,0.03389830508474576,0.03389830508474576,0.03389830508474576,0.03389830508474576,0.03389830508474576,55.06779661016949,0.2711864406779661,0.3861228813559322,0.10169491525423731,0.6101694915254238,0.2711864406779661,0.6779661016949152,0.20338983050847462,0.03389830508474576,0.03389830508474576,0.03389830508474576,0.03389830508474576,0.03389830508474576,0.03389830508474576,0.06779661016949153,0.03389830508474576,0.03389830508474576,0.06779661016949153,12.817796610169491
#le-roi,2.711864406779661,0.13559322033898305,0.13559322033898305,0.13559322033898305,0.13559322033898305,0.13559322033898305,0.13559322033898305,0.13559322033898305,0.2711864406779661,44.08474576271187,6.763241525423728,0.40677966101694923,0.8504001883239173,1.0847457627118644,2.711864406779661,0.8135593220338985,0.13559322033898305,0.13559322033898305,0.13559322033898305,0.13559322033898305,0.13559322033898305,0.13559322033898305,0.2711864406779661,0.13559322033898305,0.13559322033898305,11.021186440677967,1.9586864406779665
#theaspe,5.423728813559322,0.2711864406779661,0.2711864406779661,0.2711864406779661,0.2711864406779661,0.2711864406779661,0.2711864406779661,0.2711864406779661,0.3861228813559322,6.763241525423728,31.338983050847464,0.8135593220338985,1.7008003766478346,2.169491525423729,1.0831038135593218,0.08545197740112989,0.2711864406779661,0.2711864406779661,0.2711864406779661,0.2711864406779661,0.2711864406779661,0.2711864406779661,0.5423728813559322,0.2711864406779661,0.2711864406779661,3.917372881355933,0.3861228813559322
