VALEUR,#mariamne,#soësme,#alexandre,#salome,#elise,#thares,#herode,#alcime,#achas
Fréquences (scènes),0.4146341463414634,0.12195121951219512,0.2682926829268293,0.36585365853658536,0.04878048780487805,0.14634146341463414,0.4146341463414634,0.0975609756097561,0.024390243902439025
Fréquences(répliques),0.21646746347941567,0.09628154050464807,0.10889774236387782,0.16799468791500663,0.019256308100929615,0.08565737051792828,0.28751660026560427,0.015272244355909695,0.0026560424966799467
Confrontation,0.19767441860465115,0.046511627906976744,0.1511627906976744,0.19767441860465115,0.03488372093023256,0.09302325581395349,0.20930232558139536,0.046511627906976744,0.023255813953488372
Déviations,#mariamne,#soësme,#alexandre,#salome,#elise,#thares,#herode,#alcime,#achas
#mariamne,14.048780487804878,0.0025824964131994305,0.4540237380983432,2.862649450023912,0.8292682926829269,2.4878048780487805,1.3186766815765043,0.07030129124820654,0.8263988522238161
#soësme,0.0025824964131994305,31.60975609756098,1.3414634146341464,0.37593495934959337,0.24390243902439024,0.7317073170731707,0.5555236728837878,0.4878048780487805,0.12195121951219512
#alexandre,0.45402373809834384,1.3414634146341462,21.951219512195124,1.018329637841833,0.5365853658536586,1.6097560975609755,0.06899700013042902,1.0731707317073171,1.9955654101995564
#salome,2.8626494500239117,0.37593495934959337,1.018329637841833,16.48780487804878,2.1983739837398373,3.584010840108402,0.23912003825920586,1.4634146341463414,0.36585365853658536
#elise,0.8292682926829268,0.24390243902439024,0.5365853658536586,2.1983739837398373,37.09756097560975,1.709349593495935,0.8292682926829268,0.1951219512195122,0.04878048780487805
#thares,2.4878048780487805,0.7317073170731707,1.6097560975609755,3.5840108401084003,1.7093495934959346,29.878048780487813,0.09564801530368244,0.5853658536585367,0.14634146341463417
#herode,1.3186766815765043,0.5555236728837878,0.06899700013042923,0.2391200382592062,0.8292682926829269,0.09564801530368244,14.048780487804878,0.07030129124820654,0.41463414634146345
#alcime,0.07030129124820664,0.4878048780487805,1.0731707317073171,1.4634146341463414,0.1951219512195122,0.5853658536585366,0.07030129124820664,33.390243902439025,0.0975609756097561
#achas,0.8263988522238167,0.12195121951219512,1.9955654101995564,0.36585365853658536,0.04878048780487805,0.14634146341463414,0.4146341463414634,0.0975609756097561,39.02439024390243
Successions,#mariamne,#soësme,#alexandre,#salome,#elise,#thares,#herode,#alcime,#achas
#mariamne,0.26153846153846155,0.15384615384615385,0.16923076923076924,0.015384615384615385,0.0,0.0,0.35384615384615387,0.03076923076923077,0.015384615384615385
#soësme,0.47619047619047616,0.0,0.0,0.23809523809523808,0.0,0.0,0.2857142857142857,0.0,0.0
#alexandre,0.375,0.0,0.0,0.125,0.0,0.0,0.5,0.0,0.0
#salome,0.07142857142857142,0.10714285714285714,0.05357142857142857,0.03571428571428571,0.125,0.26785714285714285,0.3392857142857143,0.0,0.0
#elise,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
#thares,0.0,0.0,0.0,0.5185185185185185,0.0,0.0,0.48148148148148145,0.0,0.0
#herode,0.23529411764705882,0.058823529411764705,0.21176470588235294,0.27058823529411763,0.0,0.1411764705882353,0.047058823529411764,0.03529411764705882,0.0
#alcime,0.4,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0
#achas,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
