VALEUR,#corine,#melite,#caliste,#arcas,#merope,#satire,#tityre,#moelibee,#oracle,#venus,#cupidon,#mopse
Fréquences (scènes),0.34782608695652173,0.5217391304347826,0.2608695652173913,0.30434782608695654,0.391304347826087,0.2608695652173913,0.17391304347826086,0.17391304347826086,0.043478260869565216,0.13043478260869565,0.13043478260869565,0.08695652173913043
Fréquences(répliques),0.12478336221837089,0.1611785095320624,0.09965337954939342,0.15251299826689774,0.17417677642980936,0.1022530329289428,0.043327556325823226,0.02772963604852686,0.005199306759098787,0.03466204506065858,0.058925476603119586,0.01559792027729636
Confrontation,0.09900990099009901,0.12871287128712872,0.0891089108910891,0.09405940594059406,0.1188118811881188,0.08415841584158416,0.0891089108910891,0.0891089108910891,0.01485148514851485,0.06435643564356436,0.06435643564356436,0.06435643564356436
Déviations,#corine,#melite,#caliste,#arcas,#merope,#satire,#tityre,#moelibee,#oracle,#venus,#cupidon,#mopse
#corine,9.782608695652174,3.5072463768115947,1.7536231884057973,0.845496894409938,1.4498792270531404,0.5661231884057971,0.11005434782608693,0.11005434782608693,0.34782608695652173,0.0018115942028985484,0.0018115942028985484,0.1331521739130435
#melite,3.5072463768115947,5.2608695652173925,0.24154589371980698,0.4974120082815733,1.5475040257648955,0.40821256038647324,0.5661231884057971,0.5661231884057971,0.5217391304347826,0.20410628019323662,0.20410628019323662,0.0018115942028985484
#caliste,1.7536231884057973,0.24154589371980698,12.56521739130435,0.3737060041407868,0.7737520128824478,0.20410628019323662,0.0018115942028985484,0.0018115942028985484,0.2608695652173913,1.8937198067632854,1.8937198067632854,0.43840579710144933
#arcas,0.845496894409938,0.49741200828157367,0.3737060041407867,11.130434782608695,0.024844720496894377,0.01656314699792963,0.5031055900621116,0.5031055900621116,0.30434782608695654,0.008281573498964814,0.008281573498964814,0.2515527950310558
#merope,1.4498792270531398,1.5475040257648949,0.7737520128824474,0.024844720496894377,8.52173913043478,5.681159420289856,1.3152173913043481,1.3152173913043481,0.9468599033816427,0.02576489533011269,0.02576489533011269,1.8937198067632854
#satire,0.5661231884057971,0.40821256038647324,0.20410628019323662,0.016563146997929584,5.681159420289854,12.56521739130435,0.0018115942028985484,0.0018115942028985484,0.2608695652173913,0.060386473429951744,0.060386473429951744,0.43840579710144933
#tityre,0.11005434782608693,0.5661231884057971,0.0018115942028985484,0.5031055900621116,1.3152173913043477,0.0018115942028985484,15.695652173913043,15.695652173913043,3.9239130434782608,0.43840579710144933,0.43840579710144933,7.8478260869565215
#tityre,0.11005434782608693,0.5661231884057971,0.0018115942028985484,0.5031055900621116,1.3152173913043477,0.0018115942028985484,15.695652173913043,15.695652173913043,3.9239130434782608,0.43840579710144933,0.43840579710144933,7.8478260869565215
#oracle,0.34782608695652173,0.5217391304347826,0.2608695652173913,0.30434782608695654,0.9468599033816426,0.2608695652173913,3.9239130434782608,3.9239130434782608,21.043478260869566,0.13043478260869565,0.13043478260869565,0.08695652173913043
#venus,0.0018115942028985484,0.20410628019323662,1.8937198067632854,0.008281573498964792,0.02576489533011275,0.060386473429951744,0.43840579710144933,0.43840579710144933,0.13043478260869565,17.39130434782609,17.39130434782609,2.094202898550724
#venus,0.0018115942028985484,0.20410628019323662,1.8937198067632854,0.008281573498964792,0.02576489533011275,0.060386473429951744,0.43840579710144933,0.43840579710144933,0.13043478260869565,17.39130434782609,17.39130434782609,2.094202898550724
#mopse,0.1331521739130435,0.0018115942028985484,0.43840579710144933,0.2515527950310558,1.8937198067632852,0.43840579710144933,7.8478260869565215,7.8478260869565215,0.08695652173913043,2.094202898550724,2.094202898550724,19.17391304347826
Successions,#corine,#melite,#caliste,#arcas,#merope,#satire,#tityre,#moelibee,#oracle,#venus,#cupidon,#mopse
#corine,0.0,0.5813953488372093,0.37209302325581395,0.0,0.0,0.046511627906976744,0.0,0.0,0.0,0.0,0.0,0.0
#melite,0.34210526315789475,0.0,0.18421052631578946,0.32894736842105265,0.0,0.14473684210526316,0.0,0.0,0.0,0.0,0.0,0.0
#caliste,0.40540540540540543,0.40540540540540543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1891891891891892,0.0
#arcas,0.03571428571428571,0.48214285714285715,0.017857142857142856,0.0,0.21428571428571427,0.14285714285714285,0.10714285714285714,0.0,0.0,0.0,0.0,0.0
#merope,0.0,0.02040816326530612,0.0,0.2857142857142857,0.02040816326530612,0.5306122448979592,0.02040816326530612,0.08163265306122448,0.0,0.02040816326530612,0.02040816326530612,0.0
#satire,0.02040816326530612,0.16326530612244897,0.0,0.1836734693877551,0.5918367346938775,0.0,0.0,0.0,0.0,0.0,0.04081632653061224,0.0
#tityre,0.0,0.0,0.0,0.45454545454545453,0.09090909090909091,0.0,0.0,0.2727272727272727,0.0,0.0,0.09090909090909091,0.09090909090909091
#moelibee,0.0,0.0,0.0,0.2222222222222222,0.1111111111111111,0.0,0.3333333333333333,0.0,0.1111111111111111,0.0,0.0,0.2222222222222222
#oracle,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#venus,0.0,0.0,0.14285714285714285,0.0,0.2857142857142857,0.14285714285714285,0.0,0.0,0.0,0.0,0.42857142857142855,0.0
#cupidon,0.0,0.0,0.35714285714285715,0.07142857142857142,0.0,0.07142857142857142,0.0,0.07142857142857142,0.0,0.42857142857142855,0.0,0.0
#mopse,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0
