VALEUR,#goulemer,#frelingue,#marille,#badzin,#pacole,#l-hote,#la-hollande,#beline,#la-flamande,#premier-bourguemestre,#second-bourguemestre,#le-français,#l-anglais,#l-espagnol,#l-allemand
Fréquences (scènes),0.2,0.1,0.6,0.2,0.4,0.1,0.8,0.5,0.1,0.2,0.2,0.3,0.3,0.2,0.1
Fréquences(répliques),0.08846153846153847,0.019230769230769232,0.08076923076923077,0.03461538461538462,0.032692307692307694,0.06346153846153846,0.20576923076923076,0.038461538461538464,0.046153846153846156,0.04807692307692308,0.032692307692307694,0.11538461538461539,0.10192307692307692,0.075,0.01730769230769231
Confrontation,0.040697674418604654,0.01744186046511628,0.12790697674418605,0.040697674418604654,0.0755813953488372,0.023255813953488372,0.1511627906976744,0.12209302325581395,0.011627906976744186,0.046511627906976744,0.046511627906976744,0.09883720930232558,0.09883720930232558,0.06395348837209303,0.03488372093023256
Déviations,#goulemer,#frelingue,#marille,#badzin,#pacole,#l-hote,#la-hollande,#beline,#la-flamande,#premier-bourguemestre,#second-bourguemestre,#le-français,#l-anglais,#l-espagnol,#l-allemand
#goulemer,6.400000000000001,3.2000000000000006,0.5333333333333334,6.400000000000001,0.049999999999999975,3.2000000000000006,1.6000000000000003,1.0,0.20000000000000004,0.4000000000000001,0.4000000000000001,0.6,0.6,0.4000000000000001,0.20000000000000004
#frelingue,3.2000000000000006,8.1,0.2666666666666667,3.2000000000000006,0.4000000000000001,0.10000000000000002,0.8000000000000002,0.5,0.10000000000000002,0.20000000000000004,0.20000000000000004,0.3,0.3,0.20000000000000004,0.10000000000000002
#marille,0.533333333333333,0.2666666666666665,1.6000000000000005,0.533333333333333,0.06666666666666678,0.2666666666666665,0.13333333333333355,0.0,0.6000000000000001,1.2000000000000002,1.2000000000000002,0.022222222222222265,0.022222222222222265,0.533333333333333,0.2666666666666665
#goulemer,6.400000000000001,3.2000000000000006,0.5333333333333334,6.400000000000001,0.049999999999999975,3.2000000000000006,1.6000000000000003,1.0,0.20000000000000004,0.4000000000000001,0.4000000000000001,0.6,0.6,0.4000000000000001,0.20000000000000004
#pacole,0.049999999999999975,0.4000000000000001,0.06666666666666664,0.049999999999999975,3.5999999999999996,0.8999999999999999,0.012500000000000022,0.5,0.4000000000000001,0.049999999999999975,0.049999999999999975,0.03333333333333332,0.03333333333333332,0.8000000000000002,0.4000000000000001
#l-hote,3.2000000000000006,0.10000000000000002,0.2666666666666667,3.2000000000000006,0.8999999999999999,8.1,0.8000000000000002,0.5,0.10000000000000002,0.20000000000000004,0.20000000000000004,0.3,0.3,0.20000000000000004,0.10000000000000002
#la-hollande,1.6000000000000003,0.8000000000000002,0.13333333333333328,1.6000000000000003,0.012500000000000022,0.8000000000000002,0.3999999999999998,0.25,0.049999999999999975,0.09999999999999995,0.09999999999999995,0.15000000000000005,0.15000000000000005,0.09999999999999995,0.049999999999999975
#beline,1.0,0.5,0.0,1.0,0.5,0.5,0.25,2.5,0.5,0.0,0.0,1.5,1.5,1.0,0.5
#la-flamande,0.20000000000000004,0.10000000000000002,0.6,0.20000000000000004,0.4000000000000001,0.10000000000000002,0.049999999999999975,0.5,8.1,0.20000000000000004,0.20000000000000004,0.3,0.3,0.20000000000000004,0.10000000000000002
#premier-bourguemestre,0.4000000000000001,0.20000000000000004,1.2,0.4000000000000001,0.049999999999999975,0.20000000000000004,0.09999999999999995,0.0,0.20000000000000004,6.400000000000001,6.400000000000001,0.2666666666666667,0.2666666666666667,0.4000000000000001,0.20000000000000004
#premier-bourguemestre,0.4000000000000001,0.20000000000000004,1.2,0.4000000000000001,0.049999999999999975,0.20000000000000004,0.09999999999999995,0.0,0.20000000000000004,6.400000000000001,6.400000000000001,0.2666666666666667,0.2666666666666667,0.4000000000000001,0.20000000000000004
#le-français,0.6000000000000001,0.30000000000000004,0.022222222222222265,0.6000000000000001,0.03333333333333339,0.30000000000000004,0.1499999999999998,1.5,0.30000000000000004,0.2666666666666665,0.2666666666666665,4.9,4.9,3.2666666666666657,1.6333333333333329
#le-français,0.6000000000000001,0.30000000000000004,0.022222222222222265,0.6000000000000001,0.03333333333333339,0.30000000000000004,0.1499999999999998,1.5,0.30000000000000004,0.2666666666666665,0.2666666666666665,4.9,4.9,3.2666666666666657,1.6333333333333329
#l-espagnol,0.4000000000000001,0.20000000000000004,0.5333333333333334,0.4000000000000001,0.8000000000000002,0.20000000000000004,0.09999999999999995,1.0,0.20000000000000004,0.4000000000000001,0.4000000000000001,3.266666666666666,3.266666666666666,6.400000000000001,3.2000000000000006
#l-allemand,0.20000000000000004,0.10000000000000002,0.2666666666666667,0.20000000000000004,0.4000000000000001,0.10000000000000002,0.049999999999999975,0.5,0.10000000000000002,0.20000000000000004,0.20000000000000004,1.633333333333333,1.633333333333333,3.2000000000000006,8.1
Successions,#goulemer,#frelingue,#marille,#badzin,#pacole,#l-hote,#la-hollande,#beline,#la-flamande,#premier-bourguemestre,#second-bourguemestre,#le-français,#l-anglais,#l-espagnol,#l-allemand
#goulemer,0.0,0.13636363636363635,0.18181818181818182,0.045454545454545456,0.0,0.6363636363636364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#frelingue,0.8333333333333334,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#marille,0.07142857142857142,0.10714285714285714,0.0,0.2857142857142857,0.21428571428571427,0.0,0.25,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.03571428571428571,0.0
#badzin,0.18181818181818182,0.0,0.8181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#pacole,0.0,0.0,0.7,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
