VALEUR,#l-abbe,#dame-anne,#monsieur-de-montfort,#champagne,#monsieur-de-monfort,#le-president,#la-france,#la-marquise,#julie,#beaulieu,#monsieur-bournin,#flamand,#babet,#madame-bertrand
#la-france,0.5384615384615384,0.07692307692307693,0.15384615384615385,0.15384615384615385,0.23076923076923078,4.653846153846153,11.076923076923078,0.15384615384615385,0.07692307692307693,0.23076923076923078,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.15384615384615385
#la-marquise,0.005494505494505487,0.15384615384615385,0.3076923076923077,0.3076923076923077,0.46153846153846156,0.3076923076923077,0.15384615384615385,9.307692307692307,4.653846153846153,0.46153846153846156,0.15384615384615385,0.15384615384615385,0.3076923076923077,0.3076923076923077
#julie,0.5384615384615384,0.07692307692307693,0.15384615384615385,0.15384615384615385,0.23076923076923078,0.15384615384615385,0.07692307692307693,4.653846153846153,11.076923076923078,0.23076923076923078,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.15384615384615385
#beaulieu,0.23443223443223446,0.23076923076923078,0.46153846153846156,0.46153846153846156,0.6923076923076923,0.46153846153846156,0.23076923076923078,0.46153846153846156,0.23076923076923078,7.692307692307691,2.5641025641025634,2.5641025641025634,0.46153846153846156,0.46153846153846156
#monsieur-bournin,0.5384615384615384,0.07692307692307693,0.15384615384615385,0.15384615384615385,0.23076923076923078,0.15384615384615385,0.07692307692307693,0.15384615384615385,0.07692307692307693,2.5641025641025634,11.076923076923078,0.07692307692307693,0.15384615384615385,0.15384615384615385
#flamand,0.5384615384615384,0.07692307692307693,0.15384615384615385,0.15384615384615385,0.23076923076923078,0.15384615384615385,0.07692307692307693,0.15384615384615385,0.07692307692307693,2.5641025641025634,0.07692307692307693,11.076923076923078,0.15384615384615385,0.15384615384615385
#babet,0.005494505494505487,0.15384615384615385,0.3076923076923077,0.3076923076923077,0.46153846153846156,0.3076923076923077,0.15384615384615385,0.3076923076923077,0.15384615384615385,0.46153846153846156,0.15384615384615385,0.15384615384615385,9.307692307692307,9.307692307692307
#babet,0.005494505494505487,0.15384615384615385,0.3076923076923077,0.3076923076923077,0.46153846153846156,0.3076923076923077,0.15384615384615385,0.3076923076923077,0.15384615384615385,0.46153846153846156,0.15384615384615385,0.15384615384615385,9.307692307692307,9.307692307692307
Successions,#l-abbe,#dame-anne,#monsieur-de-montfort,#champagne,#monsieur-de-monfort,#le-president,#la-france,#la-marquise,#julie,#beaulieu,#monsieur-bournin,#flamand,#babet,#madame-bertrand
#l-abbe,0.0,0.05714285714285714,0.014285714285714285,0.0,0.17142857142857143,0.2,0.0,0.24285714285714285,0.0,0.1,0.0,0.014285714285714285,0.02857142857142857,0.17142857142857143
#dame-anne,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#monsieur-de-montfort,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#champagne,0.0,0.0,0.25,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#monsieur-de-monfort,0.8125,0.0,0.0,0.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-president,0.7777777777777778,0.0,0.0,0.0,0.05555555555555555,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-france,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-marquise,0.6296296296296297,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.037037037037037035,0.2962962962962963,0.0,0.0,0.0,0.0,0.0
#julie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#beaulieu,0.4666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.3333333333333333,0.13333333333333333,0.0,0.0
#monsieur-bournin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
#monsieur-bournin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
#babet,0.35714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6428571428571429
#madame-bertrand,0.43478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5217391304347826,0.043478260869565216
