VALEUR,#premiere-voix,#deuxieme-voix,#troisieme-voix,#trois-voix-ensemble,#julie,#eraste,#nerine,#sbrigani,#monsieur-de-pourceaugnac,#l-apothicaire,#le-paysan,#premier-medecin,#la-paysanne,#second-medecin,#deux-musiciens,#premier-musicien,#second-musicien,#oronte,#lucette,#jeanet #fanchon #madelaine,#l-avocat-trainant,#l-avocat-bredouilleur,#premier-suisse,#second-suisse,#l-exempt,#l-egyptienne,#choeur-des-musiciens,#l-egyptien,#egyptien #egyptienne,#le-petit-choeur,#un-musicien,#tous-ensemble
Fréquences (scènes),0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.12903225806451613,0.25806451612903225,0.0967741935483871,0.3870967741935484,0.5161290322580645,0.0967741935483871,0.03225806451612903,0.16129032258064516,0.03225806451612903,0.03225806451612903,0.06451612903225806,0.03225806451612903,0.03225806451612903,0.25806451612903225,0.06451612903225806,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.06451612903225806,0.06451612903225806,0.06451612903225806,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903
Fréquences(répliques),0.05982905982905983,0.06837606837606838,0.03418803418803419,0.05982905982905983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13675213675213677,0.05982905982905983,0.05128205128205128,0.0,0.0,0.0,0.017094017094017096,0.21367521367521367,0.0,0.0,0.0,0.1282051282051282,0.017094017094017096,0.07692307692307693,0.017094017094017096,0.017094017094017096,0.02564102564102564,0.017094017094017096
Confrontation,0.014423076923076924,0.014423076923076924,0.014423076923076924,0.014423076923076924,0.04326923076923077,0.08173076923076923,0.04326923076923077,0.07211538461538461,0.1346153846153846,0.03365384615384615,0.019230769230769232,0.04807692307692308,0.019230769230769232,0.009615384615384616,0.019230769230769232,0.009615384615384616,0.009615384615384616,0.0673076923076923,0.028846153846153848,0.019230769230769232,0.004807692307692308,0.004807692307692308,0.02403846153846154,0.02403846153846154,0.02403846153846154,0.028846153846153848,0.028846153846153848,0.028846153846153848,0.028846153846153848,0.028846153846153848,0.028846153846153848,0.028846153846153848
Déviations,#premiere-voix,#deuxieme-voix,#troisieme-voix,#trois-voix-ensemble,#julie,#eraste,#nerine,#sbrigani,#monsieur-de-pourceaugnac,#l-apothicaire,#le-paysan,#premier-medecin,#la-paysanne,#second-medecin,#deux-musiciens,#premier-musicien,#second-musicien,#oronte,#lucette,#jeanet #fanchon #madelaine,#l-avocat-trainant,#l-avocat-bredouilleur,#premier-suisse,#second-suisse,#l-exempt,#l-egyptienne,#choeur-des-musiciens,#l-egyptien,#egyptien #egyptienne,#le-petit-choeur,#un-musicien,#tous-ensemble
#premiere-voix,29.03225806451613,29.03225806451613,29.03225806451613,29.03225806451613,0.12903225806451613,0.25806451612903225,0.0967741935483871,0.3870967741935484,0.5161290322580645,0.0967741935483871,0.03225806451612903,0.16129032258064516,0.03225806451612903,0.03225806451612903,0.06451612903225806,0.03225806451612903,0.03225806451612903,0.25806451612903225,0.06451612903225806,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.06451612903225806,0.06451612903225806,0.06451612903225806,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903
#premiere-voix,29.03225806451613,29.03225806451613,29.03225806451613,29.03225806451613,0.12903225806451613,0.25806451612903225,0.0967741935483871,0.3870967741935484,0.5161290322580645,0.0967741935483871,0.03225806451612903,0.16129032258064516,0.03225806451612903,0.03225806451612903,0.06451612903225806,0.03225806451612903,0.03225806451612903,0.25806451612903225,0.06451612903225806,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.06451612903225806,0.06451612903225806,0.06451612903225806,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903
#premiere-voix,29.03225806451613,29.03225806451613,29.03225806451613,29.03225806451613,0.12903225806451613,0.25806451612903225,0.0967741935483871,0.3870967741935484,0.5161290322580645,0.0967741935483871,0.03225806451612903,0.16129032258064516,0.03225806451612903,0.03225806451612903,0.06451612903225806,0.03225806451612903,0.03225806451612903,0.25806451612903225,0.06451612903225806,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.06451612903225806,0.06451612903225806,0.06451612903225806,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903
#premiere-voix,29.03225806451613,29.03225806451613,29.03225806451613,29.03225806451613,0.12903225806451613,0.25806451612903225,0.0967741935483871,0.3870967741935484,0.5161290322580645,0.0967741935483871,0.03225806451612903,0.16129032258064516,0.03225806451612903,0.03225806451612903,0.06451612903225806,0.03225806451612903,0.03225806451612903,0.25806451612903225,0.06451612903225806,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.06451612903225806,0.06451612903225806,0.06451612903225806,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903
#julie,0.12903225806451613,0.12903225806451613,0.12903225806451613,0.12903225806451613,23.516129032258064,3.7510080645161294,6.720430107526881,0.19422043010752688,0.548891129032258,0.3870967741935484,0.12903225806451613,0.6451612903225806,0.12903225806451613,0.12903225806451613,0.25806451612903225,0.12903225806451613,0.12903225806451613,0.9072580645161291,0.25806451612903225,0.12903225806451613,0.12903225806451613,0.12903225806451613,0.25806451612903225,0.25806451612903225,0.25806451612903225,0.12903225806451613,0.12903225806451613,0.12903225806451613,0.12903225806451613,0.12903225806451613,0.12903225806451613,0.12903225806451613
#eraste,0.25806451612903225,0.25806451612903225,0.25806451612903225,0.25806451612903225,3.7510080645161294,17.06451612903226,1.9408602150537635,0.0030241935483870915,1.097782258064516,1.9408602150537635,2.1330645161290325,0.3903225806451614,2.1330645161290325,0.25806451612903225,0.5161290322580645,0.25806451612903225,0.25806451612903225,0.548891129032258,0.5161290322580645,0.25806451612903225,0.25806451612903225,0.25806451612903225,0.5161290322580645,0.5161290322580645,0.5161290322580645,0.25806451612903225,0.25806451612903225,0.25806451612903225,0.25806451612903225,0.25806451612903225,0.25806451612903225,0.25806451612903225
