VALEUR,#marc-antoine,#don-alfonce,#don-japhet,#le-bailli,#foucaral,#torribo-poncil,#llorente-riberos,#leonore,#marine,#jean-vincent,#rodrigue,#le-commandeur,#don-alvare,#le-harangueur,#tous,#la-duegne,#elvire,#le-courier
Fréquences (scènes),0.32142857142857145,0.5357142857142857,0.4642857142857143,0.10714285714285714,0.42857142857142855,0.03571428571428571,0.03571428571428571,0.35714285714285715,0.21428571428571427,0.07142857142857142,0.17857142857142858,0.2857142857142857,0.32142857142857145,0.07142857142857142,0.03571428571428571,0.03571428571428571,0.14285714285714285,0.03571428571428571
Fréquences(répliques),0.041935483870967745,0.11021505376344086,0.42096774193548386,0.020967741935483872,0.07634408602150537,0.001075268817204301,0.0016129032258064516,0.06881720430107527,0.046236559139784944,0.017204301075268817,0.013978494623655914,0.06774193548387097,0.05967741935483871,0.026344086021505377,0.001075268817204301,0.0016129032258064516,0.008602150537634409,0.015591397849462365
Confrontation,0.06091370558375635,0.12690355329949238,0.1218274111675127,0.03807106598984772,0.12944162436548223,0.012690355329949238,0.012690355329949238,0.09898477157360407,0.06598984771573604,0.027918781725888325,0.06852791878172589,0.07614213197969544,0.07360406091370558,0.027918781725888325,0.02284263959390863,0.0025380710659898475,0.025380710659898477,0.007614213197969543
Déviations,#marc-antoine,#don-alfonce,#don-japhet,#le-bailli,#foucaral,#torribo-poncil,#llorente-riberos,#leonore,#marine,#jean-vincent,#rodrigue,#le-commandeur,#don-alvare,#le-harangueur,#tous,#la-duegne,#elvire,#le-courier
#marc-antoine,12.89285714285714,3.621428571428572,0.3324175824175825,0.00132275132275133,0.19047619047619033,1.4325396825396828,1.4325396825396828,0.45873015873015877,0.00264550264550266,0.1984126984126985,0.22936507936507938,2.571428571428571,2.892857142857143,0.6428571428571428,0.3214285714285714,0.3214285714285714,1.2857142857142856,0.3214285714285714
#don-alfonce,3.6214285714285697,6.035714285714288,0.13351648351648357,0.09603174603174612,0.05079365079365092,0.4023809523809524,0.4023809523809524,0.07714285714285701,0.19206349206349224,0.8047619047619048,0.03857142857142851,0.3857142857142856,1.6510582010582016,0.004761904761904758,0.4023809523809524,0.5357142857142857,0.009523809523809516,0.5357142857142857
#don-japhet,0.3324175824175825,0.13351648351648357,8.035714285714286,1.8543956043956047,3.520146520146521,0.6181318681318684,0.6181318681318684,0.08901098901098911,0.0164835164835165,0.005494505494505508,1.2137362637362634,0.021978021978022032,0.007631257631257653,0.005494505494505508,0.6181318681318684,0.6181318681318684,1.857142857142857,0.6181318681318684
#le-bailli,0.0013227513227513134,0.09603174603174601,1.8543956043956047,22.321428571428577,2.2857142857142865,0.10714285714285714,0.10714285714285714,0.8047619047619048,2.8650793650793656,2.880952380952381,0.4023809523809524,0.8571428571428571,0.9642857142857144,0.21428571428571427,0.10714285714285714,0.10714285714285714,0.42857142857142855,0.10714285714285714
#foucaral,0.19047619047619066,0.050793650793650745,3.520146520146521,2.2857142857142865,9.142857142857146,0.7619047619047619,0.7619047619047619,0.6857142857142858,0.07142857142857152,0.023809523809523826,0.3428571428571429,0.7202380952380955,0.005291005291005253,0.023809523809523826,0.7619047619047619,0.42857142857142855,0.29761904761904756,0.7619047619047619
#torribo-poncil,1.4325396825396826,0.4023809523809524,0.618131868131868,0.10714285714285714,0.7619047619047619,26.03571428571429,26.03571428571429,0.35714285714285715,0.21428571428571427,0.07142857142857142,0.17857142857142858,0.2857142857142857,0.32142857142857145,0.07142857142857142,0.03571428571428571,0.03571428571428571,0.14285714285714285,0.03571428571428571
