VALEUR,#le-temps,#momus,#le-conseiller,#la-comtesse,#la-marquise,#le-bourgeois,#mercure,#un-garcon-marchand,#un-clerc,#un-provincial,#une-bourgeoise,#un-abbe,#la-nouveaute,#troupe-de-curieux,#lisandre,#eliante,#le-nouvelliste,#claudine,#le-baron,#la-baronne,#le-page,#la-cascade,#la-rimaille,#deux-suivants,#un-suivant,#ensemble
Confrontation,0.011111111111111112,0.06666666666666667,0.044444444444444446,0.044444444444444446,0.044444444444444446,0.044444444444444446,0.06666666666666667,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.14444444444444443,0.011111111111111112,0.03333333333333333,0.03333333333333333,0.011111111111111112,0.011111111111111112,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.022222222222222223,0.0,0.0,0.0
Déviations,#le-temps,#momus,#le-conseiller,#la-comtesse,#la-marquise,#le-bourgeois,#mercure,#un-garcon-marchand,#un-clerc,#un-provincial,#une-bourgeoise,#un-abbe,#la-nouveaute,#troupe-de-curieux,#lisandre,#eliante,#le-nouvelliste,#claudine,#le-baron,#la-baronne,#le-page,#la-cascade,#la-rimaille,#deux-suivants,#un-suivant,#ensemble
#le-temps,10.285714285714288,0.7619047619047619,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,1.2857142857142858,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.0,0.0,0.0
#momus,0.7619047619047619,8.642857142857144,2.880952380952381,2.880952380952381,2.880952380952381,2.880952380952381,0.7619047619047619,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.21428571428571427,1.9285714285714288,0.21428571428571427,0.42857142857142855,0.42857142857142855,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.42857142857142855,0.21428571428571427,0.0,0.0,0.0
#le-conseiller,0.14285714285714285,2.880952380952381,12.071428571428573,12.071428571428573,12.071428571428573,12.071428571428573,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.6428571428571429,0.07142857142857142,0.14285714285714285,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.07142857142857142,0.0,0.0,0.0
#le-conseiller,0.14285714285714285,2.880952380952381,12.071428571428573,12.071428571428573,12.071428571428573,12.071428571428573,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.6428571428571429,0.07142857142857142,0.14285714285714285,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.07142857142857142,0.0,0.0,0.0
#le-conseiller,0.14285714285714285,2.880952380952381,12.071428571428573,12.071428571428573,12.071428571428573,12.071428571428573,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.6428571428571429,0.07142857142857142,0.14285714285714285,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.07142857142857142,0.0,0.0,0.0
#le-conseiller,0.14285714285714285,2.880952380952381,12.071428571428573,12.071428571428573,12.071428571428573,12.071428571428573,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.6428571428571429,0.07142857142857142,0.14285714285714285,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.07142857142857142,0.0,0.0,0.0
#mercure,0.2857142857142857,0.7619047619047619,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,10.285714285714288,5.142857142857144,5.142857142857144,5.142857142857144,5.142857142857144,5.142857142857144,1.2857142857142858,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.0,0.0,0.0
#un-garcon-marchand,0.14285714285714285,0.21428571428571427,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,5.142857142857144,12.071428571428573,12.071428571428573,12.071428571428573,12.071428571428573,12.071428571428573,0.6428571428571429,0.07142857142857142,0.14285714285714285,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.07142857142857142,0.0,0.0,0.0
#un-garcon-marchand,0.14285714285714285,0.21428571428571427,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,5.142857142857144,12.071428571428573,12.071428571428573,12.071428571428573,12.071428571428573,12.071428571428573,0.6428571428571429,0.07142857142857142,0.14285714285714285,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.07142857142857142,0.0,0.0,0.0
#un-garcon-marchand,0.14285714285714285,0.21428571428571427,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,5.142857142857144,12.071428571428573,12.071428571428573,12.071428571428573,12.071428571428573,12.071428571428573,0.6428571428571429,0.07142857142857142,0.14285714285714285,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.07142857142857142,0.0,0.0,0.0
#un-garcon-marchand,0.14285714285714285,0.21428571428571427,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,5.142857142857144,12.071428571428573,12.071428571428573,12.071428571428573,12.071428571428573,12.071428571428573,0.6428571428571429,0.07142857142857142,0.14285714285714285,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.07142857142857142,0.0,0.0,0.0
