VALEUR,#un-petit-genie,#tirrene,#trasibule,#cresus,#iphis,#esope,#arsinoe,#lais,#plexipe,#licas,#rhodope,#garde,#iphicrate,#leonide,#cleon,#griffet,#atis
Fréquences (scènes),0.02564102564102564,0.28205128205128205,0.2564102564102564,0.3333333333333333,0.07692307692307693,0.7692307692307693,0.1282051282051282,0.07692307692307693,0.02564102564102564,0.05128205128205128,0.10256410256410256,0.07692307692307693,0.02564102564102564,0.07692307692307693,0.02564102564102564,0.02564102564102564,0.02564102564102564
Fréquences(répliques),0.018511376783648285,0.03548013883532588,0.034708831469340534,0.11993829541072117,0.01774006941766294,0.5360586193598149,0.026610104126494408,0.03393752410335519,0.009255688391824142,0.0015426147319706903,0.04627844195912071,0.0015426147319706903,0.04010798303123795,0.016968762051677595,0.021596606247589665,0.03856536829926726,0.0011569610489780178
Confrontation,0.0,0.17261904761904762,0.15476190476190477,0.16071428571428573,0.023809523809523808,0.27380952380952384,0.047619047619047616,0.023809523809523808,0.005952380952380952,0.011904761904761904,0.02976190476190476,0.041666666666666664,0.005952380952380952,0.023809523809523808,0.005952380952380952,0.005952380952380952,0.011904761904761904
Déviations,#un-petit-genie,#tirrene,#trasibule,#cresus,#iphis,#esope,#arsinoe,#lais,#plexipe,#licas,#rhodope,#garde,#iphicrate,#leonide,#cleon,#griffet,#atis
#un-petit-genie,37.02564102564103,0.28205128205128205,0.2564102564102564,0.3333333333333333,0.07692307692307693,0.7692307692307693,0.1282051282051282,0.07692307692307693,0.02564102564102564,0.05128205128205128,0.10256410256410256,0.07692307692307693,0.02564102564102564,0.07692307692307693,0.02564102564102564,0.02564102564102564,0.02564102564102564
#tirrene,0.28205128205128205,20.102564102564102,18.275058275058278,3.0303030303030307,0.02797202797202793,0.025174825174825187,0.11934731934731929,0.8461538461538463,0.28205128205128205,0.5641025641025641,1.1282051282051282,1.5734265734265729,0.28205128205128205,0.8461538461538463,0.28205128205128205,0.28205128205128205,0.28205128205128205
#trasibule,0.2564102564102564,18.275058275058278,21.564102564102566,2.1333333333333337,0.0692307692307692,0.06230769230769234,0.062051282051282,0.7692307692307693,0.2564102564102564,0.5128205128205128,1.0256410256410255,0.0692307692307692,0.2564102564102564,0.7692307692307693,0.2564102564102564,0.2564102564102564,0.2564102564102564
#cresus,0.3333333333333333,3.0303030303030307,2.1333333333333337,17.33333333333334,0.0,0.1,0.26666666666666655,1.0,0.3333333333333333,0.6666666666666666,1.3333333333333333,1.0,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,1.3333333333333337
#iphis,0.07692307692307693,0.027972027972027975,0.06923076923076928,0.0,33.230769230769226,0.7410256410256412,0.3846153846153846,0.23076923076923078,0.07692307692307693,0.15384615384615385,0.3076923076923077,0.23076923076923078,0.07692307692307693,0.23076923076923078,0.07692307692307693,0.07692307692307693,0.07692307692307693
#esope,0.7692307692307692,0.025174825174825187,0.06230769230769219,0.1,0.7410256410256412,2.076923076923077,0.18615384615384603,0.04102564102564109,0.06923076923076928,0.13846153846153855,0.2769230769230771,0.04102564102564109,0.06923076923076928,0.20769230769230754,0.06923076923076928,0.06923076923076928,0.06923076923076928
#arsinoe,0.1282051282051282,0.11934731934731929,0.062051282051282,0.26666666666666655,0.38461538461538464,0.1861538461538462,29.64102564102565,6.7846153846153845,0.1282051282051282,0.2564102564102564,0.5128205128205128,0.38461538461538464,0.1282051282051282,0.38461538461538464,0.1282051282051282,0.1282051282051282,0.1282051282051282
#lais,0.07692307692307693,0.8461538461538461,0.7692307692307692,1.0,0.23076923076923078,0.04102564102564109,6.784615384615385,33.230769230769226,0.07692307692307693,0.15384615384615385,0.3076923076923077,0.23076923076923078,0.07692307692307693,0.23076923076923078,0.07692307692307693,0.07692307692307693,0.07692307692307693
#plexipe,0.02564102564102564,0.28205128205128205,0.2564102564102564,0.3333333333333333,0.07692307692307693,0.0692307692307692,0.1282051282051282,0.07692307692307693,37.02564102564103,0.05128205128205128,0.10256410256410256,0.07692307692307693,0.02564102564102564,0.07692307692307693,0.02564102564102564,0.02564102564102564,0.02564102564102564
#licas,0.05128205128205128,0.5641025641025641,0.5128205128205128,0.6666666666666666,0.15384615384615385,0.1384615384615384,0.2564102564102564,0.15384615384615385,0.05128205128205128,35.1025641025641,0.20512820512820512,0.15384615384615385,0.05128205128205128,0.15384615384615385,0.05128205128205128,0.05128205128205128,0.05128205128205128
#rhodope,0.10256410256410256,1.1282051282051282,1.0256410256410255,1.3333333333333333,0.3076923076923077,0.2769230769230768,0.5128205128205128,0.3076923076923077,0.10256410256410256,0.20512820512820512,31.410256410256412,0.3076923076923077,0.10256410256410256,1.5576923076923075,0.10256410256410256,0.10256410256410256,0.10256410256410256
#garde,0.07692307692307693,1.573426573426573,0.06923076923076928,1.0,0.23076923076923078,0.04102564102564109,0.3846153846153846,0.23076923076923078,0.07692307692307693,0.15384615384615385,0.3076923076923077,33.230769230769226,0.07692307692307693,0.23076923076923078,0.07692307692307693,0.07692307692307693,0.07692307692307693
#iphicrate,0.02564102564102564,0.28205128205128205,0.2564102564102564,0.3333333333333333,0.07692307692307693,0.0692307692307692,0.1282051282051282,0.07692307692307693,0.02564102564102564,0.05128205128205128,0.10256410256410256,0.07692307692307693,37.02564102564103,0.07692307692307693,0.02564102564102564,0.02564102564102564,0.02564102564102564
#leonide,0.07692307692307693,0.8461538461538461,0.7692307692307692,1.0,0.23076923076923078,0.20769230769230754,0.3846153846153846,0.23076923076923078,0.07692307692307693,0.15384615384615385,1.5576923076923075,0.23076923076923078,0.07692307692307693,33.230769230769226,0.07692307692307693,0.07692307692307693,0.07692307692307693
#cleon,0.02564102564102564,0.28205128205128205,0.2564102564102564,0.3333333333333333,0.07692307692307693,0.0692307692307692,0.1282051282051282,0.07692307692307693,0.02564102564102564,0.05128205128205128,0.10256410256410256,0.07692307692307693,0.02564102564102564,0.07692307692307693,37.02564102564103,0.02564102564102564,0.02564102564102564
#griffet,0.02564102564102564,0.28205128205128205,0.2564102564102564,0.3333333333333333,0.07692307692307693,0.0692307692307692,0.1282051282051282,0.07692307692307693,0.02564102564102564,0.05128205128205128,0.10256410256410256,0.07692307692307693,0.02564102564102564,0.07692307692307693,0.02564102564102564,37.02564102564103,0.02564102564102564
#atis,0.02564102564102564,0.28205128205128205,0.2564102564102564,1.3333333333333337,0.07692307692307693,0.0692307692307692,0.1282051282051282,0.07692307692307693,0.02564102564102564,0.05128205128205128,0.10256410256410256,0.07692307692307693,0.02564102564102564,0.07692307692307693,0.02564102564102564,0.02564102564102564,37.02564102564103
Successions,#un-petit-genie,#tirrene,#trasibule,#cresus,#iphis,#esope,#arsinoe,#lais,#plexipe,#licas,#rhodope,#garde,#iphicrate,#leonide,#cleon,#griffet,#atis
#un-petit-genie,,,,,,,,,,,,,,,,,
#tirrene,0.05263157894736842,0.0,0.3157894736842105,0.2631578947368421,0.05263157894736842,0.3157894736842105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#trasibule,0.0,0.6,0.0,0.13333333333333333,0.06666666666666667,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#cresus,0.0,0.13043478260869565,0.06521739130434782,0.10869565217391304,0.043478260869565216,0.5434782608695652,0.021739130434782608,0.0,0.0,0.0,0.021739130434782608,0.043478260869565216,0.0,0.0,0.0,0.0,0.021739130434782608
#iphis,0.0,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#esope,0.0,0.013605442176870748,0.034013605442176874,0.1836734693877551,0.027210884353741496,0.027210884353741496,0.047619047619047616,0.027210884353741496,0.061224489795918366,0.013605442176870748,0.10884353741496598,0.006802721088435374,0.1292517006802721,0.08163265306122448,0.10884353741496598,0.1292517006802721,0.0
#arsinoe,0.0,0.0,0.0,0.1111111111111111,0.0,0.2777777777777778,0.0,0.6111111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#lais,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#plexipe,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#plexipe,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#rhodope,0.0,0.05555555555555555,0.0,0.0,0.0,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0
#garde,0.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#iphicrate,0.0,0.0,0.0,0.05263157894736842,0.0,0.9473684210526315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#leonide,0.0,0.0,0.0,0.0,0.0,0.9230769230769231,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0
#plexipe,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#plexipe,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#plexipe,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
