VALEUR,#don-lope,#lazarille,#le-comte,#le-roi,#don-sanche,#le-secretaire,#leonor,#don-bernard,#dorothee,#l-infante,#un-garde,#gardes
Fréquences (scènes),0.4634146341463415,0.2682926829268293,0.1951219512195122,0.4878048780487805,0.024390243902439025,0.17073170731707318,0.21951219512195122,0.3170731707317073,0.04878048780487805,0.21951219512195122,0.024390243902439025,0.024390243902439025
Fréquences(répliques),0.23519913885898816,0.059203444564047365,0.03283100107642627,0.2201291711517761,0.004305705059203444,0.03498385360602799,0.0898815931108719,0.2378902045209903,0.0193756727664155,0.0651237890204521,0.0005382131324004305,0.0005382131324004305
Confrontation,0.18181818181818182,0.13131313131313133,0.09090909090909091,0.1919191919191919,0.005050505050505051,0.0707070707070707,0.08585858585858586,0.10606060606060606,0.020202020202020204,0.09090909090909091,0.010101010101010102,0.015151515151515152
Déviations,#don-lope,#lazarille,#le-comte,#le-roi,#don-sanche,#le-secretaire,#leonor,#don-bernard,#dorothee,#l-infante,#un-garde,#gardes
#don-lope,11.804878048780488,6.834403080872914,0.023106546854942202,1.9656611039794603,0.4634146341463415,0.4769851457913077,2.4104977891884185,0.15799348276883576,1.2426187419768937,0.3286264441591785,0.4634146341463415,0.6213093709884469
#lazarille,6.834403080872914,21.951219512195124,0.3395232815964522,0.34767184035476695,0.2682926829268293,0.007918910357934733,0.8287755604828776,0.6346580249019274,3.9911308203991127,0.8287755604828776,0.2682926829268293,0.2682926829268293
#le-comte,0.023106546854942202,0.3395232815964522,26.5609756097561,1.1274390243902441,0.1951219512195122,0.29442508710801385,0.32554200542005424,0.11350844277673548,0.3902439024390244,1.7560975609756098,0.1951219512195122,0.1951219512195122
#le-roi,1.9656611039794616,0.34767184035476734,1.1274390243902441,10.756097560975611,0.5378048780487805,0.10034843205574899,0.590243902439024,0.28377110694183877,0.975609756097561,0.08468834688346873,0.5378048780487805,0.5378048780487805
#don-sanche,0.4634146341463415,0.2682926829268293,0.1951219512195122,0.5378048780487805,39.02439024390243,0.17073170731707318,0.21951219512195122,0.3170731707317073,0.04878048780487805,0.21951219512195122,0.024390243902439025,0.024390243902439025
#le-secretaire,0.47698514579130796,0.007918910357934704,0.2944250871080136,0.10034843205574899,0.1707317073170732,28.195121951219505,0.13975996902826154,2.2195121951219514,0.3414634146341464,0.18737901664730947,4.027874564459929,0.1707317073170732
#leonor,2.4104977891884185,0.8287755604828779,0.32554200542005424,0.590243902439024,0.21951219512195122,0.1397599690282617,24.975609756097562,0.2553679382947675,0.43902439024390244,2.0743751881963264,0.21951219512195122,0.21951219512195122
#don-bernard,0.15799348276883576,0.6346580249019277,0.11350844277673548,0.28377110694183877,0.3170731707317073,2.2195121951219514,0.2553679382947675,19.121951219512198,0.6341463414634146,0.007504690431519714,0.3170731707317073,0.3170731707317073
#dorothee,1.2426187419768937,3.9911308203991127,0.3902439024390244,0.975609756097561,0.04878048780487805,0.34146341463414637,0.43902439024390244,0.6341463414634146,37.09756097560975,0.43902439024390244,0.04878048780487805,0.04878048780487805
