VALEUR,#choeur-des-romains,#choeur-des-romaines,#valerius,#horace,#le-choeur,#mutius,#horace #mutius,#le-peuple,#choeur-general,#le-soldat,#un-romain,#le-jeune-horace,#le-depute,#un-soldat
Fréquences (scènes),0.1111111111111111,0.1111111111111111,0.4444444444444444,1.0,0.4444444444444444,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.1111111111111111
Fréquences(répliques),0.012539184952978056,0.012539184952978056,0.12539184952978055,0.329153605015674,0.04075235109717868,0.21316614420062696,0.006269592476489028,0.012539184952978056,0.03761755485893417,0.006269592476489028,0.05329153605015674,0.0438871473354232,0.0877742946708464,0.018808777429467086
Confrontation,0.03773584905660377,0.03773584905660377,0.12264150943396226,0.2169811320754717,0.14150943396226415,0.07547169811320754,0.05660377358490566,0.05660377358490566,0.07547169811320754,0.018867924528301886,0.07547169811320754,0.02830188679245283,0.02830188679245283,0.02830188679245283
Déviations,#choeur-des-romains,#choeur-des-romaines,#valerius,#horace,#le-choeur,#mutius,#horace #mutius,#le-peuple,#choeur-general,#le-soldat,#un-romain,#le-jeune-horace,#le-depute,#un-soldat
#choeur-des-romains,7.111111111111111,7.111111111111111,0.6944444444444445,0.0,0.6944444444444445,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.1111111111111111
#choeur-des-romains,7.111111111111111,7.111111111111111,0.6944444444444445,0.0,0.6944444444444445,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.1111111111111111
#valerius,0.6944444444444445,0.6944444444444445,2.777777777777778,0.0,0.027777777777777804,0.013888888888888902,0.6944444444444445,0.6944444444444445,1.388888888888889,0.4444444444444444,1.3333333333333333,0.4444444444444444,0.4444444444444444,0.4444444444444444
#horace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-choeur,0.6944444444444445,0.6944444444444445,0.027777777777777804,0.0,2.777777777777778,1.388888888888889,0.6944444444444445,0.6944444444444445,0.013888888888888902,0.4444444444444444,0.0833333333333333,0.4444444444444444,0.4444444444444444,0.6944444444444445
#mutius,0.2222222222222222,0.2222222222222222,0.013888888888888902,0.0,1.388888888888889,5.444444444444445,2.7222222222222223,2.7222222222222223,0.6944444444444445,0.2222222222222222,0.6666666666666666,0.2222222222222222,0.2222222222222222,0.2222222222222222
#horace #mutius,0.1111111111111111,0.1111111111111111,0.6944444444444445,0.0,0.6944444444444445,2.7222222222222223,7.111111111111111,7.111111111111111,2.7222222222222223,0.1111111111111111,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.1111111111111111
#horace #mutius,0.1111111111111111,0.1111111111111111,0.6944444444444445,0.0,0.6944444444444445,2.7222222222222223,7.111111111111111,7.111111111111111,2.7222222222222223,0.1111111111111111,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.1111111111111111
