VALEUR,#daphnis,#themire,#schnapan,#themire #daphnis,#un-berger,#un-chasseur
Fréquences (scènes),0.6,0.6,0.4,0.2,0.2,0.2
Fréquences(répliques),0.3656716417910448,0.31343283582089554,0.21144278606965175,0.05223880597014925,0.01990049751243781,0.03731343283582089
Confrontation,0.1111111111111111,0.16666666666666666,0.2222222222222222,0.16666666666666666,0.16666666666666666,0.16666666666666666
Déviations,#daphnis,#themire,#schnapan,#themire #daphnis,#un-berger,#un-chasseur
#daphnis,0.8000000000000003,0.022222222222222265,1.2000000000000002,0.6000000000000001,0.6000000000000001,0.6000000000000001
#themire,0.022222222222222265,0.8000000000000003,0.03333333333333339,0.6000000000000001,0.6000000000000001,0.6000000000000001
#schnapan,1.2,0.03333333333333332,1.7999999999999998,0.8999999999999999,0.8999999999999999,0.8999999999999999
#themire #daphnis,0.6,0.6,0.8999999999999999,3.2000000000000006,3.2000000000000006,3.2000000000000006
#themire #daphnis,0.6,0.6,0.8999999999999999,3.2000000000000006,3.2000000000000006,3.2000000000000006
#themire #daphnis,0.6,0.6,0.8999999999999999,3.2000000000000006,3.2000000000000006,3.2000000000000006
Successions,#daphnis,#themire,#schnapan,#themire #daphnis,#un-berger,#un-chasseur
#daphnis,0.03333333333333333,0.9666666666666667,0.0,0.0,0.0,0.0
#themire,0.8285714285714286,0.02857142857142857,0.14285714285714285,0.0,0.0,0.0
#schnapan,0.125,0.625,0.125,0.0,0.0,0.125
#themire #daphnis,0.0,0.0,1.0,0.0,0.0,0.0
#un-berger,0.0,0.0,0.0,1.0,0.0,0.0
#un-chasseur,0.0,0.0,0.0,0.0,1.0,0.0
