VALEUR,#sganarelle,#gusman,#don-juan,#elvire,#charlotte,#pierrot,#maturine,#la-ramee,#leonor,#therese,#don-carlos,#alonse,#la-violette,#don-louis,#monsieur-dimanche,#la-statue,#pascale
Fréquences (scènes),0.8571428571428571,0.02857142857142857,0.8571428571428571,0.05714285714285714,0.17142857142857143,0.05714285714285714,0.08571428571428572,0.02857142857142857,0.11428571428571428,0.02857142857142857,0.05714285714285714,0.02857142857142857,0.05714285714285714,0.05714285714285714,0.02857142857142857,0.05714285714285714,0.02857142857142857
Fréquences(répliques),0.28256346233874324,0.010819808572617561,0.359966708281315,0.06325426550145652,0.04078235538909696,0.08198085726175613,0.007906783187682065,0.0024968789013732834,0.02871410736579276,0.005409904286308781,0.025801081980857263,0.002913025384935497,0.002913025384935497,0.03953391593841032,0.027049521431543905,0.00957136912193092,0.008322929671244279
Confrontation,0.28823529411764703,0.0058823529411764705,0.3058823529411765,0.023529411764705882,0.07647058823529412,0.023529411764705882,0.041176470588235294,0.011764705882352941,0.06470588235294118,0.01764705882352941,0.01764705882352941,0.011764705882352941,0.029411764705882353,0.023529411764705882,0.011764705882352941,0.029411764705882353,0.01764705882352941
Déviations,#sganarelle,#gusman,#don-juan,#elvire,#charlotte,#pierrot,#maturine,#la-ramee,#leonor,#therese,#don-carlos,#alonse,#la-violette,#don-louis,#monsieur-dimanche,#la-statue,#pascale
#sganarelle,0.7142857142857153,0.023809523809523826,0.0031746031746032314,0.04761904761904765,0.2539682539682541,0.29761904761904756,0.12698412698412706,0.023809523809523826,0.0952380952380953,0.023809523809523826,1.7142857142857142,0.8571428571428571,0.04761904761904765,0.29761904761904756,0.023809523809523826,0.04761904761904765,0.023809523809523826
#gusman,0.023809523809523826,33.02857142857143,0.8571428571428571,0.05714285714285714,0.17142857142857143,0.05714285714285714,0.08571428571428572,0.02857142857142857,0.11428571428571428,0.02857142857142857,0.05714285714285714,0.02857142857142857,0.05714285714285714,0.05714285714285714,0.02857142857142857,0.05714285714285714,0.02857142857142857
#don-juan,0.0031746031746032314,0.8571428571428571,0.7142857142857153,0.04761904761904765,0.2539682539682541,0.29761904761904756,0.12698412698412706,0.023809523809523826,0.0952380952380953,0.023809523809523826,0.04761904761904765,0.023809523809523826,0.04761904761904765,0.04761904761904765,0.023809523809523826,0.04761904761904765,0.023809523809523826
#elvire,0.04761904761904765,0.05714285714285714,0.04761904761904765,31.114285714285714,0.34285714285714286,0.11428571428571428,0.17142857142857143,0.05714285714285714,0.22857142857142856,0.05714285714285714,0.11428571428571428,0.05714285714285714,0.11428571428571428,0.11428571428571428,0.05714285714285714,0.11428571428571428,0.05714285714285714
#charlotte,0.25396825396825373,0.17142857142857143,0.25396825396825373,0.34285714285714286,24.028571428571432,8.009523809523808,12.014285714285716,0.17142857142857143,0.6857142857142857,0.17142857142857143,0.34285714285714286,0.17142857142857143,0.34285714285714286,0.34285714285714286,0.17142857142857143,0.34285714285714286,0.17142857142857143
#pierrot,0.29761904761904756,0.05714285714285714,0.29761904761904756,0.11428571428571428,8.009523809523808,31.114285714285714,0.17142857142857143,0.05714285714285714,0.22857142857142856,0.05714285714285714,0.11428571428571428,0.05714285714285714,0.11428571428571428,0.11428571428571428,0.05714285714285714,0.11428571428571428,0.05714285714285714
#maturine,0.12698412698412687,0.08571428571428572,0.12698412698412687,0.17142857142857143,12.014285714285716,0.17142857142857143,29.257142857142863,0.08571428571428572,0.34285714285714286,0.08571428571428572,0.17142857142857143,0.08571428571428572,0.17142857142857143,0.17142857142857143,0.08571428571428572,0.17142857142857143,0.08571428571428572
#la-ramee,0.023809523809523826,0.02857142857142857,0.023809523809523826,0.05714285714285714,0.17142857142857143,0.05714285714285714,0.08571428571428572,33.02857142857143,0.11428571428571428,0.02857142857142857,0.05714285714285714,0.02857142857142857,0.05714285714285714,0.05714285714285714,0.02857142857142857,0.05714285714285714,0.02857142857142857
#leonor,0.0952380952380953,0.11428571428571428,0.0952380952380953,0.22857142857142856,0.6857142857142857,0.22857142857142856,0.34285714285714286,0.11428571428571428,27.457142857142856,6.864285714285714,0.22857142857142856,0.11428571428571428,0.22857142857142856,0.22857142857142856,0.11428571428571428,2.6035714285714286,6.864285714285714
#therese,0.023809523809523826,0.02857142857142857,0.023809523809523826,0.05714285714285714,0.17142857142857143,0.05714285714285714,0.08571428571428572,0.02857142857142857,6.864285714285714,33.02857142857143,0.05714285714285714,0.02857142857142857,0.05714285714285714,0.05714285714285714,0.02857142857142857,0.05714285714285714,0.02857142857142857
#don-carlos,1.7142857142857142,0.05714285714285714,0.04761904761904765,0.11428571428571428,0.34285714285714286,0.11428571428571428,0.17142857142857143,0.05714285714285714,0.22857142857142856,0.05714285714285714,31.114285714285714,15.557142857142857,0.11428571428571428,0.11428571428571428,0.05714285714285714,0.11428571428571428,0.05714285714285714
