VALEUR,#arlequin,#dahi,#boubekir,#le-prince,#la-suivante,#la-princesse,#le-roi,#le-kam,#le-roi #le-kam
Fréquences (scènes),0.7692307692307693,0.07692307692307693,0.07692307692307693,0.23076923076923078,0.38461538461538464,0.3076923076923077,0.23076923076923078,0.07692307692307693,0.07692307692307693
Fréquences(répliques),0.32954545454545453,0.028409090909090908,0.08806818181818182,0.09659090909090909,0.2159090909090909,0.05113636363636364,0.125,0.05397727272727273,0.011363636363636364
Confrontation,0.21212121212121213,0.015151515151515152,0.015151515151515152,0.07575757575757576,0.19696969696969696,0.18181818181818182,0.15151515151515152,0.07575757575757576,0.07575757575757576
Déviations,#arlequin,#dahi,#boubekir,#le-prince,#la-suivante,#la-princesse,#le-roi,#le-kam,#le-roi #le-kam
#arlequin,0.6923076923076922,0.0692307692307692,0.0692307692307692,0.04102564102564109,0.1861538461538462,0.0019230769230769314,0.04102564102564109,0.0692307692307692,0.0692307692307692
#dahi,0.0692307692307692,11.076923076923078,0.07692307692307693,0.23076923076923078,0.38461538461538464,0.3076923076923077,0.23076923076923078,0.07692307692307693,0.07692307692307693
#boubekir,0.0692307692307692,0.07692307692307693,11.076923076923078,0.23076923076923078,0.38461538461538464,0.3076923076923077,0.23076923076923078,0.07692307692307693,0.07692307692307693
#le-prince,0.04102564102564109,0.23076923076923078,0.23076923076923078,7.692307692307691,0.020512820512820544,0.006410256410256401,0.13675213675213677,0.23076923076923078,0.23076923076923078
#la-suivante,0.1861538461538462,0.38461538461538464,0.38461538461538464,0.020512820512820544,4.9230769230769225,3.9384615384615387,2.953846153846153,0.9846153846153847,0.9846153846153847
#la-princesse,0.0019230769230769314,0.3076923076923077,0.3076923076923077,0.006410256410256401,3.9384615384615387,6.23076923076923,1.2564102564102562,1.5576923076923075,1.5576923076923075
#le-roi,0.04102564102564109,0.23076923076923078,0.23076923076923078,0.13675213675213677,2.953846153846153,1.2564102564102562,7.692307692307691,2.5641025641025634,2.5641025641025634
#le-kam,0.0692307692307692,0.07692307692307693,0.07692307692307693,0.23076923076923078,0.9846153846153847,1.5576923076923075,2.5641025641025634,11.076923076923078,11.076923076923078
#le-kam,0.0692307692307692,0.07692307692307693,0.07692307692307693,0.23076923076923078,0.9846153846153847,1.5576923076923075,2.5641025641025634,11.076923076923078,11.076923076923078
Successions,#arlequin,#dahi,#boubekir,#le-prince,#la-suivante,#la-princesse,#le-roi,#le-kam,#le-roi #le-kam
#arlequin,0.07692307692307693,0.07692307692307693,0.1794871794871795,0.15384615384615385,0.28205128205128205,0.1282051282051282,0.07692307692307693,0.02564102564102564,0.0
#dahi,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#dahi,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-prince,0.75,0.0,0.0,0.125,0.0,0.0,0.125,0.0,0.0
#la-suivante,0.5,0.0,0.0,0.0,0.0,0.13636363636363635,0.18181818181818182,0.13636363636363635,0.045454545454545456
#la-princesse,0.375,0.0,0.0,0.0,0.625,0.0,0.0,0.0,0.0
#le-roi,0.4166666666666667,0.0,0.0,0.08333333333333333,0.4166666666666667,0.0,0.08333333333333333,0.0,0.0
#le-kam,0.0,0.0,0.0,0.0,0.25,0.0,0.75,0.0,0.0
#dahi,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
