VALEUR,#alphenor,#cephise,#asterie,#le-roi,#prodote,#anaxandre,#phedime,#alcione
Fréquences (scènes),0.24242424242424243,0.48484848484848486,0.24242424242424243,0.18181818181818182,0.42424242424242425,0.3939393939393939,0.15151515151515152,0.18181818181818182
Fréquences(répliques),0.12043795620437957,0.2805005213764338,0.0808133472367049,0.07090719499478623,0.11574556830031282,0.17361835245046925,0.0364963503649635,0.12148070907194995
Confrontation,0.11290322580645161,0.20967741935483872,0.0967741935483871,0.11290322580645161,0.1935483870967742,0.1532258064516129,0.04838709677419355,0.07258064516129033
Déviations,#alphenor,#cephise,#asterie,#le-roi,#prodote,#anaxandre,#phedime,#alcione
#alphenor,18.939393939393938,0.003787878787878781,1.9393939393939394,1.6420454545454544,0.7600108225108224,0.4207459207459207,1.2121212121212122,1.4545454545454546
#cephise,0.003787878787878781,8.757575757575758,1.1600378787878787,0.409090909090909,0.09145021645021649,1.7309149184149182,2.4242424242424243,0.0028409090909090854
#asterie,1.9393939393939394,1.1600378787878787,18.939393939393938,1.4545454545454546,0.045725108225108245,0.4207459207459207,1.2121212121212122,0.14204545454545456
#le-roi,1.6420454545454544,0.409090909090909,1.4545454545454546,22.090909090909093,2.366883116883117,0.7867132867132864,0.9090909090909092,0.007575757575757562
#prodote,0.7600108225108224,0.09145021645021649,0.045725108225108245,2.366883116883117,10.93939393939394,1.1470196470196468,0.5926406926406926,0.9383116883116882
#anaxandre,0.4207459207459207,1.7309149184149182,0.4207459207459207,0.7867132867132868,1.1470196470196472,12.121212121212121,4.662004662004661,0.17132867132867127
#phedime,1.2121212121212122,2.4242424242424243,1.2121212121212122,0.9090909090909092,0.5926406926406926,4.662004662004661,23.757575757575754,0.9090909090909092
#alcione,1.4545454545454546,0.0028409090909090854,0.14204545454545456,0.007575757575757562,0.9383116883116882,0.17132867132867152,0.9090909090909092,22.090909090909093
Successions,#alphenor,#cephise,#asterie,#le-roi,#prodote,#anaxandre,#phedime,#alcione
#alphenor,0.0,0.3333333333333333,0.0,0.09090909090909091,0.3333333333333333,0.24242424242424243,0.0,0.0
#cephise,0.11428571428571428,0.02857142857142857,0.1523809523809524,0.20952380952380953,0.1523809523809524,0.1619047619047619,0.0,0.18095238095238095
#asterie,0.02857142857142857,0.42857142857142855,0.0,0.0,0.17142857142857143,0.37142857142857144,0.0,0.0
#le-roi,0.06976744186046512,0.4418604651162791,0.023255813953488372,0.0,0.3488372093023256,0.06976744186046512,0.0,0.046511627906976744
#prodote,0.18032786885245902,0.3114754098360656,0.08196721311475409,0.19672131147540983,0.01639344262295082,0.21311475409836064,0.0,0.0
#anaxandre,0.08108108108108109,0.22972972972972974,0.16216216216216217,0.04054054054054054,0.14864864864864866,0.013513513513513514,0.14864864864864866,0.17567567567567569
#phedime,0.0,0.0,0.09090909090909091,0.0,0.09090909090909091,0.7272727272727273,0.0,0.09090909090909091
#alcione,0.02857142857142857,0.6,0.0,0.05714285714285714,0.0,0.3142857142857143,0.0,0.0
