VALEUR,#natalie,#theodore,#fauste,#adrian,#apollinaire,#martian,#maximian,#placide,#saint-adrian
Fréquences (scènes),0.6956521739130435,0.30434782608695654,0.21739130434782608,0.21739130434782608,0.2608695652173913,0.391304347826087,0.30434782608695654,0.13043478260869565,0.043478260869565216
Fréquences(répliques),0.3322166387493021,0.10496929089893914,0.05918481295365718,0.10385259631490787,0.08431044109436069,0.1474036850921273,0.15633724176437744,0.005025125628140704,0.006700167504187605
Confrontation,0.1796875,0.09375,0.0546875,0.1171875,0.1484375,0.15625,0.1484375,0.09375,0.0078125
Déviations,#natalie,#theodore,#fauste,#adrian,#apollinaire,#martian,#maximian,#placide,#saint-adrian
#natalie,2.130434782608696,0.26242236024844706,0.07826086956521743,0.07826086956521743,1.1322463768115942,1.6983695652173914,1.690993788819876,0.5661231884057971,0.1331521739130435
#theodore,0.26242236024844706,11.130434782608695,1.4360248447204973,0.1503105590062113,0.3737060041407867,2.739130434782609,2.130434782608696,0.9130434782608695,0.30434782608695654
#fauste,0.07826086956521743,1.4360248447204964,14.08695652173913,1.0869565217391304,1.3043478260869565,1.9565217391304348,1.5217391304347827,0.6521739130434783,0.21739130434782608
#adrian,0.07826086956521743,0.1503105590062111,1.0869565217391304,14.08695652173913,2.2043478260869565,0.0009661835748792257,0.1503105590062111,2.785507246376812,0.21739130434782608
#apollinaire,1.1322463768115942,0.3737060041407868,1.3043478260869565,2.2043478260869565,12.56521739130435,2.995974235104669,5.516563146997929,6.282608695652175,0.2608695652173913
#martian,1.698369565217391,2.739130434782609,1.9565217391304348,0.0009661835748792257,2.9959742351046708,8.52173913043478,6.628019323671495,2.840579710144928,0.3913043478260869
#maximian,1.690993788819876,2.130434782608696,1.5217391304347825,0.1503105590062113,5.51656314699793,6.628019323671495,11.130434782608695,4.770186335403727,0.30434782608695654
#placide,0.5661231884057971,0.9130434782608696,0.6521739130434783,2.785507246376812,6.282608695652175,2.840579710144927,4.770186335403726,17.39130434782609,0.13043478260869565
#saint-adrian,0.1331521739130435,0.30434782608695654,0.21739130434782608,0.21739130434782608,0.2608695652173913,0.391304347826087,0.30434782608695654,0.13043478260869565,21.043478260869566
Successions,#natalie,#theodore,#fauste,#adrian,#apollinaire,#martian,#maximian,#placide,#saint-adrian
#natalie,0.057971014492753624,0.34782608695652173,0.14492753623188406,0.14492753623188406,0.0,0.043478260869565216,0.2463768115942029,0.0,0.014492753623188406
#theodore,0.6857142857142857,0.02857142857142857,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0
#fauste,0.625,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#adrian,0.25,0.1111111111111111,0.027777777777777776,0.0,0.3055555555555556,0.027777777777777776,0.2777777777777778,0.0,0.0
#apollinaire,0.07142857142857142,0.0,0.0,0.39285714285714285,0.0,0.17857142857142858,0.32142857142857145,0.03571428571428571,0.0
#martian,0.23529411764705882,0.0,0.0,0.058823529411764705,0.23529411764705882,0.0,0.47058823529411764,0.0,0.0
#maximian,0.29411764705882354,0.0,0.0,0.17647058823529413,0.2549019607843137,0.1568627450980392,0.0784313725490196,0.0392156862745098,0.0
#placide,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
#saint-adrian,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
