VALEUR,#lepine,#clitandre,#julienne,#madame-agathe,#julien,#charlot,#colette,#le-bailli,#maturin,#monsieur-touvenel,#mademoiselle-lolotte
Fréquences (scènes),0.52,0.32,0.36,0.44,0.2,0.52,0.16,0.16,0.04,0.04,0.04
Fréquences(répliques),0.0,0.0,0.0,0.11904761904761904,0.0,0.19047619047619047,0.0,0.0,0.0,0.42857142857142855,0.2619047619047619
Confrontation,0.11797752808988764,0.12359550561797752,0.14606741573033707,0.16853932584269662,0.0898876404494382,0.15730337078651685,0.05056179775280899,0.07865168539325842,0.033707865168539325,0.016853932584269662,0.016853932584269662
Déviations,#lepine,#clitandre,#julienne,#madame-agathe,#julien,#charlot,#colette,#le-bailli,#maturin,#monsieur-touvenel,#mademoiselle-lolotte
#lepine,5.760000000000001,0.006153846153846165,0.09880341880341872,0.517202797202797,0.7538461538461537,2.0913609467455623,0.5607692307692308,0.5607692307692308,0.52,0.52,0.52
#clitandre,0.006153846153846165,11.559999999999997,1.560555555555556,0.07681818181818183,0.09999999999999995,0.3234615384615385,0.061250000000000006,2.31125,1.4449999999999996,0.32,0.32
#julienne,0.09880341880341872,1.560555555555556,10.24,0.27313131313131317,0.7999999999999999,0.09880341880341872,0.21777777777777782,0.21777777777777782,1.1377777777777778,0.36,0.36
#madame-agathe,0.5172027972027976,0.07681818181818183,0.27313131313131317,7.84,0.29090909090909073,0.9088111888111882,0.3281818181818182,0.8736363636363637,0.7127272727272729,0.7127272727272729,0.7127272727272729
#julien,0.7538461538461537,0.09999999999999995,0.8000000000000003,0.29090909090909073,16.0,0.9846153846153848,0.8000000000000002,1.7999999999999998,3.2000000000000006,0.20000000000000004,0.20000000000000004
#charlot,2.0913609467455623,0.3234615384615385,0.09880341880341872,0.908811188811189,0.9846153846153848,5.760000000000001,1.7723076923076921,0.0030769230769230826,0.44307692307692303,0.44307692307692303,0.44307692307692303
#colette,0.5607692307692308,0.061250000000000006,0.21777777777777782,0.3281818181818182,0.8000000000000002,1.7723076923076921,17.639999999999997,0.64,0.16,0.16,0.16
#le-bailli,0.5607692307692308,2.31125,0.21777777777777782,0.8736363636363637,1.7999999999999998,0.0030769230769230826,0.64,17.639999999999997,4.409999999999999,0.16,0.16
#maturin,0.52,1.4449999999999996,1.1377777777777778,0.7127272727272729,3.2000000000000006,0.44307692307692303,0.16,4.409999999999999,23.04,0.04,0.04
#monsieur-touvenel,0.52,0.32,0.36,0.7127272727272729,0.20000000000000004,0.44307692307692303,0.16,0.16,0.04,23.04,23.04
#monsieur-touvenel,0.52,0.32,0.36,0.7127272727272729,0.20000000000000004,0.44307692307692303,0.16,0.16,0.04,23.04,23.04
Successions,#lepine,#clitandre,#julienne,#madame-agathe,#julien,#charlot,#colette,#le-bailli,#maturin,#monsieur-touvenel,#mademoiselle-lolotte
#lepine,0.009174311926605505,0.12844036697247707,0.23853211009174313,0.11926605504587157,0.26605504587155965,0.21100917431192662,0.027522935779816515,0.0,0.0,0.0,0.0
#clitandre,0.45714285714285713,0.0,0.22857142857142856,0.0,0.08571428571428572,0.11428571428571428,0.02857142857142857,0.08571428571428572,0.0,0.0,0.0
#julienne,0.43103448275862066,0.1896551724137931,0.017241379310344827,0.05172413793103448,0.20689655172413793,0.06896551724137931,0.034482758620689655,0.0,0.0,0.0,0.0
#madame-agathe,0.23214285714285715,0.0,0.10714285714285714,0.0,0.07142857142857142,0.48214285714285715,0.0,0.08928571428571429,0.0,0.017857142857142856,0.0
#julien,0.5370370370370371,0.05555555555555555,0.14814814814814814,0.1111111111111111,0.0,0.018518518518518517,0.0,0.1111111111111111,0.018518518518518517,0.0,0.0
#charlot,0.21348314606741572,0.0449438202247191,0.0449438202247191,0.2696629213483146,0.011235955056179775,0.0,0.20224719101123595,0.21348314606741572,0.0,0.0,0.0
#colette,0.2916666666666667,0.0,0.125,0.041666666666666664,0.0,0.5416666666666666,0.0,0.0,0.0,0.0,0.0
#le-bailli,0.0,0.09090909090909091,0.06060606060606061,0.2727272727272727,0.09090909090909091,0.48484848484848486,0.0,0.0,0.0,0.0,0.0
#maturin,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#monsieur-touvenel,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.5
#mademoiselle-lolotte,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0
