VALEUR,#clidamant,#guillot,#lucidor,#ragotin,#boniface,#policarpe,#lisette,#beatrix,#polixene,#aminte
Fréquences (scènes),0.36,0.64,0.2,0.4,0.36,0.28,0.04,0.16,0.2,0.16
Fréquences(répliques),0.10245464247598719,0.4343649946638207,0.025613660618996798,0.12059765208110992,0.1056563500533618,0.10779082177161152,0.005336179295624333,0.03948772678762007,0.029882604055496264,0.0288153681963714
Confrontation,0.11875,0.19375,0.06875,0.15,0.125,0.10625,0.01875,0.05,0.09375,0.075
Déviations,#clidamant,#guillot,#lucidor,#ragotin,#boniface,#policarpe,#lisette,#beatrix,#polixene,#aminte
#clidamant,10.24,0.010000000000000018,2.688888888888889,0.10000000000000002,1.5486419753086418,2.5200000000000005,0.36,0.21777777777777782,0.02222222222222221,0.13444444444444442
#guillot,0.010000000000000018,3.2399999999999998,1.5125000000000002,0.3999999999999998,0.10027777777777773,0.05142857142857152,0.20249999999999999,0.07562499999999998,0.4500000000000001,0.950625
#lucidor,2.6888888888888896,1.5125000000000002,16.0,0.5,1.7999999999999998,1.4000000000000001,0.20000000000000004,0.049999999999999975,0.0,0.049999999999999975
#ragotin,0.0999999999999999,0.3999999999999998,0.5,9.0,0.7111111111111108,0.2285714285714287,0.8999999999999999,0.22500000000000006,0.0,0.09999999999999995
#boniface,1.5486419753086418,0.10027777777777773,1.8,0.7111111111111112,10.24,7.9644444444444416,0.36,1.44,0.7999999999999999,0.21777777777777782
#policarpe,2.52,0.05142857142857152,1.4000000000000004,0.22857142857142893,7.964444444444445,12.959999999999992,0.28,1.12,0.2571428571428568,0.6914285714285713
#lisette,0.36,0.20249999999999999,0.20000000000000004,0.8999999999999999,0.36,0.28,23.04,4.409999999999999,0.20000000000000004,0.16
#beatrix,0.21777777777777782,0.07562499999999998,0.049999999999999975,0.22500000000000006,1.44,1.12,4.409999999999999,17.639999999999997,0.8000000000000002,0.64
#polixene,0.022222222222222265,0.4500000000000001,0.0,0.0,0.8000000000000003,0.257142857142857,0.20000000000000004,0.8000000000000002,16.0,6.050000000000001
#aminte,0.13444444444444442,0.950625,0.049999999999999975,0.09999999999999995,0.21777777777777782,0.6914285714285713,0.16,0.64,6.050000000000001,17.639999999999997
Successions,#clidamant,#guillot,#lucidor,#ragotin,#boniface,#policarpe,#lisette,#beatrix,#polixene,#aminte
#clidamant,0.0,0.7735849056603774,0.11320754716981132,0.0,0.018867924528301886,0.018867924528301886,0.0,0.018867924528301886,0.05660377358490566,0.0
#guillot,0.42424242424242425,0.010101010101010102,0.010101010101010102,0.36363636363636365,0.050505050505050504,0.050505050505050504,0.0,0.09090909090909091,0.0,0.0
#lucidor,0.5714285714285714,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.14285714285714285
#ragotin,0.0,0.75,0.08333333333333333,0.0,0.041666666666666664,0.020833333333333332,0.0625,0.020833333333333332,0.0,0.020833333333333332
#boniface,0.0,0.18181818181818182,0.030303030303030304,0.030303030303030304,0.0,0.5151515151515151,0.0,0.0,0.18181818181818182,0.06060606060606061
#policarpe,0.0,0.06666666666666667,0.0,0.13333333333333333,0.6,0.0,0.0,0.0,0.06666666666666667,0.13333333333333333
#lisette,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#beatrix,0.09090909090909091,0.8181818181818182,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0
#polixene,0.10526315789473684,0.10526315789473684,0.0,0.05263157894736842,0.2631578947368421,0.10526315789473684,0.0,0.0,0.0,0.3684210526315789
#aminte,0.0,0.0,0.125,0.0,0.125,0.25,0.0,0.0,0.5,0.0
