VALEUR,#celie,#gorgibus,#la-suivante,#sganarelle,#la-femme-sganarelle,#gros-rene,#lelie,#le-parent,#villebrequin
Fréquences (scènes),0.375,0.16666666666666666,0.16666666666666666,0.5416666666666666,0.25,0.041666666666666664,0.5,0.041666666666666664,0.041666666666666664
Fréquences(répliques),0.11871508379888268,0.12011173184357542,0.0782122905027933,0.3756983240223464,0.10474860335195531,0.04189944134078212,0.13268156424581007,0.015363128491620111,0.012569832402234637
Confrontation,0.1794871794871795,0.08974358974358974,0.08974358974358974,0.23076923076923078,0.11538461538461539,0.01282051282051282,0.23076923076923078,0.01282051282051282,0.038461538461538464
Déviations,#celie,#gorgibus,#la-suivante,#sganarelle,#la-femme-sganarelle,#gros-rene,#lelie,#le-parent,#villebrequin
#celie,9.375,1.5,1.5,0.7211538461538461,0.6944444444444444,0.375,0.05555555555555555,0.375,0.375
#gorgibus,1.5,16.66666666666667,0.6666666666666666,0.6282051282051281,1.0,0.16666666666666666,0.0,0.16666666666666666,4.166666666666668
#la-suivante,1.5,0.6666666666666666,16.66666666666667,0.012820512820512798,0.0,0.16666666666666666,0.5,0.16666666666666666,0.16666666666666666
#sganarelle,0.7211538461538461,0.6282051282051281,0.012820512820512798,5.041666666666669,0.17307692307692307,0.5416666666666666,0.038461538461538464,0.3878205128205129,0.3878205128205129
#la-femme-sganarelle,0.6944444444444444,1.0,0.0,0.17307692307692307,13.5,0.25,0.0,0.25,0.25
#gros-rene,0.375,0.16666666666666666,0.16666666666666666,0.5416666666666666,0.25,22.04166666666667,0.5,0.041666666666666664,0.041666666666666664
#lelie,0.05555555555555555,0.0,0.5,0.038461538461538464,0.0,0.5,6.0,0.5,0.5
#le-parent,0.375,0.16666666666666666,0.16666666666666666,0.3878205128205129,0.25,0.041666666666666664,0.5,22.04166666666667,0.041666666666666664
#villebrequin,0.375,4.166666666666668,0.16666666666666666,0.3878205128205129,0.25,0.041666666666666664,0.5,0.041666666666666664,22.04166666666667
Successions,#celie,#gorgibus,#la-suivante,#sganarelle,#la-femme-sganarelle,#gros-rene,#lelie,#le-parent,#villebrequin
#celie,0.0,0.08108108108108109,0.13513513513513514,0.5135135135135135,0.08108108108108109,0.0,0.1891891891891892,0.0,0.0
#gorgibus,0.5,0.1,0.0,0.0,0.0,0.0,0.3,0.0,0.1
#la-suivante,0.4,0.13333333333333333,0.0,0.13333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0
#sganarelle,0.27692307692307694,0.015384615384615385,0.07692307692307693,0.03076923076923077,0.23076923076923078,0.0,0.3384615384615385,0.03076923076923077,0.0
#la-femme-sganarelle,0.0,0.0,0.0,0.9047619047619048,0.0,0.0,0.09523809523809523,0.0,0.0
#gros-rene,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.8571428571428571,0.0,0.0
#lelie,0.19148936170212766,0.02127659574468085,0.10638297872340426,0.425531914893617,0.06382978723404255,0.14893617021276595,0.02127659574468085,0.0,0.02127659574468085
#le-parent,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0
#villebrequin,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
