VALEUR,#maitre-grossel,#flon-flon,#la-comere-voire,#choeur-de-vieux-couplets,#maitre-gouffin,#le-menuet,#la-musette,#le-president,#le-greffier,#maitre-babillary,#choeur
Fréquences (scènes),0.5,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.5,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
Fréquences(répliques),0.3778801843317972,0.041474654377880185,0.07834101382488479,0.009216589861751152,0.19815668202764977,0.07373271889400922,0.059907834101382486,0.1382488479262673,0.0,0.018433179723502304,0.004608294930875576
Confrontation,0.17857142857142858,0.08928571428571429,0.08928571428571429,0.05357142857142857,0.14285714285714285,0.03571428571428571,0.05357142857142857,0.08928571428571429,0.08928571428571429,0.08928571428571429,0.08928571428571429
Déviations,#maitre-grossel,#flon-flon,#la-comere-voire,#choeur-de-vieux-couplets,#maitre-gouffin,#le-menuet,#la-musette,#le-president,#le-greffier,#maitre-babillary,#choeur
#maitre-grossel,1.5,1.0,1.0,0.5,0.16666666666666666,1.0,1.0,0.5,0.5,0.5,0.5
#flon-flon,1.0,2.6666666666666674,2.6666666666666674,1.3333333333333337,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
#flon-flon,1.0,2.6666666666666674,2.6666666666666674,1.3333333333333337,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
#choeur-de-vieux-couplets,0.5,1.3333333333333337,1.3333333333333337,4.166666666666668,0.5,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
#maitre-gouffin,0.16666666666666666,1.0,1.0,0.5,1.5,0.0,1.0,0.5,0.5,0.5,0.5
#le-menuet,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,2.6666666666666674,0.1666666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
#la-musette,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0,0.1666666666666667,2.6666666666666674,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
#le-president,0.5,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.5,0.3333333333333333,0.3333333333333333,4.166666666666668,4.166666666666668,4.166666666666668,4.166666666666668
#le-president,0.5,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.5,0.3333333333333333,0.3333333333333333,4.166666666666668,4.166666666666668,4.166666666666668,4.166666666666668
#le-president,0.5,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.5,0.3333333333333333,0.3333333333333333,4.166666666666668,4.166666666666668,4.166666666666668,4.166666666666668
#le-president,0.5,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.5,0.3333333333333333,0.3333333333333333,4.166666666666668,4.166666666666668,4.166666666666668,4.166666666666668
Successions,#maitre-grossel,#flon-flon,#la-comere-voire,#choeur-de-vieux-couplets,#maitre-gouffin,#le-menuet,#la-musette,#le-president,#le-greffier,#maitre-babillary,#choeur
#maitre-grossel,0.0,0.17647058823529413,0.29411764705882354,0.0,0.38235294117647056,0.0,0.0,0.08823529411764706,0.058823529411764705,0.0,0.0
#flon-flon,0.7777777777777778,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-comere-voire,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#choeur-de-vieux-couplets,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#maitre-gouffin,0.6666666666666666,0.0,0.0,0.05555555555555555,0.0,0.0,0.1111111111111111,0.1111111111111111,0.05555555555555555,0.0,0.0
#le-menuet,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-musette,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
#le-president,0.4,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.3,0.1,0.0
#le-greffier,0.3333333333333333,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.5,0.0,0.0,0.0
#maitre-babillary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
#maitre-babillary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
