VALEUR,#mariane,#dorante,#angelique,#madame-argant,#laurette,#la-marquise,#le-chevalier,#un-laquais,#un-commis,#rapin,#monsieur-franchard
Fréquences (scènes),0.30612244897959184,0.1836734693877551,0.24489795918367346,0.22448979591836735,0.3673469387755102,0.16326530612244897,0.5918367346938775,0.02040816326530612,0.04081632653061224,0.16326530612244897,0.24489795918367346
Fréquences(répliques),0.09912959381044488,0.05657640232108317,0.05560928433268859,0.10009671179883946,0.10831721470019343,0.05705996131528046,0.281431334622824,0.00048355899419729207,0.011121856866537718,0.1344294003868472,0.09574468085106383
Confrontation,0.13059701492537312,0.08955223880597014,0.11567164179104478,0.09701492537313433,0.14925373134328357,0.055970149253731345,0.1791044776119403,0.011194029850746268,0.007462686567164179,0.048507462686567165,0.11567164179104478
Déviations,#mariane,#dorante,#angelique,#madame-argant,#laurette,#la-marquise,#le-chevalier,#un-laquais,#un-commis,#rapin,#monsieur-franchard
#mariane,23.591836734693874,6.540287226001509,3.0123582766439907,0.040074211502782925,0.04353741496598633,0.0823129251700679,0.9327234342012665,0.3061224489795918,0.6122448979591836,0.8573129251700677,0.12346938775510206
#dorante,6.540287226001509,32.6530612244898,0.28741496598639477,0.00020614306328591643,0.14562862181909794,0.14994331065759628,1.0161857846586912,0.18367346938775508,0.36734693877551017,1.4693877551020407,1.463340891912321
#angelique,3.0123582766439907,0.2874149659863944,27.938775510204085,0.6332714904143477,0.44982993197278937,0.4696003401360544,0.0014661036828524483,0.24489795918367346,0.4897959183673469,0.4696003401360544,1.4457199546485267
#madame-argant,0.040074211502782925,0.00020614306328592535,0.6332714904143477,29.469387755102044,0.22768501339929886,1.7959183673469385,0.03684984965773151,0.22448979591836732,0.44897959183673464,0.3527365491651204,0.6332714904143477
#laurette,0.04353741496598633,0.14562862181909794,0.44982993197278887,0.2276850133992993,19.612244897959183,3.1887755102040827,2.0323715693173825,1.0895691609977325,0.0958049886621316,0.29988662131519256,0.5748299319727895
#la-marquise,0.0823129251700679,0.14994331065759628,0.46960034013605423,1.7959183673469385,3.1887755102040827,34.30612244897961,0.11400422237860633,4.288265306122451,0.3265306122448979,1.3061224489795915,1.9591836734693875
#le-chevalier,0.9327234342012665,1.0161857846586912,0.0014661036828524483,0.03684984965773138,2.0323715693173825,0.11400422237860659,8.163265306122453,0.2814919071076707,1.183673469387755,0.3381421534130894,0.11353506920009386
#un-laquais,0.3061224489795918,0.18367346938775508,0.24489795918367344,0.22448979591836732,1.0895691609977325,4.288265306122451,0.28149190710767086,47.020408163265316,0.040816326530612235,0.16326530612244894,0.24489795918367344
#un-commis,0.6122448979591836,0.36734693877551017,0.48979591836734687,0.44897959183673464,0.0958049886621316,0.3265306122448979,1.1836734693877549,0.040816326530612235,45.081632653061234,1.3890306122448985,0.48979591836734687
#rapin,0.8573129251700677,1.4693877551020407,0.46960034013605423,0.3527365491651204,0.29988662131519256,1.3061224489795915,0.33814215341308995,0.16326530612244894,1.3890306122448985,34.30612244897961,0.46960034013605423
#monsieur-franchard,0.12346938775510206,1.4633408919123199,1.4457199546485267,0.6332714904143477,0.5748299319727888,1.9591836734693877,0.11353506920009386,0.24489795918367346,0.4897959183673469,0.4696003401360544,27.938775510204085
Successions,#mariane,#dorante,#angelique,#madame-argant,#laurette,#la-marquise,#le-chevalier,#un-laquais,#un-commis,#rapin,#monsieur-franchard
#mariane,0.0,0.25609756097560976,0.36585365853658536,0.15853658536585366,0.06097560975609756,0.036585365853658534,0.06097560975609756,0.0,0.0,0.024390243902439025,0.036585365853658534
#dorante,0.525,0.0,0.025,0.025,0.075,0.025,0.175,0.0,0.0,0.0,0.15
#angelique,0.5223880597014925,0.014925373134328358,0.014925373134328358,0.05970149253731343,0.014925373134328358,0.029850746268656716,0.19402985074626866,0.0,0.0,0.08955223880597014,0.05970149253731343
#madame-argant,0.0975609756097561,0.012195121951219513,0.12195121951219512,0.0,0.024390243902439025,0.0,0.4878048780487805,0.0,0.0,0.04878048780487805,0.2073170731707317
#laurette,0.10144927536231885,0.057971014492753624,0.014492753623188406,0.08695652173913043,0.014492753623188406,0.2753623188405797,0.10144927536231885,0.0,0.0,0.30434782608695654,0.043478260869565216
#la-marquise,0.06818181818181818,0.022727272727272728,0.09090909090909091,0.0,0.38636363636363635,0.0,0.4090909090909091,0.022727272727272728,0.0,0.0,0.0
#le-chevalier,0.025,0.0375,0.0625,0.24375,0.075,0.11875,0.0,0.0,0.0,0.225,0.2125
#un-laquais,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#un-commis,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.7142857142857143,0.0
#rapin,0.02564102564102564,0.0,0.08974358974358974,0.038461538461538464,0.2564102564102564,0.0,0.44871794871794873,0.0,0.08974358974358974,0.0,0.05128205128205128
#monsieur-franchard,0.04225352112676056,0.08450704225352113,0.04225352112676056,0.22535211267605634,0.07042253521126761,0.0,0.4788732394366197,0.0,0.0,0.056338028169014086,0.0
