VALEUR,#evandre,#lepante,#tenare,#argant,#ismenie,#celie,#felice,#lypas,#armille,#nicas,#dorante,#page,#erphore
Fréquences (scènes),0.4827586206896552,0.27586206896551724,0.3103448275862069,0.034482758620689655,0.6896551724137931,0.41379310344827586,0.3448275862068966,0.27586206896551724,0.3448275862068966,0.034482758620689655,0.20689655172413793,0.034482758620689655,0.1724137931034483
Fréquences(répliques),0.14909478168264112,0.19435569755058574,0.04419595314164004,0.001597444089456869,0.2534611288604899,0.09105431309904154,0.03461128860489883,0.05058572949946752,0.043663471778487756,0.04153354632587859,0.042598509052183174,0.002129925452609159,0.051118210862619806
Confrontation,0.12146892655367232,0.07909604519774012,0.10451977401129943,0.00847457627118644,0.17231638418079095,0.10734463276836158,0.08757062146892655,0.08192090395480225,0.09887005649717515,0.01694915254237288,0.06779661016949153,0.01977401129943503,0.03389830508474576
Déviations,#evandre,#lepante,#tenare,#argant,#ismenie,#celie,#felice,#lypas,#armille,#nicas,#dorante,#page,#erphore
#evandre,7.758620689655173,1.1834975369458132,0.02736726874657913,0.5541871921182268,0.012315270935960609,0.555008210180624,0.6918719211822659,0.8977832512315269,0.9775862068965517,0.5541871921182268,0.0036945812807881763,0.5541871921182268,0.8280788177339901
#lepante,1.1834975369458125,15.20689655172414,0.09386973180076631,1.9008620689655176,0.04849137931034489,0.02909482758620689,0.2086206896551725,0.019396551724137925,0.2086206896551725,0.27586206896551724,1.0926724137931034,1.9008620689655176,0.10431034482758625
#tenare,0.02736726874657913,0.09386973180076631,13.793103448275863,1.5325670498084292,0.5180076628352485,0.020434227330779074,0.0034482758620689937,0.9272030651340994,1.1590038314176239,1.5325670498084292,0.6954022988505748,1.5325670498084292,0.19616858237547907
#argant,0.5541871921182264,1.9008620689655176,1.5325670498084292,27.034482758620694,0.6896551724137931,0.41379310344827586,0.3448275862068966,0.27586206896551724,0.3448275862068966,0.034482758620689655,0.20689655172413793,0.034482758620689655,0.1724137931034483
#ismenie,0.012315270935960609,0.04849137931034489,0.5180076628352491,0.6896551724137931,2.793103448275861,0.35919540229885033,0.17655172413793088,0.04849137931034489,0.17655172413793088,0.13965517241379305,0.0045977011494253055,0.13965517241379305,1.7382758620689658
#celie,0.555008210180624,0.02909482758620689,0.020434227330779004,0.41379310344827586,0.35919540229885033,9.96551724137931,3.604597701149425,0.02909482758620689,0.3129310344827587,0.8304597701149428,0.8855363984674329,0.41379310344827586,0.5522988505747127
#felice,0.6918719211822659,0.2086206896551725,0.0034482758620689646,0.3448275862068966,0.17655172413793088,3.604597701149425,12.44827586206896,0.2086206896551725,0.08827586206896544,1.2448275862068965,2.0689655172413794,0.3448275862068966,1.7241379310344829
#lypas,0.8977832512315271,0.019396551724137925,0.9272030651340994,0.27586206896551724,0.04849137931034489,0.02909482758620689,0.2086206896551725,15.20689655172414,0.2086206896551725,0.27586206896551724,3.321839080459771,1.9008620689655176,4.979310344827586
#armille,0.9775862068965517,0.2086206896551725,1.1590038314176245,0.3448275862068966,0.17655172413793088,0.3129310344827587,0.08827586206896544,0.2086206896551725,12.44827586206896,1.2448275862068965,0.0022988505747126528,1.2448275862068965,1.7241379310344829
#nicas,0.5541871921182264,0.27586206896551724,1.5325670498084292,0.034482758620689655,0.13965517241379305,0.8304597701149428,1.2448275862068965,0.27586206896551724,1.2448275862068965,27.034482758620694,0.20689655172413793,0.034482758620689655,0.1724137931034483
#dorante,0.0036945812807881763,1.0926724137931034,0.6954022988505745,0.20689655172413793,0.0045977011494253055,0.8855363984674329,2.0689655172413794,3.321839080459771,0.0022988505747126528,0.20689655172413793,18.24137931034483,3.040229885057472,3.7344827586206892
#page,0.5541871921182264,1.9008620689655176,1.5325670498084292,0.034482758620689655,0.13965517241379305,0.41379310344827586,0.3448275862068966,1.9008620689655176,1.2448275862068965,0.034482758620689655,3.040229885057472,27.034482758620694,0.1724137931034483
#erphore,0.8280788177339901,0.10431034482758625,0.1961685823754789,0.1724137931034483,1.7382758620689658,0.5522988505747127,1.7241379310344829,4.979310344827586,1.7241379310344829,0.1724137931034483,3.7344827586206892,0.1724137931034483,19.862068965517242
Successions,#evandre,#lepante,#tenare,#argant,#ismenie,#celie,#felice,#lypas,#armille,#nicas,#dorante,#page,#erphore
#evandre,0.0,0.38961038961038963,0.09090909090909091,0.0,0.22077922077922077,0.012987012987012988,0.03896103896103896,0.012987012987012988,0.18181818181818182,0.025974025974025976,0.0,0.0,0.025974025974025976
#lepante,0.33707865168539325,0.0,0.033707865168539325,0.02247191011235955,0.43820224719101125,0.011235955056179775,0.033707865168539325,0.06741573033707865,0.02247191011235955,0.0,0.033707865168539325,0.0,0.0
#tenare,0.18181818181818182,0.13636363636363635,0.0,0.0,0.3409090909090909,0.13636363636363635,0.022727272727272728,0.022727272727272728,0.11363636363636363,0.022727272727272728,0.022727272727272728,0.0,0.0
#argant,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#ismenie,0.14285714285714285,0.2789115646258503,0.10884353741496598,0.0,0.02040816326530612,0.19727891156462585,0.061224489795918366,0.04081632653061224,0.07482993197278912,0.061224489795918366,0.013605442176870748,0.0,0.0
#celie,0.0,0.01818181818181818,0.12727272727272726,0.0,0.5272727272727272,0.0,0.23636363636363636,0.03636363636363636,0.01818181818181818,0.03636363636363636,0.0,0.0,0.0
#felice,0.08571428571428572,0.02857142857142857,0.05714285714285714,0.0,0.2857142857142857,0.4,0.0,0.05714285714285714,0.05714285714285714,0.02857142857142857,0.0,0.0,0.0
#lypas,0.0,0.09090909090909091,0.06060606060606061,0.0,0.2727272727272727,0.030303030303030304,0.030303030303030304,0.0,0.06060606060606061,0.0,0.09090909090909091,0.030303030303030304,0.3333333333333333
#armille,0.3684210526315789,0.05263157894736842,0.10526315789473684,0.0,0.2894736842105263,0.02631578947368421,0.07894736842105263,0.02631578947368421,0.0,0.02631578947368421,0.02631578947368421,0.0,0.0
#nicas,0.0625,0.0,0.0625,0.0,0.625,0.0625,0.125,0.0,0.0625,0.0,0.0,0.0,0.0
#dorante,0.0,0.15789473684210525,0.10526315789473684,0.0,0.15789473684210525,0.05263157894736842,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.47368421052631576
#page,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
#erphore,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.5454545454545454,0.0,0.0,0.4090909090909091,0.0,0.0
