VALEUR,#paris,#oenone,#momus,#junon,#venus,#pallas,#premiere-des-graces,#deuxieme-grace,#troisieme-grace,#les-deux-premieres-graces
Fréquences (scènes),0.5833333333333334,0.75,0.8333333333333334,0.5,0.5,0.5,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333
Fréquences(répliques),0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.2571428571428571,0.2,0.11428571428571428
Confrontation,0.1346153846153846,0.1794871794871795,0.20512820512820512,0.14102564102564102,0.1282051282051282,0.1346153846153846,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232
Déviations,#paris,#oenone,#momus,#junon,#venus,#pallas,#premiere-des-graces,#deuxieme-grace,#troisieme-grace,#les-deux-premieres-graces
#paris,2.083333333333332,0.5833333333333334,0.004761904761904728,0.07142857142857142,0.6428571428571429,0.07142857142857142,0.5833333333333333,0.5833333333333333,0.5833333333333333,0.5833333333333333
#oenone,0.5833333333333334,0.75,0.03333333333333333,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.75,0.75,0.75,0.75
#momus,0.004761904761904728,0.03333333333333333,0.3333333333333331,0.2,0.2,0.2,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333
#junon,0.07142857142857142,0.05555555555555555,0.2,3.0,0.3333333333333333,0.3333333333333333,0.5,0.5,0.5,0.5
#venus,0.6428571428571429,0.05555555555555555,0.2,0.3333333333333333,3.0,0.3333333333333333,0.5,0.5,0.5,0.5
#pallas,0.07142857142857142,0.05555555555555555,0.2,0.3333333333333333,0.3333333333333333,3.0,0.5,0.5,0.5,0.5
#premiere-des-graces,0.5833333333333334,0.75,0.8333333333333334,0.5,0.5,0.5,10.083333333333332,10.083333333333332,10.083333333333332,10.083333333333332
#premiere-des-graces,0.5833333333333334,0.75,0.8333333333333334,0.5,0.5,0.5,10.083333333333332,10.083333333333332,10.083333333333332,10.083333333333332
#premiere-des-graces,0.5833333333333334,0.75,0.8333333333333334,0.5,0.5,0.5,10.083333333333332,10.083333333333332,10.083333333333332,10.083333333333332
#premiere-des-graces,0.5833333333333334,0.75,0.8333333333333334,0.5,0.5,0.5,10.083333333333332,10.083333333333332,10.083333333333332,10.083333333333332
Successions,#paris,#oenone,#momus,#junon,#venus,#pallas,#premiere-des-graces,#deuxieme-grace,#troisieme-grace,#les-deux-premieres-graces
#paris,0.0,0.3611111111111111,0.19444444444444445,0.1111111111111111,0.19444444444444445,0.1388888888888889,0.0,0.0,0.0,0.0
#oenone,0.3404255319148936,0.02127659574468085,0.3617021276595745,0.1702127659574468,0.0425531914893617,0.06382978723404255,0.0,0.0,0.0,0.0
#momus,0.07462686567164178,0.31343283582089554,0.029850746268656716,0.16417910447761194,0.14925373134328357,0.26865671641791045,0.0,0.0,0.0,0.0
#junon,0.1875,0.21875,0.375,0.0,0.09375,0.125,0.0,0.0,0.0,0.0
#venus,0.2222222222222222,0.1111111111111111,0.37037037037037035,0.1111111111111111,0.0,0.18518518518518517,0.0,0.0,0.0,0.0
#pallas,0.11428571428571428,0.02857142857142857,0.5428571428571428,0.17142857142857143,0.14285714285714285,0.0,0.0,0.0,0.0,0.0
#premiere-des-graces,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#deuxieme-grace,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
#troisieme-grace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
#les-deux-premieres-graces,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
