VALEUR,#monsieur-grognac,#lisette,#mimi,#madame-jaquinet,#jasmin,#angelique,#lolive,#clitandre,#monsieur-filassier,#monsieur-grognac #monsieur-filassier,#lolive #lisette
Fréquences (scènes),0.34782608695652173,0.8260869565217391,0.13043478260869565,0.30434782608695654,0.043478260869565216,0.30434782608695654,0.5652173913043478,0.2608695652173913,0.2608695652173913,0.08695652173913043,0.08695652173913043
Fréquences(répliques),0.0,0.07142857142857142,0.0,0.35714285714285715,0.0,0.0,0.32142857142857145,0.10714285714285714,0.0,0.0,0.14285714285714285
Confrontation,0.09813084112149532,0.20093457943925233,0.03271028037383177,0.06542056074766354,0.009345794392523364,0.09345794392523364,0.18691588785046728,0.11214953271028037,0.10747663551401869,0.04672897196261682,0.04672897196261682
Déviations,#monsieur-grognac,#lisette,#mimi,#madame-jaquinet,#jasmin,#angelique,#lolive,#clitandre,#monsieur-filassier,#monsieur-grognac #monsieur-filassier,#lolive #lisette
#monsieur-grognac,9.782608695652174,0.39159038901601834,1.0434782608695652,0.07763975155279508,0.34782608695652173,0.845496894409938,0.05058528428093653,0.0036231884057970967,1.7536231884057973,0.1331521739130435,0.1331521739130435
#lisette,0.39159038901601834,0.6956521739130437,0.0922959572845156,0.10591696632886562,0.8260869565217391,0.2562929061784897,0.006336912515402276,0.00038138825324180353,0.1845919145690312,0.07322654462242562,0.07322654462242562
#mimi,1.0434782608695652,0.0922959572845156,17.39130434782609,0.008281573498964792,5.797101449275362,0.008281573498964792,0.2853957636566332,0.060386473429951744,0.7826086956521738,0.2608695652173913,0.2608695652173913
#madame-jaquinet,0.07763975155279508,0.10591696632886562,0.008281573498964814,11.130434782608695,1.590062111801242,0.5998225377107366,0.9675107501194455,0.3737060041407867,0.3737060041407867,0.6086956521739131,0.6086956521739131
#jasmin,0.34782608695652173,0.8260869565217391,5.797101449275362,1.590062111801242,21.043478260869566,0.30434782608695654,0.5652173913043478,0.2608695652173913,0.2608695652173913,0.08695652173913043,0.08695652173913043
#angelique,0.845496894409938,0.2562929061784897,0.008281573498964814,0.5998225377107366,0.30434782608695654,11.130434782608695,0.2752030578117536,2.587991718426501,0.3737060041407867,0.6086956521739131,0.6086956521739131
#lolive,0.05058528428093653,0.006336912515402276,0.28539576365663305,0.9675107501194455,0.5652173913043478,0.2752030578117536,4.347826086956526,2.0066889632107037,2.0066889632107037,0.6688963210702342,0.6688963210702342
#clitandre,0.0036231884057970967,0.00038138825324180353,0.060386473429951744,0.3737060041407868,0.2608695652173913,2.5879917184265007,2.0066889632107023,12.56521739130435,1.3152173913043481,0.43840579710144933,0.43840579710144933
#monsieur-filassier,1.7536231884057973,0.1845919145690312,0.7826086956521738,0.3737060041407868,0.2608695652173913,0.3737060041407868,2.0066889632107023,1.3152173913043481,12.56521739130435,4.188405797101448,4.188405797101448
#monsieur-grognac #monsieur-filassier,0.1331521739130435,0.07322654462242562,0.2608695652173913,0.6086956521739131,0.08695652173913043,0.6086956521739131,0.6688963210702342,0.43840579710144933,4.188405797101448,19.17391304347826,19.17391304347826
#monsieur-grognac #monsieur-filassier,0.1331521739130435,0.07322654462242562,0.2608695652173913,0.6086956521739131,0.08695652173913043,0.6086956521739131,0.6688963210702342,0.43840579710144933,4.188405797101448,19.17391304347826,19.17391304347826
Successions,#monsieur-grognac,#lisette,#mimi,#madame-jaquinet,#jasmin,#angelique,#lolive,#clitandre,#monsieur-filassier,#monsieur-grognac #monsieur-filassier,#lolive #lisette
#monsieur-grognac,0.0,0.25,0.0,0.1,0.0,0.025,0.275,0.0,0.325,0.0,0.025
#lisette,0.1452991452991453,0.0,0.13675213675213677,0.1794871794871795,0.0,0.21367521367521367,0.24786324786324787,0.042735042735042736,0.02564102564102564,0.008547008547008548,0.0
#mimi,0.0,0.6956521739130435,0.0,0.17391304347826086,0.0,0.08695652173913043,0.0,0.043478260869565216,0.0,0.0,0.0
#madame-jaquinet,0.0975609756097561,0.6097560975609756,0.07317073170731707,0.0,0.024390243902439025,0.07317073170731707,0.0,0.0975609756097561,0.024390243902439025,0.0,0.0
#jasmin,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#angelique,0.0,0.5405405405405406,0.05405405405405406,0.16216216216216217,0.0,0.0,0.08108108108108109,0.13513513513513514,0.02702702702702703,0.0,0.0
#lolive,0.12244897959183673,0.32653061224489793,0.01020408163265306,0.02040816326530612,0.0,0.030612244897959183,0.0,0.12244897959183673,0.3469387755102041,0.01020408163265306,0.01020408163265306
#clitandre,0.0,0.14285714285714285,0.03571428571428571,0.10714285714285714,0.0,0.10714285714285714,0.6071428571428571,0.0,0.0,0.0,0.0
#monsieur-filassier,0.15384615384615385,0.15384615384615385,0.0,0.0,0.0,0.0,0.6730769230769231,0.019230769230769232,0.0,0.0,0.0
#monsieur-grognac #monsieur-filassier,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
#lolive #lisette,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
