VALEUR,#leonor,#leandre,#le-roi,#fabrice,#liliane,#alexandre,#alcandre,#tancrede,#lysis,#le-capitaine,#melite,#dorame,#filene,#agys,#theodose,#le-bourreau,#le-duc
Fréquences (scènes),0.25,0.3888888888888889,0.6111111111111112,0.4166666666666667,0.2777777777777778,0.2222222222222222,0.027777777777777776,0.16666666666666666,0.027777777777777776,0.1111111111111111,0.1388888888888889,0.05555555555555555,0.1388888888888889,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776
Fréquences(répliques),0.05942492012779553,0.129073482428115,0.35654952076677315,0.1744408945686901,0.07667731629392971,0.07348242811501597,0.010223642172523962,0.03194888178913738,0.0019169329073482429,0.024920127795527155,0.016613418530351438,0.005111821086261981,0.01597444089456869,0.009584664536741214,0.0038338658146964857,0.0012779552715654952,0.008945686900958467
Confrontation,0.08116883116883117,0.11688311688311688,0.17207792207792208,0.09415584415584416,0.09740259740259741,0.09740259740259741,0.003246753246753247,0.07142857142857142,0.003246753246753247,0.06493506493506493,0.05519480519480519,0.022727272727272728,0.06493506493506493,0.00974025974025974,0.00974025974025974,0.00974025974025974,0.025974025974025976
Déviations,#leonor,#leandre,#le-roi,#fabrice,#liliane,#alexandre,#alcandre,#tancrede,#lysis,#le-capitaine,#melite,#dorame,#filene,#agys,#theodose,#le-bourreau,#le-duc
#leonor,20.25,3.5,0.045454545454545456,0.8166666666666667,0.1,0.0,0.25,0.16666666666666666,0.25,0.0,0.05,0.5,2.45,0.25,0.25,0.25,2.25
#leandre,3.5,13.444444444444445,0.2828282828282834,0.11904761904761921,0.20317460317460334,0.00396825396825394,0.9603174603174606,0.04761904761904754,0.3888888888888888,1.3412698412698416,0.4587301587301589,0.06349206349206356,0.0015873015873015758,0.3888888888888888,0.3888888888888888,0.3888888888888888,0.9603174603174606
#le-roi,0.045454545454545456,0.28282828282828276,5.444444444444442,0.875757575757575,0.002020202020202038,0.002525252525252548,0.611111111111111,0.7575757575757575,0.611111111111111,0.12626262626262638,0.001010101010101019,0.4949494949494952,1.237373737373737,0.2474747474747476,0.2474747474747476,0.611111111111111,0.2474747474747476
#fabrice,0.8166666666666667,0.11904761904761897,0.875757575757575,12.25,1.126666666666667,0.5333333333333331,0.41666666666666663,0.9,0.41666666666666663,0.26666666666666655,0.5633333333333335,0.8333333333333333,0.003333333333333345,0.41666666666666663,0.41666666666666663,0.41666666666666663,0.8166666666666669
#liliane,0.1,0.20317460317460317,0.002020202020202038,1.126666666666667,18.77777777777778,1.422222222222222,0.2777777777777778,1.0666666666666669,0.2777777777777778,0.711111111111111,9.38888888888889,0.3555555555555555,0.10888888888888885,0.2777777777777778,0.2777777777777778,1.8777777777777775,0.2777777777777778
#alexandre,0.0,0.0039682539682539715,0.0025252525252525073,0.5333333333333334,1.422222222222222,21.77777777777778,0.2222222222222222,10.083333333333336,0.2222222222222222,5.013888888888889,0.711111111111111,0.6944444444444445,0.01111111111111112,0.2222222222222222,0.2222222222222222,2.7222222222222223,2.7222222222222223
#alcandre,0.25,0.9603174603174605,0.6111111111111112,0.4166666666666667,0.2777777777777778,0.2222222222222222,34.02777777777778,0.16666666666666666,0.027777777777777776,0.1111111111111111,0.1388888888888889,0.05555555555555555,0.1388888888888889,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776
#tancrede,0.16666666666666666,0.04761904761904766,0.7575757575757577,0.9,1.0666666666666667,10.083333333333336,0.16666666666666666,25.0,4.166666666666668,8.16666666666667,0.03333333333333332,0.3333333333333333,0.03333333333333332,0.16666666666666666,0.16666666666666666,4.166666666666668,4.166666666666668
#lysis,0.25,0.3888888888888889,0.6111111111111112,0.4166666666666667,0.2777777777777778,0.2222222222222222,0.027777777777777776,4.166666666666668,34.02777777777778,0.1111111111111111,0.1388888888888889,0.05555555555555555,0.1388888888888889,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776
#le-capitaine,0.0,1.3412698412698412,0.12626262626262616,0.2666666666666667,0.711111111111111,5.013888888888889,0.1111111111111111,8.16666666666667,0.1111111111111111,28.444444444444443,0.3555555555555555,2.7222222222222223,0.3555555555555555,0.1111111111111111,0.1111111111111111,0.1111111111111111,7.111111111111111
#melite,0.05,0.4587301587301587,0.001010101010101019,0.5633333333333335,9.38888888888889,0.711111111111111,0.1388888888888889,0.03333333333333337,0.1388888888888889,0.3555555555555555,26.694444444444443,1.8777777777777775,0.13444444444444448,0.1388888888888889,0.1388888888888889,0.1388888888888889,0.1388888888888889
#dorame,0.5,0.06349206349206349,0.49494949494949475,0.8333333333333334,0.3555555555555555,0.6944444444444445,0.05555555555555555,0.3333333333333333,0.05555555555555555,2.7222222222222223,1.8777777777777775,32.111111111111114,0.2777777777777778,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555
#filene,2.45,0.0015873015873015888,1.237373737373737,0.003333333333333345,0.10888888888888885,0.01111111111111112,0.1388888888888889,0.03333333333333337,0.1388888888888889,0.3555555555555555,0.13444444444444448,0.2777777777777778,26.694444444444443,5.3388888888888895,5.3388888888888895,0.1388888888888889,5.3388888888888895
#agys,0.25,0.3888888888888889,0.24747474747474738,0.4166666666666667,0.2777777777777778,0.2222222222222222,0.027777777777777776,0.16666666666666666,0.027777777777777776,0.1111111111111111,0.1388888888888889,0.05555555555555555,5.3388888888888895,34.02777777777778,34.02777777777778,0.027777777777777776,0.027777777777777776
#agys,0.25,0.3888888888888889,0.24747474747474738,0.4166666666666667,0.2777777777777778,0.2222222222222222,0.027777777777777776,0.16666666666666666,0.027777777777777776,0.1111111111111111,0.1388888888888889,0.05555555555555555,5.3388888888888895,34.02777777777778,34.02777777777778,0.027777777777777776,0.027777777777777776
#le-bourreau,0.25,0.3888888888888889,0.6111111111111112,0.4166666666666667,1.8777777777777775,2.7222222222222223,0.027777777777777776,4.166666666666668,0.027777777777777776,0.1111111111111111,0.1388888888888889,0.05555555555555555,0.1388888888888889,0.027777777777777776,0.027777777777777776,34.02777777777778,0.027777777777777776
#le-duc,2.25,0.9603174603174605,0.24747474747474738,0.8166666666666664,0.2777777777777778,2.7222222222222223,0.027777777777777776,4.166666666666668,0.027777777777777776,7.111111111111111,0.1388888888888889,0.05555555555555555,5.3388888888888895,0.027777777777777776,0.027777777777777776,0.027777777777777776,34.02777777777778
Successions,#leonor,#leandre,#le-roi,#fabrice,#liliane,#alexandre,#alcandre,#tancrede,#lysis,#le-capitaine,#melite,#dorame,#filene,#agys,#theodose,#le-bourreau,#le-duc
#leonor,0.0,0.45454545454545453,0.4090909090909091,0.0,0.13636363636363635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#leandre,0.23529411764705882,0.0,0.4411764705882353,0.14705882352941177,0.029411764705882353,0.0,0.058823529411764705,0.0,0.0,0.0,0.058823529411764705,0.0,0.029411764705882353,0.0,0.0,0.0,0.0
#le-roi,0.08264462809917356,0.09090909090909091,0.04132231404958678,0.3884297520661157,0.15702479338842976,0.04132231404958678,0.008264462809917356,0.024793388429752067,0.0,0.05785123966942149,0.008264462809917356,0.01652892561983471,0.05785123966942149,0.008264462809917356,0.008264462809917356,0.0,0.008264462809917356
#fabrice,0.0,0.10344827586206896,0.8448275862068966,0.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017241379310344827,0.0,0.0,0.0,0.0
#liliane,0.12121212121212122,0.06060606060606061,0.5151515151515151,0.12121212121212122,0.0,0.06060606060606061,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.030303030303030304,0.0
#alexandre,0.0,0.058823529411764705,0.29411764705882354,0.058823529411764705,0.11764705882352941,0.0,0.0,0.17647058823529413,0.0,0.17647058823529413,0.058823529411764705,0.0,0.058823529411764705,0.0,0.0,0.0,0.0
#alcandre,0.0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#tancrede,0.0,0.0,0.0,0.09090909090909091,0.0,0.5454545454545454,0.0,0.0,0.2727272727272727,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#lysis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-capitaine,0.08333333333333333,0.16666666666666666,0.4166666666666667,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#melite,0.0,0.0,0.14285714285714285,0.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#dorame,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
