VALEUR,#pompee,#pharnace,#mithridate,#hypsicratee,#berenice,#menandre,#mithridatie,#nise,#emile,#un-soldat
Fréquences (scènes),0.09523809523809523,0.5238095238095238,0.47619047619047616,0.3333333333333333,0.23809523809523808,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.23809523809523808,0.047619047619047616
Fréquences(répliques),0.05574324324324324,0.25225225225225223,0.31644144144144143,0.10810810810810811,0.12837837837837837,0.02027027027027027,0.051238738738738736,0.020833333333333332,0.03434684684684685,0.012387387387387387
Confrontation,0.017241379310344827,0.1206896551724138,0.1724137931034483,0.16379310344827586,0.10344827586206896,0.034482758620689655,0.16379310344827586,0.16379310344827586,0.05172413793103448,0.008620689655172414
Déviations,#pompee,#pharnace,#mithridate,#hypsicratee,#berenice,#menandre,#mithridatie,#nise,#emile,#un-soldat
#pompee,17.190476190476193,0.8658008658008657,0.9523809523809523,0.6666666666666666,0.47619047619047616,0.2857142857142857,0.5714285714285714,0.5714285714285714,0.47619047619047616,0.09523809523809523
#pharnace,0.8658008658008662,4.761904761904762,3.4290043290043295,1.9393939393939394,1.000865800865801,0.20779220779220778,1.461038961038961,1.461038961038961,2.1645021645021645,0.4329004329004331
#mithridate,0.9523809523809523,3.4290043290043295,5.761904761904762,2.1333333333333337,0.16095238095238096,0.22857142857142873,0.45714285714285746,0.45714285714285746,2.380952380952381,0.47619047619047616
#hypsicratee,0.6666666666666666,1.9393939393939397,2.1333333333333337,9.333333333333336,0.06666666666666674,1.0,4.5,4.5,1.6666666666666665,0.3333333333333333
#berenice,0.47619047619047616,1.000865800865801,0.16095238095238096,0.06666666666666674,12.19047619047619,0.7142857142857142,1.7285714285714293,1.7285714285714293,1.1904761904761905,0.23809523809523808
#menandre,0.2857142857142857,0.2077922077922079,0.22857142857142873,1.0,0.7142857142857142,15.428571428571432,0.8571428571428571,0.8571428571428571,0.11428571428571437,0.14285714285714285
#mithridatie,0.5714285714285714,1.4610389610389614,0.45714285714285746,4.5,1.7285714285714293,0.8571428571428571,10.714285714285714,10.714285714285714,1.4285714285714284,0.2857142857142857
#mithridatie,0.5714285714285714,1.4610389610389614,0.45714285714285746,4.5,1.7285714285714293,0.8571428571428571,10.714285714285714,10.714285714285714,1.4285714285714284,0.2857142857142857
#emile,0.47619047619047616,2.1645021645021645,2.380952380952381,1.6666666666666665,1.1904761904761905,0.11428571428571437,1.4285714285714284,1.4285714285714284,12.19047619047619,0.23809523809523808
#un-soldat,0.09523809523809523,0.43290043290043284,0.47619047619047616,0.3333333333333333,0.23809523809523808,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.23809523809523808,19.047619047619047
Successions,#pompee,#pharnace,#mithridate,#hypsicratee,#berenice,#menandre,#mithridatie,#nise,#emile,#un-soldat
#pompee,0.0,0.8,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
#pharnace,0.13157894736842105,0.02631578947368421,0.18421052631578946,0.0,0.2894736842105263,0.02631578947368421,0.0,0.02631578947368421,0.2631578947368421,0.05263157894736842
#mithridate,0.022727272727272728,0.11363636363636363,0.06818181818181818,0.38636363636363635,0.11363636363636363,0.06818181818181818,0.13636363636363635,0.06818181818181818,0.022727272727272728,0.0
#hypsicratee,0.0,0.09523809523809523,0.7142857142857143,0.0,0.14285714285714285,0.0,0.0,0.047619047619047616,0.0,0.0
#berenice,0.0,0.44,0.24,0.04,0.0,0.0,0.16,0.12,0.0,0.0
#menandre,0.0,0.25,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#mithridatie,0.0,0.125,0.375,0.125,0.1875,0.0,0.0,0.1875,0.0,0.0
#nise,0.0,0.0,0.25,0.08333333333333333,0.16666666666666666,0.0,0.5,0.0,0.0,0.0
#emile,0.0,0.8461538461538461,0.07692307692307693,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0
#un-soldat,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
