VALEUR,#pasiphae,#bersynthe,#minos,#silure,#l-oracle,#ambassadeurs,#egee,#conseiller,#nautonier,#thesee,#une-fille,#une-autre-fille,#la-troupe,#le-pilote,#le-nautonier,#ariane,#les-gardes,#l-un-des-gardes,#deux-des-gardes,#premier-garde,#l-autre-garde,#le-geolier,#phedre,#dedale,#nocher
Fréquences (scènes),0.2,0.2,0.6,0.2,0.2,0.4,0.2,0.2,0.2,0.6,0.2,0.2,0.4,0.2,0.2,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Fréquences(répliques),0.08401084010840108,0.03184281842818428,0.13550135501355012,0.034552845528455285,0.03523035230352303,0.07046070460704607,0.07046070460704607,0.02981029810298103,0.009485094850948509,0.10501355013550136,0.0040650406504065045,0.0006775067750677507,0.008130081300813009,0.0027100271002710027,0.0013550135501355014,0.287940379403794,0.013550135501355014,0.0006775067750677507,0.0006775067750677507,0.0006775067750677507,0.0006775067750677507,0.023035230352303523,0.04539295392953929,0.0020325203252032522,0.0020325203252032522
Confrontation,0.009708737864077669,0.009708737864077669,0.05339805825242718,0.014563106796116505,0.014563106796116505,0.05825242718446602,0.043689320388349516,0.043689320388349516,0.043689320388349516,0.10679611650485436,0.043689320388349516,0.043689320388349516,0.07281553398058252,0.043689320388349516,0.043689320388349516,0.06310679611650485,0.03398058252427184,0.03398058252427184,0.03398058252427184,0.03398058252427184,0.03398058252427184,0.03398058252427184,0.02912621359223301,0.02912621359223301,0.02912621359223301
Déviations,#pasiphae,#bersynthe,#minos,#silure,#l-oracle,#ambassadeurs,#egee,#conseiller,#nautonier,#thesee,#une-fille,#une-autre-fille,#la-troupe,#le-pilote,#le-nautonier,#ariane,#les-gardes,#l-un-des-gardes,#deux-des-gardes,#premier-garde,#l-autre-garde,#le-geolier,#phedre,#dedale,#nocher
#pasiphae,3.2000000000000006,3.2000000000000006,0.2666666666666667,0.20000000000000004,0.20000000000000004,0.4000000000000001,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.6,0.20000000000000004,0.20000000000000004,0.4000000000000001,0.20000000000000004,0.20000000000000004,0.4000000000000001,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004
#pasiphae,3.2000000000000006,3.2000000000000006,0.2666666666666667,0.20000000000000004,0.20000000000000004,0.4000000000000001,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.6,0.20000000000000004,0.20000000000000004,0.4000000000000001,0.20000000000000004,0.20000000000000004,0.4000000000000001,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004
#minos,0.2666666666666665,0.2666666666666665,0.8000000000000003,0.2666666666666665,0.2666666666666665,0.03333333333333339,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.3555555555555554,0.6000000000000001,0.6000000000000001,0.03333333333333339,0.6000000000000001,0.6000000000000001,0.03333333333333339,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.2666666666666665,0.2666666666666665,0.2666666666666665
#silure,0.20000000000000004,0.20000000000000004,0.2666666666666667,3.2000000000000006,3.2000000000000006,0.8999999999999999,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.6,0.20000000000000004,0.20000000000000004,0.4000000000000001,0.20000000000000004,0.20000000000000004,0.4000000000000001,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004
#silure,0.20000000000000004,0.20000000000000004,0.2666666666666667,3.2000000000000006,3.2000000000000006,0.8999999999999999,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.6,0.20000000000000004,0.20000000000000004,0.4000000000000001,0.20000000000000004,0.20000000000000004,0.4000000000000001,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004
#ambassadeurs,0.4000000000000001,0.4000000000000001,0.03333333333333332,0.8999999999999999,0.8999999999999999,1.7999999999999998,0.8999999999999999,0.8999999999999999,0.8999999999999999,0.03333333333333332,0.8999999999999999,0.8999999999999999,0.049999999999999975,0.8999999999999999,0.8999999999999999,0.8000000000000002,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.4000000000000001
