VALEUR,#valcour,#ali,#zisine,#fatme,#fatme #zisine,#selim,#zeila,#valcour #selim,#valcour #zeila,#tous-trois,#valcour #zeila #ali,#zisine #fatme,#fatime,#tous
Fréquences (scènes),0.4,0.7333333333333333,0.2,0.2,0.13333333333333333,0.5333333333333333,0.4,0.06666666666666667,0.2,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667
Fréquences(répliques),0.18412698412698414,0.17142857142857143,0.07301587301587302,0.06666666666666667,0.04126984126984127,0.19365079365079366,0.14603174603174604,0.0031746031746031746,0.06666666666666667,0.012698412698412698,0.0031746031746031746,0.006349206349206349,0.009523809523809525,0.022222222222222223
Confrontation,0.11467889908256881,0.10091743119266056,0.08256880733944955,0.08256880733944955,0.06422018348623854,0.11926605504587157,0.10550458715596331,0.022935779816513763,0.08256880733944955,0.022935779816513763,0.05045871559633028,0.05045871559633028,0.05045871559633028,0.05045871559633028
Déviations,#valcour,#ali,#zisine,#fatme,#fatme #zisine,#selim,#zeila,#valcour #selim,#valcour #zeila,#tous-trois,#valcour #zeila #ali,#zisine #fatme,#fatime,#tous
#valcour,5.399999999999998,0.44545454545454516,0.533333333333333,0.533333333333333,0.049999999999999975,0.1999999999999999,1.066666666666666,0.8999999999999999,2.699999999999999,0.8999999999999999,0.8999999999999999,0.8999999999999999,0.8999999999999999,0.8999999999999999
#ali,0.44545454545454566,1.0666666666666669,0.018181818181818212,0.018181818181818212,0.19393939393939402,0.0030303030303030494,1.3090909090909093,0.7333333333333333,0.6545454545454547,0.7333333333333333,0.09696969696969701,0.09696969696969701,0.09696969696969701,0.09696969696969701
#zisine,0.533333333333333,0.018181818181818136,9.599999999999998,9.599999999999998,6.400000000000001,0.09999999999999995,0.533333333333333,0.20000000000000004,0.2666666666666665,0.20000000000000004,3.2000000000000006,3.2000000000000006,3.2000000000000006,3.2000000000000006
#zisine,0.533333333333333,0.018181818181818136,9.599999999999998,9.599999999999998,6.400000000000001,0.09999999999999995,0.533333333333333,0.20000000000000004,0.2666666666666665,0.20000000000000004,3.2000000000000006,3.2000000000000006,3.2000000000000006,3.2000000000000006
#fatme #zisine,0.049999999999999975,0.19393939393939402,6.400000000000001,6.400000000000001,11.266666666666667,0.004166666666666665,0.049999999999999975,0.13333333333333333,0.8999999999999999,0.13333333333333333,5.633333333333334,5.633333333333334,5.633333333333334,5.633333333333334
#selim,0.1999999999999999,0.0030303030303030494,0.09999999999999995,0.09999999999999995,0.004166666666666665,3.266666666666667,0.012500000000000022,0.4083333333333334,0.09999999999999995,0.4083333333333334,0.4083333333333334,0.4083333333333334,0.4083333333333334,0.4083333333333334
#zeila,1.066666666666666,1.3090909090909086,0.533333333333333,0.533333333333333,0.049999999999999975,0.012500000000000022,5.399999999999998,0.8999999999999999,2.699999999999999,0.8999999999999999,0.8999999999999999,0.8999999999999999,0.8999999999999999,0.8999999999999999
#valcour #selim,0.8999999999999999,0.7333333333333333,0.20000000000000004,0.20000000000000004,0.13333333333333333,0.4083333333333334,0.8999999999999999,13.066666666666668,3.2000000000000006,13.066666666666668,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667
#valcour #zeila,2.699999999999999,0.6545454545454543,0.2666666666666665,0.2666666666666665,0.8999999999999999,0.09999999999999995,2.699999999999999,3.2000000000000006,9.599999999999998,3.2000000000000006,3.2000000000000006,3.2000000000000006,3.2000000000000006,3.2000000000000006
#valcour #selim,0.8999999999999999,0.7333333333333333,0.20000000000000004,0.20000000000000004,0.13333333333333333,0.4083333333333334,0.8999999999999999,13.066666666666668,3.2000000000000006,13.066666666666668,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667
#valcour #zeila #ali,0.8999999999999999,0.09696969696969701,3.2000000000000006,3.2000000000000006,5.633333333333334,0.4083333333333334,0.8999999999999999,0.06666666666666667,3.2000000000000006,0.06666666666666667,13.066666666666668,13.066666666666668,13.066666666666668,13.066666666666668
#valcour #zeila #ali,0.8999999999999999,0.09696969696969701,3.2000000000000006,3.2000000000000006,5.633333333333334,0.4083333333333334,0.8999999999999999,0.06666666666666667,3.2000000000000006,0.06666666666666667,13.066666666666668,13.066666666666668,13.066666666666668,13.066666666666668
#valcour #zeila #ali,0.8999999999999999,0.09696969696969701,3.2000000000000006,3.2000000000000006,5.633333333333334,0.4083333333333334,0.8999999999999999,0.06666666666666667,3.2000000000000006,0.06666666666666667,13.066666666666668,13.066666666666668,13.066666666666668,13.066666666666668
