VALEUR,#figaro,#cherubin,#le-comte,#la-comtesse,#fanchette,#suzanne,#la-fleur,#antonio,#nicolas,#basile,#brid-oison,#le-notaire,#le-duc,#la-duchesse
Fréquences (scènes),0.4,0.23636363636363636,0.36363636363636365,0.2727272727272727,0.3090909090909091,0.21818181818181817,0.05454545454545454,0.21818181818181817,0.2,0.4,0.34545454545454546,0.01818181818181818,0.03636363636363636,0.03636363636363636
Fréquences(répliques),0.328125,0.109375,0.109375,0.0,0.0,0.21875,0.0,0.0,0.0,0.125,0.109375,0.0,0.0,0.0
Confrontation,0.1323529411764706,0.06801470588235294,0.10661764705882353,0.07720588235294118,0.09558823529411764,0.08639705882352941,0.001838235294117647,0.08639705882352941,0.06985294117647059,0.10477941176470588,0.11580882352941177,0.011029411764705883,0.022058823529411766,0.022058823529411766
Déviations,#figaro,#cherubin,#le-comte,#la-comtesse,#fanchette,#suzanne,#la-fleur,#antonio,#nicolas,#basile,#brid-oison,#le-notaire,#le-duc,#la-duchesse
#figaro,19.799999999999997,2.776923076923077,0.5,0.0,0.09411764705882349,3.6750000000000003,1.2,1.0083333333333335,0.036363636363636424,0.07272727272727285,0.7578947368421055,0.9000000000000004,0.05000000000000004,0.05000000000000004
#cherubin,2.776923076923077,32.07272727272728,0.34265734265734255,0.08391608391608377,0.9774578362813664,0.009440559440559434,0.7090909090909091,0.24662004662004666,0.9846153846153848,0.9307692307692309,0.053662127346337934,0.23636363636363636,0.4727272727272727,0.4727272727272727
#le-comte,0.5,0.34265734265734255,22.27272727272727,0.03787878787878782,0.005347593582887691,0.0928030303030304,1.0909090909090908,0.4261363636363635,0.25,2.0,0.5275119617224882,1.1136363636363635,0.10227272727272725,0.10227272727272725
#la-comtesse,0.0,0.08391608391608377,0.03787878787878782,29.0909090909091,0.0285204991087345,6.828282828282833,0.04040404040404049,0.16161616161616196,1.3333333333333333,1.5,0.2695374800637958,0.2727272727272727,0.3787878787878789,0.3787878787878789
#fanchette,0.09411764705882368,0.9774578362813653,0.005347593582887691,0.0285204991087345,26.25454545454546,0.4492869875222817,0.9272727272727272,0.4492869875222817,0.10588235294117634,0.4764705882352944,0.0027582324795946958,0.3090909090909091,3.088770053475936,3.088770053475936
#suzanne,3.674999999999998,0.009440559440559434,0.0928030303030304,6.82828282828283,0.4492869875222817,33.618181818181824,0.6545454545454545,0.7292929292929293,0.816666666666667,0.13333333333333355,0.17615629984051034,2.8015151515151517,0.7280303030303032,0.7280303030303032
#la-fleur,1.2000000000000002,0.7090909090909091,1.0909090909090908,0.040404040404040435,0.9272727272727272,0.6545454545454545,49.16363636363637,0.6545454545454545,0.6000000000000001,1.2000000000000002,1.0363636363636364,0.05454545454545454,0.10909090909090909,0.10909090909090909
#antonio,1.0083333333333326,0.24662004662004666,0.4261363636363635,0.16161616161616174,0.4492869875222817,0.7292929292929293,0.6545454545454545,33.618181818181824,8.816666666666665,0.13333333333333355,3.5840510366826157,2.8015151515151517,0.7280303030303032,0.7280303030303032
#nicolas,0.036363636363636424,0.9846153846153848,0.25,1.3333333333333333,0.1058823529411765,0.8166666666666665,0.6,8.816666666666666,35.2,0.5818181818181815,7.115789473684211,0.19999999999999998,0.9000000000000004,0.9000000000000004
#basile,0.07272727272727285,0.9307692307692309,2.0,1.5,0.47647058823529403,0.13333333333333328,1.2,0.13333333333333328,0.5818181818181815,19.799999999999997,0.2578947368421054,0.9000000000000004,0.05000000000000004,0.05000000000000004
#brid-oison,0.7578947368421048,0.053662127346337934,0.5275119617224882,0.2695374800637958,0.0027582324795946958,0.17615629984051034,1.0363636363636364,3.5840510366826157,7.115789473684208,0.257894736842105,23.563636363636366,1.2401913875598087,0.13827751196172247,0.13827751196172247
#le-notaire,0.8999999999999999,0.23636363636363636,1.1136363636363635,0.2727272727272727,0.3090909090909091,2.8015151515151517,0.05454545454545454,2.8015151515151517,0.20000000000000004,0.8999999999999999,1.2401913875598087,53.01818181818182,0.03636363636363636,0.03636363636363636
#le-duc,0.049999999999999975,0.4727272727272727,0.10227272727272725,0.3787878787878789,3.088770053475936,0.7280303030303032,0.10909090909090909,0.7280303030303032,0.8999999999999999,0.049999999999999975,0.13827751196172247,0.03636363636363636,51.07272727272728,51.07272727272728
#le-duc,0.049999999999999975,0.4727272727272727,0.10227272727272725,0.3787878787878789,3.088770053475936,0.7280303030303032,0.10909090909090909,0.7280303030303032,0.8999999999999999,0.049999999999999975,0.13827751196172247,0.03636363636363636,51.07272727272728,51.07272727272728
Successions,#figaro,#cherubin,#le-comte,#la-comtesse,#fanchette,#suzanne,#la-fleur,#antonio,#nicolas,#basile,#brid-oison,#le-notaire,#le-duc,#la-duchesse
#figaro,0.02830188679245283,0.2641509433962264,0.1792452830188679,0.05660377358490566,0.03773584905660377,0.14150943396226415,0.0,0.0660377358490566,0.018867924528301886,0.09433962264150944,0.11320754716981132,0.0,0.0,0.0
#cherubin,0.5714285714285714,0.0,0.125,0.017857142857142856,0.16071428571428573,0.05357142857142857,0.0,0.0,0.0,0.017857142857142856,0.05357142857142857,0.0,0.0,0.0
#le-comte,0.1724137931034483,0.10344827586206896,0.022988505747126436,0.21839080459770116,0.14942528735632185,0.011494252873563218,0.0,0.011494252873563218,0.0,0.2413793103448276,0.05747126436781609,0.0,0.011494252873563218,0.0
#la-comtesse,0.19607843137254902,0.0784313725490196,0.35294117647058826,0.0196078431372549,0.058823529411764705,0.09803921568627451,0.0196078431372549,0.11764705882352941,0.0196078431372549,0.0392156862745098,0.0,0.0,0.0,0.0
#fanchette,0.0392156862745098,0.13725490196078433,0.3137254901960784,0.13725490196078433,0.0,0.09803921568627451,0.0,0.0392156862745098,0.0,0.0784313725490196,0.11764705882352941,0.0,0.0,0.0392156862745098
#suzanne,0.3939393939393939,0.030303030303030304,0.15151515151515152,0.15151515151515152,0.12121212121212122,0.0,0.0,0.030303030303030304,0.09090909090909091,0.030303030303030304,0.0,0.0,0.0,0.0
#la-fleur,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
#antonio,0.15151515151515152,0.0,0.030303030303030304,0.2727272727272727,0.06060606060606061,0.030303030303030304,0.030303030303030304,0.0,0.06060606060606061,0.0,0.2727272727272727,0.06060606060606061,0.030303030303030304,0.0
#nicolas,0.047619047619047616,0.047619047619047616,0.0,0.0,0.09523809523809523,0.09523809523809523,0.0,0.23809523809523808,0.0,0.14285714285714285,0.3333333333333333,0.0,0.0,0.0
#basile,0.17543859649122806,0.05263157894736842,0.2807017543859649,0.05263157894736842,0.08771929824561403,0.0,0.0,0.03508771929824561,0.05263157894736842,0.017543859649122806,0.24561403508771928,0.0,0.0,0.0
#brid-oison,0.23728813559322035,0.05084745762711865,0.03389830508474576,0.0,0.11864406779661017,0.01694915254237288,0.01694915254237288,0.11864406779661017,0.15254237288135594,0.22033898305084745,0.01694915254237288,0.0,0.01694915254237288,0.0
#le-notaire,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
#le-duc,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
#la-duchesse,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
