VALEUR,#salviati,#procida,#salvati,#loredan,#amelie,#montfort,#gaston,#elfride,#philippe-d-aquila,#oddo
Fréquences (scènes),0.034482758620689655,0.3448275862068966,0.10344827586206896,0.6206896551724138,0.41379310344827586,0.3448275862068966,0.10344827586206896,0.10344827586206896,0.034482758620689655,0.034482758620689655
Fréquences(répliques),0.0017113519680547634,0.3291500285225328,0.04677695379349686,0.22989161437535655,0.127780946948089,0.17227609811751282,0.05362236166571591,0.037079292641186534,0.0011409013120365088,0.0005704506560182544
Confrontation,0.021739130434782608,0.18478260869565216,0.08695652173913043,0.25,0.15217391304347827,0.13043478260869565,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216
Déviations,#salviati,#procida,#salvati,#loredan,#amelie,#montfort,#gaston,#elfride,#philippe-d-aquila,#oddo
#salviati,27.034482758620694,1.2448275862068965,7.770114942528736,0.6206896551724138,0.41379310344827586,0.3448275862068966,0.10344827586206896,0.10344827586206896,0.034482758620689655,0.034482758620689655
#procida,1.2448275862068965,12.44827586206896,3.7344827586206892,1.256896551724138,2.3795977011494256,1.7382758620689658,1.0344827586206897,1.0344827586206897,1.2448275862068965,1.2448275862068965
#salvati,7.770114942528736,3.7344827586206892,23.310344827586206,0.010217113665389502,1.2413793103448276,1.0344827586206897,0.3103448275862069,0.3103448275862069,7.770114942528736,7.770114942528736
#loredan,0.6206896551724138,1.256896551724137,0.010217113665389537,4.172413793103448,0.8047573435504469,0.7846743295019163,1.8620689655172413,0.39910600255427836,0.23180076628352486,0.23180076628352486
#amelie,0.41379310344827586,2.3795977011494256,1.2413793103448276,0.8047573435504474,9.96551724137931,0.0045977011494253055,0.046934865900383156,2.4913793103448274,0.41379310344827586,0.41379310344827586
#montfort,0.3448275862068966,1.7382758620689658,1.0344827586206897,0.7846743295019156,0.0045977011494253055,12.44827586206896,3.7344827586206892,1.0344827586206897,0.3448275862068966,0.3448275862068966
#gaston,0.10344827586206896,1.0344827586206897,0.3103448275862069,1.8620689655172415,0.046934865900383156,3.7344827586206892,23.310344827586206,0.3103448275862069,0.10344827586206896,0.10344827586206896
#elfride,0.10344827586206896,1.0344827586206897,0.3103448275862069,0.3991060025542785,2.4913793103448274,1.0344827586206897,0.3103448275862069,23.310344827586206,0.10344827586206896,0.10344827586206896
#philippe-d-aquila,0.034482758620689655,1.2448275862068965,7.770114942528736,0.23180076628352486,0.41379310344827586,0.3448275862068966,0.10344827586206896,0.10344827586206896,27.034482758620694,27.034482758620694
#philippe-d-aquila,0.034482758620689655,1.2448275862068965,7.770114942528736,0.23180076628352486,0.41379310344827586,0.3448275862068966,0.10344827586206896,0.10344827586206896,27.034482758620694,27.034482758620694
Successions,#salviati,#procida,#salvati,#loredan,#amelie,#montfort,#gaston,#elfride,#philippe-d-aquila,#oddo
#salviati,,,,,,,,,,
#procida,0.010869565217391304,0.0,0.21739130434782608,0.6304347826086957,0.043478260869565216,0.08695652173913043,0.0,0.0,0.010869565217391304,0.0
#salvati,0.0,0.84,0.0,0.08,0.0,0.0,0.0,0.0,0.04,0.04
#loredan,0.0,0.4954128440366973,0.027522935779816515,0.0,0.22935779816513763,0.23853211009174313,0.0,0.009174311926605505,0.0,0.0
#amelie,0.0,0.09090909090909091,0.0,0.3333333333333333,0.0,0.4090909090909091,0.045454545454545456,0.12121212121212122,0.0,0.0
#montfort,0.0,0.125,0.0,0.3472222222222222,0.3888888888888889,0.0,0.1388888888888889,0.0,0.0,0.0
#gaston,0.0,0.0,0.0,0.0,0.15384615384615385,0.8461538461538461,0.0,0.0,0.0,0.0
#elfride,0.0,0.0,0.0,0.2222222222222222,0.7777777777777778,0.0,0.0,0.0,0.0,0.0
#philippe-d-aquila,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#oddo,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
