VALEUR,#jocaste,#ismene,#antigone,#eteocle,#creon,#hemon,#page,#polynice,#adraste,#argie,#adraste-,#capitaine-1er,#capitaine-2nd,#menette,#cleodamas,#ephise,#capitaine,#tyresie
Fréquences (scènes),0.12903225806451613,0.22580645161290322,0.41935483870967744,0.0967741935483871,0.3870967741935484,0.3548387096774194,0.03225806451612903,0.16129032258064516,0.03225806451612903,0.12903225806451613,0.03225806451612903,0.06451612903225806,0.03225806451612903,0.0967741935483871,0.16129032258064516,0.3225806451612903,0.06451612903225806,0.03225806451612903
Fréquences(répliques),0.09220636663007684,0.050493962678375415,0.19264544456641053,0.03677277716794731,0.15697036223929747,0.19538968166849616,0.0005488474204171241,0.09769484083424808,0.0005488474204171241,0.0570801317233809,0.006586169045005488,0.0021953896816684962,0.0005488474204171241,0.010428100987925357,0.012074643249176729,0.04061470911086718,0.010976948408342482,0.036223929747530186
Confrontation,0.052884615384615384,0.0625,0.10576923076923077,0.04807692307692308,0.15865384615384615,0.09134615384615384,0.009615384615384616,0.0625,0.014423076923076924,0.052884615384615384,0.014423076923076924,0.03365384615384615,0.028846153846153848,0.038461538461538464,0.07692307692307693,0.1201923076923077,0.014423076923076924,0.014423076923076924
Déviations,#jocaste,#ismene,#antigone,#eteocle,#creon,#hemon,#page,#polynice,#adraste,#argie,#adraste-,#capitaine-1er,#capitaine-2nd,#menette,#cleodamas,#ephise,#capitaine,#tyresie
#jocaste,23.516129032258064,1.3317972350230414,0.2735732009925559,6.720430107526881,0.1317204301075269,0.123900293255132,0.12903225806451613,0.1951612903225807,0.12903225806451613,0.5161290322580645,0.12903225806451613,2.1330645161290325,5.879032258064516,0.3870967741935484,0.6451612903225806,1.2903225806451613,0.25806451612903225,0.12903225806451613
#ismene,1.3317972350230414,18.580645161290327,0.38603332151719244,0.6774193548387096,0.18586789554531483,0.09426057813154588,0.22580645161290322,1.129032258064516,0.22580645161290322,0.9032258064516129,0.22580645161290322,0.45161290322580644,0.22580645161290322,0.6774193548387096,0.014746543778801819,0.029493087557603638,0.45161290322580644,0.22580645161290322
#antigone,0.2735732009925557,0.38603332151719244,10.451612903225804,0.05293631100082712,1.827129859387924,0.08143469433792024,0.8039702233250622,0.004466501240694781,0.4193548387096774,0.062034739454094365,0.4193548387096774,0.8387096774193548,0.4193548387096774,0.43755169561621177,0.573697270471464,1.147394540942928,0.8387096774193548,0.4193548387096774
#eteocle,6.720430107526881,0.6774193548387096,0.05293631100082712,25.29032258064517,0.6057347670250899,0.0039100684261974515,0.0967741935483871,4.7505376344086025,0.0967741935483871,0.3870967741935484,0.0967741935483871,3.3602150537634405,8.43010752688172,0.29032258064516125,0.4838709677419355,0.967741935483871,0.1935483870967742,0.0967741935483871
#creon,0.1317204301075269,0.18586789554531483,1.827129859387924,0.6057347670250899,11.645161290322584,0.3717008797653958,0.3870967741935484,0.4521505376344086,0.3870967741935484,0.19422043010752688,0.3870967741935484,0.06586021505376345,0.9704301075268817,0.022401433691756237,4.852150537634409,6.795967741935483,1.9408602150537635,0.9704301075268817
#hemon,0.123900293255132,0.09426057813154588,0.08143469433792024,0.0039100684261974515,0.3717008797653958,12.903225806451612,1.1730205278592374,0.3378299120234604,0.35483870967741943,1.4193548387096777,0.35483870967741943,0.11876832844574776,1.1730205278592374,1.064516129032258,0.3378299120234604,0.08475073313782991,0.7096774193548389,0.35483870967741943
#page,0.12903225806451613,0.22580645161290322,0.8039702233250617,0.0967741935483871,0.3870967741935484,1.1730205278592374,29.03225806451613,0.16129032258064516,0.03225806451612903,0.12903225806451613,0.03225806451612903,0.06451612903225806,0.03225806451612903,0.0967741935483871,0.16129032258064516,0.3225806451612903,0.06451612903225806,0.03225806451612903
#polynice,0.1951612903225807,1.129032258064516,0.004466501240694781,4.7505376344086025,0.4521505376344086,0.3378299120234605,0.16129032258064516,21.806451612903224,4.361290322580646,0.1951612903225807,4.361290322580646,8.722580645161292,4.361290322580646,0.4838709677419355,0.8064516129032258,1.6129032258064515,0.3225806451612903,0.16129032258064516
#adraste,0.12903225806451613,0.22580645161290322,0.41935483870967744,0.0967741935483871,0.3870967741935484,0.35483870967741943,0.03225806451612903,4.361290322580646,29.03225806451613,5.879032258064516,29.03225806451613,0.06451612903225806,0.03225806451612903,0.0967741935483871,0.16129032258064516,0.3225806451612903,0.06451612903225806,0.03225806451612903
#argie,0.5161290322580645,0.9032258064516129,0.06203473945409427,0.3870967741935484,0.19422043010752688,1.4193548387096777,0.12903225806451613,0.1951612903225807,5.879032258064516,23.516129032258064,5.879032258064516,0.25806451612903225,0.12903225806451613,17.637096774193548,0.1951612903225807,0.06532258064516128,0.25806451612903225,0.12903225806451613
#adraste,0.12903225806451613,0.22580645161290322,0.41935483870967744,0.0967741935483871,0.3870967741935484,0.35483870967741943,0.03225806451612903,4.361290322580646,29.03225806451613,5.879032258064516,29.03225806451613,0.06451612903225806,0.03225806451612903,0.0967741935483871,0.16129032258064516,0.3225806451612903,0.06451612903225806,0.03225806451612903
#capitaine-1er,2.1330645161290325,0.45161290322580644,0.8387096774193549,3.3602150537634405,0.06586021505376345,0.11876832844574776,0.06451612903225806,8.722580645161292,0.06451612903225806,0.25806451612903225,0.06451612903225806,27.12903225806452,13.56451612903226,0.1935483870967742,0.3225806451612903,0.6451612903225806,0.12903225806451613,0.06451612903225806
#capitaine-2nd,5.879032258064516,0.22580645161290322,0.41935483870967744,8.43010752688172,0.9704301075268817,1.1730205278592374,0.03225806451612903,4.361290322580646,0.03225806451612903,0.12903225806451613,0.03225806451612903,13.56451612903226,29.03225806451613,0.0967741935483871,0.16129032258064516,0.3225806451612903,0.06451612903225806,0.03225806451612903
#menette,0.3870967741935484,0.6774193548387096,0.43755169561621177,0.29032258064516125,0.022401433691756237,1.064516129032258,0.0967741935483871,0.4838709677419355,0.0967741935483871,17.637096774193548,0.0967741935483871,0.1935483870967742,0.0967741935483871,25.29032258064517,0.550537634408602,0.0010752688172042991,0.1935483870967742,0.0967741935483871
