VALEUR,#moliere,#lesbin,#chapelle,#laforet,#le-garçon,#la-moliere,#isabelle,#baron,#le-semainier,#isabelle #angelique,#baron #cleante,#le-docteur,#le-domestique,#montausier,#pirlon,#mignard,#apollon,#thalie,#melpomene
Fréquences (scènes),0.46153846153846156,0.07692307692307693,0.41025641025641024,0.07692307692307693,0.02564102564102564,0.1282051282051282,0.358974358974359,0.28205128205128205,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.05128205128205128,0.02564102564102564,0.10256410256410256,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564
Fréquences(répliques),0.3343195266272189,0.0029585798816568047,0.17751479289940827,0.025887573964497042,0.0029585798816568047,0.09171597633136094,0.08210059171597633,0.07692307692307693,0.0014792899408284023,0.0,0.0,0.03994082840236687,0.0014792899408284023,0.07692307692307693,0.028846153846153848,0.022189349112426034,0.022928994082840236,0.005917159763313609,0.005917159763313609
Confrontation,0.16447368421052633,0.03289473684210526,0.13815789473684212,0.03289473684210526,0.006578947368421052,0.03289473684210526,0.13157894736842105,0.14473684210526316,0.006578947368421052,0.019736842105263157,0.019736842105263157,0.019736842105263157,0.006578947368421052,0.07236842105263158,0.013157894736842105,0.039473684210526314,0.039473684210526314,0.039473684210526314,0.039473684210526314
Déviations,#moliere,#lesbin,#chapelle,#laforet,#le-garçon,#la-moliere,#isabelle,#baron,#le-semainier,#isabelle #angelique,#baron #cleante,#le-docteur,#le-domestique,#montausier,#pirlon,#mignard,#apollon,#thalie,#melpomene
#moliere,11.307692307692305,0.27350427350427353,0.770032051282051,0.27350427350427353,0.6282051282051284,0.7410256410256408,0.04487179487179485,0.8496503496503496,0.6282051282051284,0.6282051282051284,0.6282051282051284,0.0064102564102564204,0.4615384615384615,1.846153846153846,0.4615384615384615,0.4615384615384615,0.4615384615384615,0.4615384615384615,0.4615384615384615
#lesbin,0.27350427350427353,33.230769230769226,0.04326923076923079,0.23076923076923078,0.07692307692307693,0.3846153846153846,0.7912087912087914,0.8461538461538461,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.07692307692307693,0.3076923076923077,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693
#chapelle,0.7700320512820514,0.04326923076923079,13.564102564102566,2.5432692307692304,0.41025641025641024,0.5387820512820511,2.4400183150183152,0.5071386946386947,0.41025641025641024,0.41025641025641024,0.41025641025641024,0.8205128205128205,0.41025641025641024,0.07852564102564105,0.41025641025641024,0.8477564102564104,0.8477564102564104,0.8477564102564104,0.8477564102564104
#laforet,0.27350427350427353,0.23076923076923078,2.5432692307692304,33.230769230769226,0.07692307692307693,0.3846153846153846,1.0769230769230769,0.8461538461538461,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.07692307692307693,0.3076923076923077,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693
#le-garçon,0.6282051282051281,0.07692307692307693,0.41025641025641024,0.07692307692307693,37.02564102564103,0.1282051282051282,0.358974358974359,0.28205128205128205,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.05128205128205128,0.02564102564102564,0.10256410256410256,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564
#la-moliere,0.7410256410256412,0.38461538461538464,0.5387820512820511,0.38461538461538464,0.1282051282051282,29.64102564102565,0.8091575091575091,1.4102564102564101,0.1282051282051282,0.1282051282051282,0.1282051282051282,0.2564102564102564,0.1282051282051282,0.5128205128205128,0.1282051282051282,0.1282051282051282,0.1282051282051282,0.1282051282051282,0.1282051282051282
#isabelle,0.04487179487179485,0.7912087912087908,2.4400183150183152,1.076923076923077,0.358974358974359,0.8091575091575095,16.025641025641026,0.0006660006660006612,0.358974358974359,0.358974358974359,0.358974358974359,2.289377289377289,0.358974358974359,1.435897435897436,0.358974358974359,0.358974358974359,0.358974358974359,0.358974358974359,0.358974358974359
#baron,0.8496503496503501,0.8461538461538463,0.5071386946386947,0.8461538461538463,0.28205128205128205,1.4102564102564101,0.0006660006660006612,20.102564102564102,0.28205128205128205,1.8275058275058276,1.8275058275058276,0.5641025641025641,1.8275058275058276,7.31002331002331,1.8275058275058276,1.8275058275058276,1.8275058275058276,1.8275058275058276,1.8275058275058276
#le-semainier,0.6282051282051281,0.07692307692307693,0.41025641025641024,0.07692307692307693,0.02564102564102564,0.1282051282051282,0.358974358974359,0.28205128205128205,37.02564102564103,0.02564102564102564,0.02564102564102564,0.05128205128205128,0.02564102564102564,0.10256410256410256,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564
#isabelle #angelique,0.6282051282051281,0.07692307692307693,0.41025641025641024,0.07692307692307693,0.02564102564102564,0.1282051282051282,0.358974358974359,1.8275058275058276,0.02564102564102564,37.02564102564103,37.02564102564103,0.05128205128205128,0.02564102564102564,0.10256410256410256,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564
#isabelle #angelique,0.6282051282051281,0.07692307692307693,0.41025641025641024,0.07692307692307693,0.02564102564102564,0.1282051282051282,0.358974358974359,1.8275058275058276,0.02564102564102564,37.02564102564103,37.02564102564103,0.05128205128205128,0.02564102564102564,0.10256410256410256,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564
#le-docteur,0.006410256410256401,0.15384615384615385,0.8205128205128205,0.15384615384615385,0.05128205128205128,0.2564102564102564,2.289377289377289,0.5641025641025641,0.05128205128205128,0.05128205128205128,0.05128205128205128,35.1025641025641,0.05128205128205128,0.20512820512820512,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.05128205128205128
#le-domestique,0.46153846153846156,0.07692307692307693,0.41025641025641024,0.07692307692307693,0.02564102564102564,0.1282051282051282,0.358974358974359,1.8275058275058276,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.05128205128205128,37.02564102564103,0.10256410256410256,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564
#montausier,1.8461538461538463,0.3076923076923077,0.07852564102564105,0.3076923076923077,0.10256410256410256,0.5128205128205128,1.435897435897436,7.31002331002331,0.10256410256410256,0.10256410256410256,0.10256410256410256,0.20512820512820512,0.10256410256410256,31.410256410256412,7.852564102564103,7.852564102564103,7.852564102564103,7.852564102564103,7.852564102564103
