VALEUR,#jocaste,#olympe,#antigone,#eteocle,#creon,#hemon,#polynice,#un-soldat-grec,#attale
Fréquences (scènes),0.52,0.24,0.48,0.28,0.48,0.16,0.12,0.04,0.2
Fréquences(répliques),0.25316455696202533,0.028330319469559977,0.18565400843881857,0.12597950572634117,0.23688969258589512,0.0644966847498493,0.08318264014466546,0.003616636528028933,0.018685955394816153
Confrontation,0.19047619047619047,0.06349206349206349,0.18253968253968253,0.12698412698412698,0.18253968253968253,0.0873015873015873,0.07936507936507936,0.015873015873015872,0.07142857142857142
Déviations,#jocaste,#olympe,#antigone,#eteocle,#creon,#hemon,#polynice,#un-soldat-grec,#attale
#jocaste,5.760000000000001,0.4020512820512821,0.09256410256410251,0.03560439560439549,0.8041025641025642,0.0030769230769230826,1.3292307692307692,0.44307692307692303,0.9846153846153848
#olympe,0.4020512820512821,14.440000000000005,0.005000000000000009,1.6800000000000002,0.26888888888888884,0.0016666666666666698,0.72,0.24,1.2000000000000002
#antigone,0.09256410256410251,0.005000000000000009,6.760000000000001,0.5504761904761907,0.5377777777777777,2.253333333333334,0.21777777777777782,0.48,0.816666666666667
#eteocle,0.03560439560439549,1.6800000000000002,0.5504761904761907,12.959999999999992,2.0742857142857134,0.01285714285714288,0.03047619047619044,0.28,0.2571428571428568
#creon,0.8041025641025642,0.26888888888888884,0.5377777777777777,2.0742857142857134,6.760000000000001,0.44083333333333324,0.13444444444444442,0.48,2.8166666666666655
#hemon,0.0030769230769230826,0.0016666666666666698,2.253333333333334,0.01285714285714288,0.44083333333333324,17.639999999999997,4.8133333333333335,0.16,0.8000000000000002
#polynice,1.3292307692307692,0.72,0.21777777777777782,0.03047619047619044,0.13444444444444442,4.8133333333333335,19.360000000000003,6.453333333333333,0.6000000000000001
#un-soldat-grec,0.44307692307692303,0.24,0.48,0.28,0.48,0.16,6.453333333333333,23.04,0.20000000000000004
#attale,0.9846153846153848,1.2,0.8166666666666665,0.257142857142857,2.816666666666667,0.8000000000000002,0.6,0.20000000000000004,16.0
Successions,#jocaste,#olympe,#antigone,#eteocle,#creon,#hemon,#polynice,#un-soldat-grec,#attale
#jocaste,0.07407407407407407,0.05555555555555555,0.16666666666666666,0.2222222222222222,0.2037037037037037,0.0,0.2777777777777778,0.0,0.0
#olympe,0.25,0.0,0.4166666666666667,0.0,0.16666666666666666,0.08333333333333333,0.0,0.0,0.08333333333333333
#antigone,0.25,0.10714285714285714,0.05357142857142857,0.03571428571428571,0.3392857142857143,0.17857142857142858,0.03571428571428571,0.0,0.0
#eteocle,0.3939393939393939,0.0,0.030303030303030304,0.0,0.3333333333333333,0.0,0.21212121212121213,0.0,0.030303030303030304
#creon,0.1568627450980392,0.0392156862745098,0.43137254901960786,0.21568627450980393,0.0,0.0,0.0,0.0,0.1568627450980392
#hemon,0.0,0.06666666666666667,0.8666666666666667,0.0,0.0,0.0,0.06666666666666667,0.0,0.0
#polynice,0.52,0.0,0.08,0.24,0.0,0.12,0.0,0.04,0.0
#un-soldat-grec,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
#attale,0.0,0.0,0.1,0.2,0.7,0.0,0.0,0.0,0.0
