VALEUR,#nourrice,#alvide,#torrismon,#conseiller,#gentilhomme,#rosmonde,#rusille,#le-conseiler,#germon,#devin,#fauston,#messager
Fréquences (scènes),0.12903225806451613,0.22580645161290322,0.41935483870967744,0.06451612903225806,0.1935483870967742,0.1935483870967742,0.16129032258064516,0.03225806451612903,0.1935483870967742,0.03225806451612903,0.06451612903225806,0.03225806451612903
Fréquences(répliques),0.0596401028277635,0.19434447300771207,0.23958868894601543,0.07352185089974293,0.038046272493573265,0.11619537275064268,0.093573264781491,0.015424164524421594,0.11002570694087403,0.015938303341902313,0.031362467866323906,0.012339331619537276
Confrontation,0.05357142857142857,0.125,0.23214285714285715,0.03571428571428571,0.14285714285714285,0.08928571428571429,0.08928571428571429,0.0,0.125,0.017857142857142856,0.05357142857142857,0.03571428571428571
Déviations,#nourrice,#alvide,#torrismon,#conseiller,#gentilhomme,#rosmonde,#rusille,#le-conseiler,#germon,#devin,#fauston,#messager
#nourrice,23.516129032258064,4.867511520737327,1.6774193548387097,0.25806451612903225,0.7741935483870968,0.7741935483870968,0.6451612903225806,0.12903225806451613,0.7741935483870968,0.12903225806451613,0.25806451612903225,0.12903225806451613
#alvide,4.867511520737327,18.580645161290327,0.2981212336051046,0.45161290322580644,0.3072196620583718,1.3548387096774193,1.129032258064516,0.22580645161290322,1.3548387096774193,0.22580645161290322,0.45161290322580644,0.22580645161290322
#torrismon,1.6774193548387095,0.2981212336051046,10.451612903225804,0.031017369727047182,0.10587262200165425,0.913564929693962,0.573697270471464,0.4193548387096774,0.10587262200165425,0.8039702233250622,1.6079404466501244,0.8039702233250622
#conseiller,0.25806451612903225,0.45161290322580644,0.031017369727047134,27.12903225806452,0.3870967741935484,0.3870967741935484,0.3225806451612903,0.06451612903225806,0.9704301075268817,0.06451612903225806,0.12903225806451613,0.06451612903225806
#gentilhomme,0.7741935483870968,0.3072196620583718,0.10587262200165425,0.3870967741935484,20.16129032258065,0.022401433691756237,0.0010752688172042991,0.1935483870967742,0.6057347670250899,0.1935483870967742,0.3870967741935484,0.1935483870967742
#rosmonde,0.7741935483870968,1.3548387096774193,0.913564929693962,0.3870967741935484,0.022401433691756237,20.16129032258065,1.101075268817204,0.1935483870967742,0.022401433691756237,0.1935483870967742,0.3870967741935484,0.1935483870967742
#rusille,0.6451612903225806,1.129032258064516,0.573697270471464,0.3225806451612903,0.0010752688172042991,1.101075268817204,21.806451612903224,0.16129032258064516,0.0010752688172042991,0.16129032258064516,0.3225806451612903,0.16129032258064516
#le-conseiler,0.12903225806451613,0.22580645161290322,0.41935483870967744,0.06451612903225806,0.1935483870967742,0.1935483870967742,0.16129032258064516,29.03225806451613,0.1935483870967742,0.03225806451612903,0.06451612903225806,0.03225806451612903
#germon,0.7741935483870968,1.3548387096774193,0.10587262200165425,0.9704301075268817,0.6057347670250899,0.022401433691756237,0.0010752688172042991,0.1935483870967742,20.16129032258065,0.1935483870967742,0.3870967741935484,0.1935483870967742
#devin,0.12903225806451613,0.22580645161290322,0.8039702233250617,0.06451612903225806,0.1935483870967742,0.1935483870967742,0.16129032258064516,0.03225806451612903,0.1935483870967742,29.03225806451613,0.06451612903225806,0.03225806451612903
#fauston,0.25806451612903225,0.45161290322580644,1.6079404466501235,0.12903225806451613,0.3870967741935484,0.3870967741935484,0.3225806451612903,0.06451612903225806,0.3870967741935484,0.06451612903225806,27.12903225806452,13.56451612903226
#messager,0.12903225806451613,0.22580645161290322,0.8039702233250617,0.06451612903225806,0.1935483870967742,0.1935483870967742,0.16129032258064516,0.03225806451612903,0.1935483870967742,0.03225806451612903,13.56451612903226,29.03225806451613
Successions,#nourrice,#alvide,#torrismon,#conseiller,#gentilhomme,#rosmonde,#rusille,#le-conseiler,#germon,#devin,#fauston,#messager
#nourrice,0.0625,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#alvide,0.5833333333333334,0.0,0.25,0.0,0.125,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0
#torrismon,0.013333333333333334,0.08,0.05333333333333334,0.16,0.06666666666666667,0.18666666666666668,0.02666666666666667,0.0,0.08,0.10666666666666667,0.13333333333333333,0.09333333333333334
#conseiller,0.0,0.058823529411764705,0.7058823529411765,0.0,0.0,0.0,0.0,0.0,0.23529411764705882,0.0,0.0,0.0
#gentilhomme,0.0,0.1,0.35,0.0,0.0,0.0,0.2,0.0,0.35,0.0,0.0,0.0
#rosmonde,0.0,0.0,0.5185185185185185,0.0,0.0,0.0,0.4074074074074074,0.037037037037037035,0.037037037037037035,0.0,0.0,0.0
#rusille,0.043478260869565216,0.0,0.043478260869565216,0.0,0.17391304347826086,0.5217391304347826,0.08695652173913043,0.0,0.13043478260869565,0.0,0.0,0.0
#le-conseiler,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#germon,0.0,0.0,0.21739130434782608,0.21739130434782608,0.34782608695652173,0.0,0.17391304347826086,0.0,0.043478260869565216,0.0,0.0,0.0
#le-conseiler,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#fauston,0.0,0.0,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.21428571428571427
#messager,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0
