VALEUR,#clarice,#nerine,#daphne,#hortense,#leandre,#valere,#la-fleur,#doris #melite,#doris,#ismene,#cephise,#melite,#ismene #doris,#leandre #melite #doris
Fréquences (scènes),0.1875,0.4375,0.1875,0.1875,0.8125,0.3125,0.0625,0.0625,0.125,0.125,0.1875,0.0625,0.0625,0.0625
Fréquences(répliques),0.07941653160453808,0.18314424635332252,0.03565640194489465,0.02106969205834684,0.46029173419773095,0.059967585089141004,0.0032414910858995136,0.0032414910858995136,0.03727714748784441,0.014586709886547812,0.06158833063209076,0.03727714748784441,0.0016207455429497568,0.0016207455429497568
Confrontation,0.05194805194805195,0.07792207792207792,0.09090909090909091,0.08441558441558442,0.16233766233766234,0.05844155844155844,0.012987012987012988,0.05844155844155844,0.06493506493506493,0.06493506493506493,0.09740259740259741,0.05844155844155844,0.05844155844155844,0.05844155844155844
Déviations,#clarice,#nerine,#daphne,#hortense,#leandre,#valere,#la-fleur,#doris #melite,#doris,#ismene,#cephise,#melite,#ismene #doris,#leandre #melite #doris
#clarice,10.5625,2.169642857142857,0.3402777777777778,0.3402777777777778,0.8477564102564102,0.004166666666666667,0.1875,0.1875,0.375,0.375,0.3402777777777778,0.1875,0.1875,0.1875
#nerine,2.169642857142857,5.0625,0.0744047619047619,0.0744047619047619,0.5006868131868132,0.01607142857142857,0.4375,0.4375,0.875,0.875,0.0744047619047619,0.4375,0.4375,0.4375
#daphne,0.3402777777777778,0.0744047619047619,10.5625,3.673611111111111,0.07852564102564102,0.9375,0.1875,3.5208333333333335,1.0416666666666667,1.0416666666666667,3.673611111111111,3.5208333333333335,3.5208333333333335,3.5208333333333335
#hortense,0.3402777777777778,0.0744047619047619,3.673611111111111,10.5625,0.07852564102564102,0.9375,0.1875,3.5208333333333335,1.0416666666666667,1.0416666666666667,0.3402777777777778,3.5208333333333335,3.5208333333333335,3.5208333333333335
#leandre,0.8477564102564102,0.5006868131868132,0.07852564102564102,0.07852564102564102,0.5625,0.0009615384615384616,0.04326923076923077,0.04326923076923077,0.08653846153846154,0.08653846153846154,0.12980769230769232,0.04326923076923077,0.04326923076923077,0.04326923076923077
#valere,0.004166666666666667,0.01607142857142857,0.9375,0.9375,0.0009615384615384616,7.5625,1.5125,0.3125,0.625,0.625,0.004166666666666667,0.3125,0.3125,0.3125
#la-fleur,0.1875,0.4375,0.1875,0.1875,0.04326923076923077,1.5125,14.0625,0.0625,0.125,0.125,0.1875,0.0625,0.0625,0.0625
#doris #melite,0.1875,0.4375,3.5208333333333335,3.5208333333333335,0.04326923076923077,0.3125,0.0625,14.0625,6.125,6.125,3.5208333333333335,14.0625,14.0625,14.0625
#doris,0.375,0.875,1.0416666666666667,1.0416666666666667,0.08653846153846154,0.625,0.125,6.125,12.25,2.25,1.0416666666666667,6.125,6.125,6.125
#ismene,0.375,0.875,1.0416666666666667,1.0416666666666667,0.08653846153846154,0.625,0.125,6.125,2.25,12.25,1.0416666666666667,6.125,6.125,6.125
#cephise,0.3402777777777778,0.0744047619047619,3.673611111111111,0.3402777777777778,0.12980769230769232,0.004166666666666667,0.1875,3.5208333333333335,1.0416666666666667,1.0416666666666667,10.5625,3.5208333333333335,3.5208333333333335,3.5208333333333335
#doris #melite,0.1875,0.4375,3.5208333333333335,3.5208333333333335,0.04326923076923077,0.3125,0.0625,14.0625,6.125,6.125,3.5208333333333335,14.0625,14.0625,14.0625
#doris #melite,0.1875,0.4375,3.5208333333333335,3.5208333333333335,0.04326923076923077,0.3125,0.0625,14.0625,6.125,6.125,3.5208333333333335,14.0625,14.0625,14.0625
#doris #melite,0.1875,0.4375,3.5208333333333335,3.5208333333333335,0.04326923076923077,0.3125,0.0625,14.0625,6.125,6.125,3.5208333333333335,14.0625,14.0625,14.0625
Successions,#clarice,#nerine,#daphne,#hortense,#leandre,#valere,#la-fleur,#doris #melite,#doris,#ismene,#cephise,#melite,#ismene #doris,#leandre #melite #doris
#clarice,0.0,0.5833333333333334,0.16666666666666666,0.16666666666666666,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#nerine,0.36,0.0,0.04,0.04,0.44,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#daphne,0.2,0.13333333333333333,0.0,0.06666666666666667,0.2,0.0,0.0,0.0,0.13333333333333333,0.0,0.2,0.0,0.0,0.06666666666666667
#hortense,0.125,0.0,0.375,0.0,0.25,0.0,0.0,0.125,0.0,0.0,0.125,0.0,0.0,0.0
#leandre,0.0,0.16901408450704225,0.08450704225352113,0.028169014084507043,0.04225352112676056,0.1267605633802817,0.028169014084507043,0.014084507042253521,0.14084507042253522,0.014084507042253521,0.15492957746478872,0.18309859154929578,0.014084507042253521,0.0
#valere,0.0,0.13333333333333333,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0
#la-fleur,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#doris #melite,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
#doris,0.0,0.0,0.10526315789473684,0.0,0.3684210526315789,0.0,0.0,0.0,0.0,0.0,0.3684210526315789,0.15789473684210525,0.0,0.0
#ismene,0.0,0.0,0.0,0.16666666666666666,0.5,0.0,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0
#cephise,0.0,0.038461538461538464,0.0,0.0,0.7307692307692307,0.0,0.0,0.0,0.038461538461538464,0.07692307692307693,0.0,0.11538461538461539,0.0,0.0
#melite,0.0,0.0,0.0,0.05263157894736842,0.47368421052631576,0.0,0.0,0.0,0.2631578947368421,0.15789473684210525,0.05263157894736842,0.0,0.0,0.0
#ismene #doris,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#leandre #melite #doris,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
