VALEUR,#la-reine,#cleonte,#clorimand,#atys,#ormin,#lerme,#lysis,#adraste,#isabelle,#le-roi,#cleonis,#filemon,#cleonard
Fréquences (scènes),0.6,0.45,0.4,0.1,0.1,0.1,0.25,0.4,0.35,0.25,0.1,0.1,0.05
Fréquences(répliques),0.18034557235421167,0.10907127429805616,0.3072354211663067,0.007019438444924406,0.010259179265658747,0.007019438444924406,0.03455723542116631,0.1355291576673866,0.11231101511879049,0.08207343412526998,0.00755939524838013,0.004859611231101512,0.0021598272138228943
Confrontation,0.15714285714285714,0.1380952380952381,0.14761904761904762,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.09523809523809523,0.09523809523809523,0.09047619047619047,0.0761904761904762,0.014285714285714285,0.047619047619047616,0.0380952380952381
Déviations,#la-reine,#cleonte,#clorimand,#atys,#ormin,#lerme,#lysis,#adraste,#isabelle,#le-roi,#cleonis,#filemon,#cleonard
#la-reine,3.200000000000001,0.4740740740740738,1.0083333333333326,0.03333333333333339,0.03333333333333339,0.03333333333333339,0.3333333333333333,0.13333333333333355,0.3428571428571425,0.0,1.2000000000000002,0.03333333333333339,0.2666666666666665
#cleonte,0.4740740740740745,6.050000000000001,1.5999999999999999,0.011111111111111105,0.011111111111111105,0.011111111111111105,1.3611111111111112,0.7111111111111112,0.4198412698412698,0.25,0.9,0.011111111111111105,0.6722222222222223
#clorimand,1.0083333333333335,1.5999999999999999,7.199999999999999,0.049999999999999975,0.049999999999999975,0.049999999999999975,4.5,0.012500000000000022,0.014285714285714311,0.0,0.8000000000000002,0.049999999999999975,0.8999999999999999
#atys,0.03333333333333332,0.011111111111111105,0.049999999999999975,16.2,16.2,16.2,0.5,0.8000000000000002,0.7,0.5,0.20000000000000004,0.20000000000000004,0.10000000000000002
#atys,0.03333333333333332,0.011111111111111105,0.049999999999999975,16.2,16.2,16.2,0.5,0.8000000000000002,0.7,0.5,0.20000000000000004,0.20000000000000004,0.10000000000000002
#atys,0.03333333333333332,0.011111111111111105,0.049999999999999975,16.2,16.2,16.2,0.5,0.8000000000000002,0.7,0.5,0.20000000000000004,0.20000000000000004,0.10000000000000002
#lysis,0.3333333333333333,1.3611111111111112,4.5,0.5,0.5,0.5,11.25,0.0,0.03571428571428571,0.05,0.5,0.5,2.25
#adraste,0.13333333333333328,0.7111111111111112,0.012500000000000022,0.8000000000000002,0.8000000000000002,0.8000000000000002,0.0,7.199999999999999,3.657142857142858,0.5,0.8000000000000002,0.049999999999999975,0.8999999999999999
#isabelle,0.3428571428571429,0.4198412698412698,0.014285714285714247,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.03571428571428571,3.657142857142856,8.450000000000005,0.32142857142857145,0.7000000000000001,0.1285714285714285,1.2071428571428566
#le-roi,0.0,0.25,0.0,0.5,0.5,0.5,0.05,0.5,0.32142857142857145,11.25,4.5,4.5,2.25
#cleonis,1.2,0.9,0.8000000000000002,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.5,0.8000000000000002,0.7,4.5,16.2,3.2000000000000006,0.10000000000000002
#filemon,0.03333333333333332,0.011111111111111105,0.049999999999999975,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.5,0.049999999999999975,0.12857142857142861,4.5,3.2000000000000006,16.2,8.1
#cleonard,0.2666666666666667,0.6722222222222223,0.8999999999999999,0.10000000000000002,0.10000000000000002,0.10000000000000002,2.25,0.8999999999999999,1.2071428571428573,2.25,0.10000000000000002,8.1,18.049999999999997
Successions,#la-reine,#cleonte,#clorimand,#atys,#ormin,#lerme,#lysis,#adraste,#isabelle,#le-roi,#cleonis,#filemon,#cleonard
#la-reine,0.02040816326530612,0.14285714285714285,0.2653061224489796,0.0,0.02040816326530612,0.0,0.02040816326530612,0.08163265306122448,0.2653061224489796,0.12244897959183673,0.0,0.02040816326530612,0.04081632653061224
#cleonte,0.3333333333333333,0.0,0.3333333333333333,0.0,0.03333333333333333,0.0,0.1,0.1,0.06666666666666667,0.03333333333333333,0.0,0.0,0.0
#clorimand,0.18181818181818182,0.23636363636363636,0.0,0.03636363636363636,0.01818181818181818,0.0,0.09090909090909091,0.14545454545454545,0.18181818181818182,0.10909090909090909,0.0,0.0,0.0
#atys,0.0,0.0,0.5,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#ormin,0.5,0.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#lerme,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#lysis,0.18181818181818182,0.09090909090909091,0.5454545454545454,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.0
#adraste,0.07142857142857142,0.07142857142857142,0.25,0.0,0.03571428571428571,0.0,0.03571428571428571,0.0,0.5,0.03571428571428571,0.0,0.0,0.0
#isabelle,0.3170731707317073,0.07317073170731707,0.21951219512195122,0.0,0.0,0.0,0.024390243902439025,0.3170731707317073,0.0,0.04878048780487805,0.0,0.0,0.0
#le-roi,0.3333333333333333,0.08333333333333333,0.2916666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.125,0.0
#cleonis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
#cleonis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
#cleonard,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
