VALEUR,#pamphage,#trassidule,#monofthalme,#philarchie,#disangel,#themide,#andrigene,#philideme,#mystarque,#le-page,#protarque,#evangel,#le-gentilhomme
Fréquences (scènes),0.38461538461538464,0.038461538461538464,0.07692307692307693,0.11538461538461539,0.07692307692307693,0.15384615384615385,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.038461538461538464,0.3076923076923077,0.038461538461538464,0.038461538461538464
Fréquences(répliques),0.2328405491024287,0.013727560718057022,0.06599788806758183,0.046462513199577615,0.023231256599788808,0.07708553326293559,0.17106652587117213,0.06863780359028511,0.10982048574445617,0.00791974656810982,0.16737064413938754,0.003695881731784583,0.012143611404435059
Confrontation,0.14285714285714285,0.023809523809523808,0.03571428571428571,0.047619047619047616,0.023809523809523808,0.05952380952380952,0.10714285714285714,0.17857142857142858,0.16666666666666666,0.011904761904761904,0.14285714285714285,0.023809523809523808,0.03571428571428571
Déviations,#pamphage,#trassidule,#monofthalme,#philarchie,#disangel,#themide,#andrigene,#philideme,#mystarque,#le-page,#protarque,#evangel,#le-gentilhomme
#pamphage,9.846153846153845,0.9846153846153847,1.9692307692307693,2.953846153846153,0.0692307692307692,1.5384615384615385,1.401923076923077,1.401923076923077,1.401923076923077,0.9846153846153847,1.401923076923077,0.38461538461538464,0.38461538461538464
#trassidule,0.9846153846153847,24.038461538461537,11.076923076923078,0.11538461538461539,0.07692307692307693,0.15384615384615385,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.038461538461538464,0.3076923076923077,0.038461538461538464,0.038461538461538464
#monofthalme,1.9692307692307693,11.076923076923078,22.153846153846157,0.23076923076923078,0.15384615384615385,0.3076923076923077,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.07692307692307693,0.6153846153846154,0.07692307692307693,0.07692307692307693
#philarchie,2.953846153846153,0.11538461538461539,0.23076923076923078,20.346153846153843,2.5641025641025634,0.46153846153846156,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.11538461538461539,0.9230769230769231,0.11538461538461539,0.11538461538461539
#disangel,0.0692307692307692,0.07692307692307693,0.15384615384615385,2.5641025641025634,22.153846153846157,0.3076923076923077,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.07692307692307693,0.6153846153846154,0.07692307692307693,0.07692307692307693
#themide,1.5384615384615385,0.15384615384615385,0.3076923076923077,0.46153846153846156,0.3076923076923077,18.615384615384613,0.04326923076923079,0.04326923076923079,1.2307692307692308,0.15384615384615385,0.48076923076923067,4.653846153846153,0.15384615384615385
#andrigene,1.401923076923077,0.3076923076923077,0.6153846153846154,0.9230769230769231,0.6153846153846154,0.04326923076923079,12.46153846153846,0.08653846153846158,0.11778846153846148,0.3076923076923077,0.08653846153846158,0.3076923076923077,0.3076923076923077
#philideme,1.401923076923077,0.3076923076923077,0.6153846153846154,0.9230769230769231,0.6153846153846154,0.04326923076923079,0.08653846153846158,12.46153846153846,8.36778846153846,0.3076923076923077,0.11778846153846148,0.3076923076923077,1.5576923076923075
#mystarque,1.401923076923077,0.3076923076923077,0.6153846153846154,0.9230769230769231,0.6153846153846154,1.2307692307692308,0.11778846153846148,8.36778846153846,12.46153846153846,0.3076923076923077,0.08653846153846158,0.3076923076923077,1.5576923076923075
#le-page,0.9846153846153847,0.038461538461538464,0.07692307692307693,0.11538461538461539,0.07692307692307693,0.15384615384615385,0.3076923076923077,0.3076923076923077,0.3076923076923077,24.038461538461537,0.3076923076923077,0.038461538461538464,0.038461538461538464
#protarque,1.401923076923077,0.3076923076923077,0.6153846153846154,0.9230769230769231,0.6153846153846154,0.48076923076923067,0.08653846153846158,0.11778846153846148,0.08653846153846158,0.3076923076923077,12.46153846153846,1.5576923076923075,1.5576923076923075
#evangel,0.38461538461538464,0.038461538461538464,0.07692307692307693,0.11538461538461539,0.07692307692307693,4.653846153846153,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.038461538461538464,1.5576923076923075,24.038461538461537,0.038461538461538464
#le-gentilhomme,0.38461538461538464,0.038461538461538464,0.07692307692307693,0.11538461538461539,0.07692307692307693,0.15384615384615385,0.3076923076923077,1.5576923076923075,1.5576923076923075,0.038461538461538464,1.5576923076923075,0.038461538461538464,24.038461538461537
Successions,#pamphage,#trassidule,#monofthalme,#philarchie,#disangel,#themide,#andrigene,#philideme,#mystarque,#le-page,#protarque,#evangel,#le-gentilhomme
#pamphage,0.0,0.024390243902439025,0.2682926829268293,0.24390243902439024,0.024390243902439025,0.0,0.0975609756097561,0.024390243902439025,0.024390243902439025,0.0975609756097561,0.1951219512195122,0.0,0.0
#trassidule,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#trassidule,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#philarchie,0.7142857142857143,0.0,0.0,0.0,0.21428571428571427,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0
