VALEUR,#valere,#gripaut,#la-branche,#cartouche,#harpin,#bel-humeur,#la-ramee,#la-pince,#tous-ensemble,#le-petit-frere,#madame-gribiche,#la-mouche,#l-exempt,#la-valeur,#pataut,#oronte,#isabelle,#jasmin,#rodomont,#un-musicien,#deuxieme-musicien,#premier-musicien,#troisieme-musicien
Fréquences (scènes),0.07317073170731707,0.2926829268292683,0.1951219512195122,0.3902439024390244,0.14634146341463414,0.04878048780487805,0.04878048780487805,0.024390243902439025,0.024390243902439025,0.04878048780487805,0.024390243902439025,0.04878048780487805,0.14634146341463414,0.04878048780487805,0.36585365853658536,0.2926829268292683,0.12195121951219512,0.024390243902439025,0.024390243902439025,0.0,0.0,0.0,0.0
Fréquences(répliques),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20454545454545456,0.38636363636363635,0.20454545454545456,0.20454545454545456
Confrontation,0.028037383177570093,0.08411214953271028,0.09345794392523364,0.12149532710280374,0.08411214953271028,0.04672897196261682,0.04205607476635514,0.037383177570093455,0.037383177570093455,0.056074766355140186,0.037383177570093455,0.014018691588785047,0.056074766355140186,0.009345794392523364,0.10747663551401869,0.08878504672897196,0.03271028037383177,0.004672897196261682,0.018691588785046728,0.0,0.0,0.0,0.0
Déviations,#valere,#gripaut,#la-branche,#cartouche,#harpin,#bel-humeur,#la-ramee,#la-pince,#tous-ensemble,#le-petit-frere,#madame-gribiche,#la-mouche,#l-exempt,#la-valeur,#pataut,#oronte,#isabelle,#jasmin,#rodomont,#un-musicien,#deuxieme-musicien,#premier-musicien,#troisieme-musicien
#valere,35.21951219512195,0.0169376693766938,0.5853658536585367,1.1707317073170733,0.4390243902439024,0.14634146341463417,0.14634146341463417,0.07317073170731708,0.07317073170731708,0.14634146341463417,0.07317073170731708,0.14634146341463417,0.7168021680216804,0.14634146341463417,0.7420054200542003,1.4336043360433608,0.36585365853658536,0.07317073170731708,0.07317073170731708,0.0,0.0,0.0,0.0
#gripaut,0.0169376693766938,20.512195121951223,3.018546747967479,1.1464684959349587,0.0338753387533876,0.5853658536585367,0.5853658536585367,0.29268292682926833,0.29268292682926833,0.5853658536585367,0.29268292682926833,0.29369918699186975,1.7560975609756095,0.5853658536585367,1.301355013550136,3.512195121951219,1.4634146341463414,0.29268292682926833,0.29268292682926833,0.0,0.0,0.0,0.0
#la-branche,0.5853658536585366,3.01854674796748,26.5609756097561,0.0047637195121951305,6.83739837398374,0.9527439024390244,0.9527439024390244,3.320121951219513,3.320121951219513,0.9527439024390244,3.320121951219513,0.3902439024390244,1.170731707317073,0.3902439024390244,0.29349593495934956,2.341463414634146,0.975609756097561,0.1951219512195122,0.1951219512195122,0.0,0.0,0.0,0.0
#cartouche,1.170731707317073,1.1464684959349596,0.0047637195121951305,15.24390243902439,0.18521341463414642,0.061737804878048766,1.9054878048780488,0.9527439024390244,0.9527439024390244,0.061737804878048766,0.9527439024390244,1.9054878048780488,2.341463414634146,0.7804878048780488,2.5369918699186993,2.8964684959349594,0.4637195121951219,0.3902439024390244,0.3902439024390244,0.0,0.0,0.0,0.0
#harpin,0.4390243902439024,0.0338753387533876,6.8373983739837385,0.18521341463414615,29.878048780487813,9.959349593495933,1.7093495934959346,4.979674796747966,4.979674796747966,1.7093495934959346,4.979674796747966,0.29268292682926833,0.8780487804878048,0.29268292682926833,0.017344173441734445,1.7560975609756095,0.7317073170731707,0.14634146341463417,0.14634146341463417,0.0,0.0,0.0,0.0
#bel-humeur,0.14634146341463414,0.5853658536585366,0.9527439024390244,0.061737804878048766,9.959349593495935,37.09756097560975,8.347560975609756,18.548780487804876,18.548780487804876,8.347560975609756,18.548780487804876,0.0975609756097561,0.2926829268292683,0.0975609756097561,0.09837398373983741,0.5853658536585366,0.24390243902439024,0.04878048780487805,0.04878048780487805,0.0,0.0,0.0,0.0
#la-ramee,0.14634146341463414,0.5853658536585366,0.9527439024390244,1.9054878048780488,1.709349593495935,8.347560975609756,37.09756097560975,18.548780487804876,18.548780487804876,8.347560975609756,18.548780487804876,0.0975609756097561,0.2926829268292683,0.0975609756097561,0.7317073170731707,0.5853658536585366,0.24390243902439024,0.04878048780487805,0.04878048780487805,0.0,0.0,0.0,0.0
