VALEUR,#catilina,#cethegus,#aurelie,#martian,#ciceron,#caton,#sura,#cesar,#lentulus,#statilius,#autre-conjure,#lucullus,#clodius,#chef #licteurs,#crassus,#chef-licteurs
Fréquences (scènes),0.6896551724137931,0.4482758620689655,0.20689655172413793,0.10344827586206896,0.3793103448275862,0.3103448275862069,0.27586206896551724,0.1724137931034483,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.10344827586206896,0.06896551724137931,0.034482758620689655,0.034482758620689655
Fréquences(répliques),0.360377358490566,0.04905660377358491,0.12075471698113208,0.008176100628930818,0.23962264150943396,0.06540880503144654,0.040880503144654086,0.07421383647798742,0.0018867924528301887,0.0006289308176100629,0.0006289308176100629,0.0006289308176100629,0.0220125786163522,0.0037735849056603774,0.0006289308176100629,0.011320754716981131
Confrontation,0.18141592920353983,0.1415929203539823,0.07079646017699115,0.035398230088495575,0.13274336283185842,0.11504424778761062,0.084070796460177,0.06637168141592921,0.017699115044247787,0.017699115044247787,0.017699115044247787,0.008849557522123894,0.04424778761061947,0.03982300884955752,0.008849557522123894,0.017699115044247787
Déviations,#catilina,#cethegus,#aurelie,#martian,#ciceron,#caton,#sura,#cesar,#lentulus,#statilius,#autre-conjure,#lucullus,#clodius,#chef #licteurs,#crassus,#chef-licteurs
#catilina,2.793103448275861,0.46167108753315694,0.8379310344827583,0.41896551724137915,0.8816614420062696,2.8513409961685823,0.39849137931034456,0.6082758620689657,0.13965517241379305,0.13965517241379305,0.13965517241379305,0.6896551724137931,0.5522988505747127,0.10431034482758625,0.6896551724137931,0.6896551724137931
#cethegus,0.46167108753315594,8.827586206896553,0.035809018567639246,0.08841732979664015,0.17578972751386523,0.2652519893899204,1.6246684350132623,0.025994694960212256,0.4482758620689655,0.4482758620689655,0.4482758620689655,0.4482758620689655,0.08841732979664015,0.011936339522546415,0.4482758620689655,0.4482758620689655
#aurelie,0.8379310344827583,0.035809018567639246,18.24137931034483,0.23180076628352486,0.03343782654127474,0.3991060025542785,0.07183908045977012,1.0344827586206897,0.20689655172413793,0.20689655172413793,0.20689655172413793,0.20689655172413793,0.6206896551724138,0.8304597701149428,0.20689655172413793,0.20689655172413793
#martian,0.41896551724137915,0.08841732979664015,0.23180076628352486,23.310344827586206,1.1379310344827585,0.9310344827586208,0.8275862068965517,0.5172413793103449,7.770114942528736,7.770114942528736,7.770114942528736,0.10344827586206896,0.3103448275862069,0.20689655172413793,0.10344827586206896,0.10344827586206896
#ciceron,0.8816614420062696,0.17578972751386554,0.03343782654127484,1.1379310344827587,11.172413793103448,3.7673284569836296,0.3526645768025078,0.6420062695924764,0.3793103448275862,0.3793103448275862,0.3793103448275862,1.0156739811912228,0.6530825496342736,2.0313479623824455,1.0156739811912228,1.0156739811912228
#caton,2.851340996168583,0.2652519893899204,0.39910600255427836,0.9310344827586207,3.7673284569836296,13.793103448275863,0.8855363984674329,3.8628352490421447,0.3103448275862069,0.3103448275862069,0.3103448275862069,1.5325670498084292,4.597701149425288,3.0651340996168583,1.5325670498084292,1.5325670498084292
#sura,0.39849137931034456,1.6246684350132623,0.07183908045977012,0.8275862068965517,0.3526645768025078,0.8855363984674329,15.20689655172414,1.3793103448275863,0.27586206896551724,0.27586206896551724,0.27586206896551724,0.27586206896551724,0.8275862068965517,0.36422413793103453,0.27586206896551724,0.27586206896551724
#cesar,0.6082758620689657,0.025994694960212165,1.0344827586206897,0.5172413793103449,0.6420062695924764,3.862835249042145,1.3793103448275863,19.862068965517242,0.1724137931034483,0.1724137931034483,0.1724137931034483,0.1724137931034483,4.250574712643678,1.2448275862068965,0.1724137931034483,3.9724137931034478
#lentulus,0.13965517241379305,0.4482758620689655,0.20689655172413793,7.770114942528736,0.3793103448275862,0.3103448275862069,0.27586206896551724,0.1724137931034483,27.034482758620694,27.034482758620694,27.034482758620694,0.034482758620689655,0.10344827586206896,0.06896551724137931,0.034482758620689655,0.034482758620689655
#lentulus,0.13965517241379305,0.4482758620689655,0.20689655172413793,7.770114942528736,0.3793103448275862,0.3103448275862069,0.27586206896551724,0.1724137931034483,27.034482758620694,27.034482758620694,27.034482758620694,0.034482758620689655,0.10344827586206896,0.06896551724137931,0.034482758620689655,0.034482758620689655
#lentulus,0.13965517241379305,0.4482758620689655,0.20689655172413793,7.770114942528736,0.3793103448275862,0.3103448275862069,0.27586206896551724,0.1724137931034483,27.034482758620694,27.034482758620694,27.034482758620694,0.034482758620689655,0.10344827586206896,0.06896551724137931,0.034482758620689655,0.034482758620689655
#lucullus,0.6896551724137931,0.4482758620689655,0.20689655172413793,0.10344827586206896,1.0156739811912228,1.5325670498084292,0.27586206896551724,0.1724137931034483,0.034482758620689655,0.034482758620689655,0.034482758620689655,27.034482758620694,0.10344827586206896,0.06896551724137931,0.034482758620689655,0.034482758620689655
#clodius,0.5522988505747127,0.08841732979664015,0.6206896551724138,0.3103448275862069,0.6530825496342741,4.597701149425286,0.8275862068965517,4.250574712643678,0.10344827586206896,0.10344827586206896,0.10344827586206896,0.10344827586206896,23.310344827586206,0.20689655172413793,0.10344827586206896,7.770114942528736
#chef #licteurs,0.10431034482758625,0.011936339522546415,0.8304597701149428,0.20689655172413793,2.0313479623824455,3.0651340996168583,0.36422413793103453,1.2448275862068965,0.06896551724137931,0.06896551724137931,0.06896551724137931,0.06896551724137931,0.20689655172413793,25.137931034482758,0.06896551724137931,0.06896551724137931
#crassus,0.6896551724137931,0.4482758620689655,0.20689655172413793,0.10344827586206896,1.0156739811912228,1.5325670498084292,0.27586206896551724,0.1724137931034483,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.10344827586206896,0.06896551724137931,27.034482758620694,0.034482758620689655
#chef-licteurs,0.6896551724137931,0.4482758620689655,0.20689655172413793,0.10344827586206896,1.0156739811912228,1.5325670498084292,0.27586206896551724,3.9724137931034478,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,7.770114942528736,0.06896551724137931,0.034482758620689655,27.034482758620694
Successions,#catilina,#cethegus,#aurelie,#martian,#ciceron,#caton,#sura,#cesar,#lentulus,#statilius,#autre-conjure,#lucullus,#clodius,#chef #licteurs,#crassus,#chef-licteurs
#catilina,0.04054054054054054,0.22972972972972974,0.24324324324324326,0.02702702702702703,0.21621621621621623,0.0,0.12162162162162163,0.0945945945945946,0.013513513513513514,0.013513513513513514,0.0,0.0,0.0,0.0,0.0,0.0
#cethegus,0.6071428571428571,0.0,0.0,0.0,0.10714285714285714,0.03571428571428571,0.21428571428571427,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#aurelie,0.64,0.04,0.0,0.04,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0
#martian,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0
#ciceron,0.391304347826087,0.021739130434782608,0.10869565217391304,0.0,0.021739130434782608,0.2391304347826087,0.021739130434782608,0.08695652173913043,0.0,0.0,0.0,0.0,0.043478260869565216,0.043478260869565216,0.021739130434782608,0.0
#caton,0.043478260869565216,0.08695652173913043,0.0,0.0,0.34782608695652173,0.043478260869565216,0.0,0.34782608695652173,0.0,0.0,0.0,0.043478260869565216,0.08695652173913043,0.0,0.0,0.0
#sura,0.4375,0.4375,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#cesar,0.35,0.0,0.0,0.0,0.2,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#lentulus,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#lentulus,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#autre-conjure,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#lucullus,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#clodius,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
#chef #licteurs,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
