VALEUR,#la-catanoise,#le-senechal,#la-reine,#le-comte,#le-roi,#un-garde,#le-roi-d-hongrie,#le-roi-de-naples,#le-capitaine-des-gardes
Fréquences (scènes),0.26666666666666666,0.6,0.6333333333333333,0.5333333333333333,0.26666666666666666,0.03333333333333333,0.26666666666666666,0.16666666666666666,0.06666666666666667
Fréquences(répliques),0.05444887118193891,0.1593625498007968,0.21115537848605578,0.2058432934926959,0.2058432934926959,0.0006640106241699867,0.1254980079681275,0.02257636122177955,0.014608233731739707
Confrontation,0.08080808080808081,0.20202020202020202,0.18686868686868688,0.19696969696969696,0.08585858585858586,0.010101010101010102,0.1111111111111111,0.08585858585858586,0.04040404040404041
Déviations,#la-catanoise,#le-senechal,#la-reine,#le-comte,#le-roi,#un-garde,#le-roi-d-hongrie,#le-roi-de-naples,#le-capitaine-des-gardes
#la-catanoise,16.133333333333336,0.13333333333333328,0.7377192982456142,1.2041666666666666,0.35208333333333336,0.26666666666666666,2.1333333333333333,1.3333333333333333,0.5333333333333333
#le-senechal,0.13333333333333328,4.8000000000000025,0.5052631578947363,0.20416666666666677,0.13333333333333328,0.6,0.3000000000000001,0.3333333333333333,0.5333333333333334
#la-reine,0.7377192982456142,0.505263157894737,4.033333333333333,0.0017543859649122684,0.1719298245614036,0.6333333333333333,0.8429824561403507,0.42982456140350866,1.2666666666666666
#le-comte,1.2041666666666666,0.20416666666666677,0.0017543859649122684,6.533333333333334,0.37604166666666666,0.4083333333333334,0.7041666666666667,0.6666666666666669,0.8166666666666668
#le-roi,0.35208333333333336,0.13333333333333328,0.1719298245614036,0.37604166666666666,16.133333333333336,2.016666666666667,2.1333333333333333,1.3333333333333333,0.5333333333333333
#un-garde,0.26666666666666666,0.6,0.6333333333333333,0.4083333333333334,2.016666666666667,28.03333333333333,0.26666666666666666,0.16666666666666666,0.06666666666666667
#le-roi-d-hongrie,2.1333333333333333,0.3000000000000001,0.8429824561403507,0.7041666666666667,2.1333333333333333,0.26666666666666666,16.133333333333336,10.083333333333336,4.033333333333334
#le-roi-de-naples,1.3333333333333333,0.3333333333333333,0.42982456140350866,0.6666666666666669,1.3333333333333333,0.16666666666666666,10.083333333333336,20.83333333333334,8.333333333333336
#le-capitaine-des-gardes,0.5333333333333333,0.5333333333333334,1.2666666666666666,0.8166666666666668,0.5333333333333333,0.06666666666666667,4.033333333333334,8.333333333333336,26.133333333333336
Successions,#la-catanoise,#le-senechal,#la-reine,#le-comte,#le-roi,#un-garde,#le-roi-d-hongrie,#le-roi-de-naples,#le-capitaine-des-gardes
#la-catanoise,0.0,0.5263157894736842,0.2631578947368421,0.0,0.21052631578947367,0.0,0.0,0.0,0.0
#le-senechal,0.14925373134328357,0.0,0.1791044776119403,0.31343283582089554,0.1791044776119403,0.0,0.14925373134328357,0.014925373134328358,0.014925373134328358
#la-reine,0.1,0.21428571428571427,0.04285714285714286,0.22857142857142856,0.3,0.0,0.11428571428571428,0.0,0.0
#le-comte,0.0,0.2727272727272727,0.25757575757575757,0.0,0.22727272727272727,0.0,0.22727272727272727,0.015151515151515152,0.0
#le-roi,0.05454545454545454,0.23636363636363636,0.43636363636363634,0.21818181818181817,0.03636363636363636,0.01818181818181818,0.0,0.0,0.0
#un-garde,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
#le-roi-d-hongrie,0.0,0.21951219512195122,0.1951219512195122,0.2682926829268293,0.0,0.0,0.0,0.2682926829268293,0.04878048780487805
#le-roi-de-naples,0.0,0.07692307692307693,0.07692307692307693,0.38461538461538464,0.0,0.0,0.46153846153846156,0.0,0.0
#le-capitaine-des-gardes,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0
