VALEUR,#syphax,#sophonisbe,#philon,#phenice,#corisbe,#caliodore,#massinisse,#philippe,#ariston,#scipion,#lelie
Fréquences (scènes),0.09090909090909091,0.5,0.045454545454545456,0.4090909090909091,0.3181818181818182,0.2727272727272727,0.5,0.045454545454545456,0.045454545454545456,0.22727272727272727,0.22727272727272727
Fréquences(répliques),0.07894736842105263,0.2878625134264232,0.023630504833512353,0.09076262083780881,0.02685284640171858,0.05155746509129968,0.280343716433942,0.005907626208378088,0.0021482277121374865,0.07894736842105263,0.07303974221267455
Confrontation,0.017543859649122806,0.21052631578947367,0.008771929824561403,0.18421052631578946,0.14912280701754385,0.12280701754385964,0.14035087719298245,0.008771929824561403,0.017543859649122806,0.07017543859649122,0.07017543859649122
Déviations,#syphax,#sophonisbe,#philon,#phenice,#corisbe,#caliodore,#massinisse,#philippe,#ariston,#scipion,#lelie
#syphax,18.18181818181818,0.0,9.09090909090909,0.8181818181818182,0.6363636363636364,0.5454545454545454,1.0,0.09090909090909091,0.09090909090909091,0.45454545454545453,0.45454545454545453
#sophonisbe,0.0,5.5,0.5,4.5,3.5,0.3333333333333333,2.227272727272727,0.5,0.5,2.5,2.5
#philon,9.09090909090909,0.5,20.045454545454547,0.4090909090909091,0.3181818181818182,0.2727272727272727,0.5,0.045454545454545456,0.045454545454545456,0.22727272727272727,0.22727272727272727
#phenice,0.8181818181818182,4.5,0.4090909090909091,7.681818181818182,5.974747474747475,0.9730639730639737,2.7222222222222223,0.4090909090909091,0.4090909090909091,2.0454545454545454,2.0454545454545454
#corisbe,0.6363636363636364,3.5,0.3181818181818182,5.974747474747475,10.22727272727273,0.004329004329004343,1.7857142857142858,0.3181818181818182,0.3181818181818182,1.590909090909091,1.590909090909091
#caliodore,0.5454545454545454,0.3333333333333333,0.2727272727272727,0.973063973063973,0.004329004329004321,11.636363636363635,0.3333333333333333,0.2727272727272727,0.2727272727272727,0.09696969696969691,0.09696969696969691
#massinisse,1.0,2.227272727272727,0.5,2.7222222222222223,1.7857142857142858,0.3333333333333333,5.5,0.5,0.5,0.9,0.9
#philippe,0.09090909090909091,0.5,0.045454545454545456,0.4090909090909091,0.3181818181818182,0.2727272727272727,0.5,20.045454545454547,0.045454545454545456,0.22727272727272727,0.22727272727272727
#ariston,0.09090909090909091,0.5,0.045454545454545456,0.4090909090909091,0.3181818181818182,0.2727272727272727,0.5,0.045454545454545456,20.045454545454547,0.22727272727272727,0.22727272727272727
#scipion,0.4545454545454546,2.5,0.2272727272727273,2.0454545454545454,1.590909090909091,0.09696969696969691,0.9,0.2272727272727273,0.2272727272727273,13.136363636363638,3.056363636363637
#lelie,0.4545454545454546,2.5,0.2272727272727273,2.0454545454545454,1.590909090909091,0.09696969696969691,0.9,0.2272727272727273,0.2272727272727273,3.056363636363637,13.136363636363638
Successions,#syphax,#sophonisbe,#philon,#phenice,#corisbe,#caliodore,#massinisse,#philippe,#ariston,#scipion,#lelie
#syphax,0.0,0.46153846153846156,0.5384615384615384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#sophonisbe,0.11290322580645161,0.0,0.0,0.22580645161290322,0.1774193548387097,0.12903225806451613,0.3548387096774194,0.0,0.0,0.0,0.0
#philon,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#phenice,0.0,0.85,0.0,0.0,0.05,0.05,0.05,0.0,0.0,0.0,0.0
#corisbe,0.0,0.6923076923076923,0.0,0.15384615384615385,0.0,0.07692307692307693,0.07692307692307693,0.0,0.0,0.0,0.0
#caliodore,0.0,0.5714285714285714,0.0,0.14285714285714285,0.0,0.0,0.21428571428571427,0.0,0.0,0.0,0.07142857142857142
#massinisse,0.0,0.3389830508474576,0.0,0.03389830508474576,0.01694915254237288,0.03389830508474576,0.01694915254237288,0.03389830508474576,0.03389830508474576,0.1864406779661017,0.3050847457627119
#philippe,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
#philippe,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
#scipion,0.0,0.125,0.0,0.0,0.0,0.0625,0.5,0.0,0.0,0.0625,0.25
#lelie,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.782608695652174,0.0,0.0,0.17391304347826086,0.0
