VALEUR,#aronte,#florice,#pleirante,#celidee,#lingere,#libraire,#dorimant,#hippolyte,#cleante,#lysandre,#mercier,#chrysante
Fréquences (scènes),0.14814814814814814,0.24074074074074073,0.1111111111111111,0.35185185185185186,0.09259259259259259,0.09259259259259259,0.35185185185185186,0.3888888888888889,0.05555555555555555,0.37037037037037035,0.07407407407407407,0.05555555555555555
Fréquences(répliques),0.07584722969338353,0.05917159763313609,0.038730500268961805,0.18773534158149544,0.025282409897794515,0.010220548682087143,0.13824636901559978,0.1759010220548682,0.008068854222700376,0.2479827864443249,0.014523937600860678,0.01828940290478752
Confrontation,0.046218487394957986,0.11764705882352941,0.05042016806722689,0.1134453781512605,0.058823529411764705,0.058823529411764705,0.15546218487394958,0.14285714285714285,0.046218487394957986,0.13025210084033614,0.046218487394957986,0.03361344537815126
Déviations,#aronte,#florice,#pleirante,#celidee,#lingere,#libraire,#dorimant,#hippolyte,#cleante,#lysandre,#mercier,#chrysante
#aronte,39.18518518518518,0.5990028490028492,0.8888888888888888,0.23586744639376223,0.09074074074074077,0.7407407407407407,1.1700779727095516,1.4325396825396826,0.4444444444444444,0.31296296296296283,0.28009259259259267,0.4444444444444444
#florice,0.5990028490028492,31.12962962962963,0.13675213675213674,1.4485680011995803,2.6806267806267803,0.5267806267806268,0.07204978257609844,0.747863247863248,2.26068376068376,3.0225071225071227,1.1168091168091172,0.10683760683760685
#pleirante,0.8888888888888888,0.13675213675213674,42.666666666666664,0.3742690058479532,0.5555555555555556,0.5555555555555556,0.005847953216374274,0.04761904761904766,0.3333333333333333,0.02222222222222224,0.4444444444444444,8.333333333333336
#celidee,0.23586744639376223,1.4485680011995796,0.3742690058479532,22.685185185185187,1.759259259259259,1.759259259259259,0.07022673643172257,0.020467836257309982,1.0555555555555556,0.15282651072124737,1.4074074074074074,0.002923976608187137
#lingere,0.09074074074074077,2.6806267806267803,0.5555555555555556,1.7592592592592593,44.46296296296297,13.902962962962967,0.32768031189083824,0.4587301587301587,10.677777777777779,1.8518518518518516,18.670370370370375,0.2777777777777778
#libraire,0.7407407407407407,0.5267806267806268,0.5555555555555556,1.7592592592592593,13.902962962962967,44.46296296296297,0.8750487329434697,0.4587301587301587,10.677777777777779,0.39185185185185173,7.170370370370373,0.2777777777777778
#dorimant,1.1700779727095516,0.07204978257609825,0.005847953216374274,0.07022673643172257,0.32768031189083807,0.8750487329434701,22.685185185185187,0.26106934001670856,0.8450292397660818,1.2475633528265113,0.11793372319688111,0.002923976608187137
#hippolyte,1.4325396825396823,0.747863247863248,0.04761904761904754,0.020467836257309982,0.4587301587301587,0.4587301587301587,0.26106934001670856,20.16666666666667,0.02380952380952377,0.40634920634920635,1.5555555555555551,0.5952380952380955
#cleante,0.4444444444444444,2.26068376068376,0.3333333333333333,1.0555555555555556,10.677777777777779,10.677777777777779,0.8450292397660818,0.02380952380952383,48.16666666666667,0.01111111111111112,2.7222222222222223,0.16666666666666666
#lysandre,0.31296296296296283,3.0225071225071227,0.02222222222222224,0.1528265107212476,1.8518518518518516,0.39185185185185173,1.2475633528265104,0.40634920634920635,0.01111111111111112,21.407407407407412,0.15648148148148142,0.01111111111111112
#mercier,0.28009259259259267,1.1168091168091172,0.4444444444444444,1.4074074074074074,18.670370370370375,7.170370370370373,0.11793372319688111,1.5555555555555556,2.7222222222222223,0.15648148148148142,46.296296296296305,0.2222222222222222
#chrysante,0.4444444444444444,0.10683760683760685,8.333333333333336,0.002923976608187137,0.2777777777777778,0.2777777777777778,0.002923976608187137,0.5952380952380951,0.16666666666666666,0.01111111111111112,0.2222222222222222,48.16666666666667
Successions,#aronte,#florice,#pleirante,#celidee,#lingere,#libraire,#dorimant,#hippolyte,#cleante,#lysandre,#mercier,#chrysante
#aronte,0.0,0.23684210526315788,0.0,0.13157894736842105,0.0,0.0,0.13157894736842105,0.13157894736842105,0.0,0.34210526315789475,0.02631578947368421,0.0
#florice,0.225,0.025,0.0,0.025,0.15,0.0,0.125,0.425,0.0,0.0,0.0,0.025
#pleirante,0.0,0.041666666666666664,0.0,0.5416666666666666,0.0,0.0,0.041666666666666664,0.2916666666666667,0.0,0.041666666666666664,0.0,0.041666666666666664
#celidee,0.038461538461538464,0.02564102564102564,0.1794871794871795,0.02564102564102564,0.0,0.0,0.1282051282051282,0.32051282051282054,0.0,0.28205128205128205,0.0,0.0
#lingere,0.09523809523809523,0.19047619047619047,0.0,0.047619047619047616,0.047619047619047616,0.14285714285714285,0.047619047619047616,0.19047619047619047,0.0,0.0,0.23809523809523808,0.0
#libraire,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.5454545454545454,0.09090909090909091,0.18181818181818182,0.0,0.0,0.0
#dorimant,0.056179775280898875,0.033707865168539325,0.02247191011235955,0.11235955056179775,0.011235955056179775,0.06741573033707865,0.0,0.2247191011235955,0.033707865168539325,0.4044943820224719,0.011235955056179775,0.02247191011235955
#hippolyte,0.06,0.18,0.05,0.24,0.04,0.0,0.21,0.01,0.0,0.15,0.0,0.06
#cleante,0.0,0.0,0.0,0.0,0.2,0.2,0.4,0.0,0.0,0.0,0.2,0.0
#lysandre,0.14444444444444443,0.0,0.0,0.24444444444444444,0.011111111111111112,0.011111111111111112,0.4111111111111111,0.15555555555555556,0.0,0.022222222222222223,0.0,0.0
#mercier,0.125,0.125,0.0,0.0,0.625,0.0,0.0,0.0,0.0,0.125,0.0,0.0
#chrysante,0.0,0.08333333333333333,0.25,0.0,0.0,0.0,0.08333333333333333,0.5,0.0,0.0,0.0,0.08333333333333333
