VALEUR,#miltiade,#themistocle,#artaban,#hydaspe,#xerxes,#roxane,#parmenis,#aristide
Fréquences (scènes),0.3333333333333333,0.4358974358974359,0.41025641025641024,0.07692307692307693,0.38461538461538464,0.10256410256410256,0.15384615384615385,0.2564102564102564
Fréquences(répliques),0.1410105757931845,0.2620446533490012,0.1592244418331375,0.021739130434782608,0.17861339600470036,0.06933019976498238,0.046415981198589897,0.12162162162162163
Confrontation,0.15,0.19166666666666668,0.175,0.025,0.19166666666666668,0.05,0.08333333333333333,0.13333333333333333
Déviations,#miltiade,#themistocle,#artaban,#hydaspe,#xerxes,#roxane,#parmenis,#aristide
#miltiade,17.33333333333334,0.019607843137254867,1.020833333333333,1.0,0.0,0.0833333333333333,0.5,0.5333333333333331
#themistocle,0.019607843137254975,12.410256410256409,2.2648001508295628,1.3076923076923077,0.03257918552036188,0.3171191553544495,0.9977375565610861,0.09426847662141792
#artaban,1.020833333333333,2.2648001508295628,13.564102564102566,0.48076923076923067,0.753846153846154,0.07852564102564105,0.9615384615384613,0.2963141025641024
#hydaspe,1.0,1.3076923076923077,0.48076923076923067,33.230769230769226,0.020512820512820544,0.3076923076923077,0.46153846153846156,0.7692307692307692
#xerxes,0.0,0.03257918552036201,0.7538461538461536,0.020512820512820544,14.769230769230766,0.13846153846153855,0.7410256410256412,0.18615384615384603
#roxane,0.0833333333333333,0.3171191553544495,0.07852564102564105,0.3076923076923077,0.1384615384615384,31.410256410256412,0.6153846153846154,1.0256410256410255
#parmenis,0.5,0.9977375565610861,0.9615384615384613,0.46153846153846156,0.7410256410256412,0.6153846153846154,27.92307692307692,1.3884615384615389
#aristide,0.5333333333333331,0.09426847662141764,0.2963141025641024,0.7692307692307693,0.1861538461538462,1.0256410256410255,1.3884615384615382,21.564102564102566
Successions,#miltiade,#themistocle,#artaban,#hydaspe,#xerxes,#roxane,#parmenis,#aristide
#miltiade,0.025,0.45,0.2,0.0,0.25,0.025,0.0,0.05
#themistocle,0.3617021276595745,0.06382978723404255,0.06382978723404255,0.0,0.3404255319148936,0.06382978723404255,0.0,0.10638297872340426
#artaban,0.18181818181818182,0.06818181818181818,0.0,0.11363636363636363,0.20454545454545456,0.09090909090909091,0.20454545454545456,0.13636363636363635
#hydaspe,0.0,0.0,0.8333333333333334,0.0,0.16666666666666666,0.0,0.0,0.0
#xerxes,0.24489795918367346,0.32653061224489793,0.14285714285714285,0.02040816326530612,0.061224489795918366,0.061224489795918366,0.02040816326530612,0.12244897959183673
#roxane,0.09090909090909091,0.18181818181818182,0.2727272727272727,0.0,0.36363636363636365,0.0,0.0,0.09090909090909091
#parmenis,0.0,0.0,0.5,0.0,0.1111111111111111,0.0,0.0,0.3888888888888889
#aristide,0.07142857142857142,0.17857142857142858,0.32142857142857145,0.0,0.10714285714285714,0.0,0.2857142857142857,0.03571428571428571
