VALEUR,#marius,#maxime,#cecilie,#marcelle,#sabine,#pison,#sylla,#octave,#pompee
Fréquences (scènes),0.25,0.07142857142857142,0.6785714285714286,0.17857142857142858,0.07142857142857142,0.17857142857142858,0.39285714285714285,0.03571428571428571,0.25
Fréquences(répliques),0.27073036792970895,0.054914881933003847,0.28390993959362987,0.03130148270181219,0.008786381109280615,0.019769357495881382,0.2070291048874245,0.0016474464579901153,0.12191103789126853
Confrontation,0.11428571428571428,0.02857142857142857,0.32857142857142857,0.08571428571428572,0.04285714285714286,0.08571428571428572,0.17142857142857143,0.02857142857142857,0.11428571428571428
Déviations,#marius,#maxime,#cecilie,#marcelle,#sabine,#pison,#sylla,#octave,#pompee
#marius,15.75,0.5,0.11842105263157894,1.25,0.5,0.05,0.20454545454545456,0.25,1.75
#maxime,0.5,24.142857142857146,0.09398496240601507,0.35714285714285715,0.14285714285714285,0.35714285714285715,0.7857142857142857,0.07142857142857142,0.5
#cecilie,0.11842105263157894,0.09398496240601496,2.892857142857141,0.10864661654135341,0.3045112781954889,0.5718045112781954,1.6078263841421738,0.15225563909774445,0.013157894736842105
#marcelle,1.25,0.3571428571428571,0.10864661654135324,18.89285714285714,1.1571428571428575,0.8928571428571429,1.9642857142857142,0.17857142857142855,0.05
#sabine,0.5,0.14285714285714285,0.3045112781954886,1.1571428571428568,24.142857142857146,0.35714285714285715,0.7857142857142857,0.07142857142857142,0.5
#pison,0.05,0.3571428571428571,0.5718045112781958,0.8928571428571429,0.3571428571428571,18.89285714285714,0.5461038961038962,0.17857142857142855,1.25
#sylla,0.20454545454545456,0.7857142857142857,1.6078263841421738,1.9642857142857144,0.7857142857142857,0.5461038961038959,10.321428571428573,0.9383116883116885,0.20454545454545456
#octave,0.25,0.07142857142857142,0.1522556390977443,0.17857142857142858,0.07142857142857142,0.17857142857142858,0.9383116883116885,26.03571428571429,0.25
#pompee,1.75,0.5,0.013157894736842105,0.05,0.5,1.25,0.20454545454545456,0.25,15.75
Successions,#marius,#maxime,#cecilie,#marcelle,#sabine,#pison,#sylla,#octave,#pompee
#marius,0.02040816326530612,0.16326530612244897,0.5918367346938775,0.0,0.0,0.061224489795918366,0.16326530612244897,0.0,0.0
#maxime,0.6363636363636364,0.0,0.36363636363636365,0.0,0.0,0.0,0.0,0.0,0.0
#cecilie,0.32954545454545453,0.03409090909090909,0.056818181818181816,0.11363636363636363,0.06818181818181818,0.011363636363636364,0.22727272727272727,0.0,0.1590909090909091
#marcelle,0.06666666666666667,0.0,0.5333333333333333,0.0,0.0,0.0,0.13333333333333333,0.0,0.26666666666666666
#sabine,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#pison,0.18181818181818182,0.0,0.09090909090909091,0.0,0.0,0.0,0.6363636363636364,0.0,0.09090909090909091
#sylla,0.21739130434782608,0.0,0.391304347826087,0.0,0.0,0.15217391304347827,0.043478260869565216,0.021739130434782608,0.17391304347826086
#sabine,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#pompee,0.0,0.0,0.5555555555555556,0.18518518518518517,0.0,0.0,0.25925925925925924,0.0,0.0
