VALEUR,#strabon,#thaler,#democrite,#criseis,#agelas,#agenor,#cleanthis,#ismene,#l-intendant,#le-maitre-d-hotel
Fréquences (scènes),0.6842105263157895,0.3157894736842105,0.4473684210526316,0.2631578947368421,0.21052631578947367,0.10526315789473684,0.21052631578947367,0.05263157894736842,0.02631578947368421,0.05263157894736842
Fréquences(répliques),0.27547169811320754,0.13746630727762804,0.2210242587601078,0.07223719676549865,0.09703504043126684,0.01725067385444744,0.13692722371967656,0.021024258760107817,0.011320754716981131,0.010242587601078167
Confrontation,0.20202020202020202,0.12626262626262627,0.19696969696969696,0.1414141414141414,0.10101010101010101,0.07575757575757576,0.0707070707070707,0.04040404040404041,0.015151515151515152,0.030303030303030304
Déviations,#strabon,#thaler,#democrite,#criseis,#agelas,#agenor,#cleanthis,#ismene,#l-intendant,#le-maitre-d-hotel
#strabon,3.7894736842105248,0.17847503373819132,0.011669445105977602,0.10364372469635626,1.1179149797570844,0.025303643724696432,0.04099190283400798,0.09919028340080964,0.1457489878542511,0.2914979757085022
#thaler,0.17847503373819182,17.789473684210527,0.07430340557275547,0.22456140350877188,0.08881578947368426,0.4298245614035089,0.1096491228070175,0.21491228070175444,0.3157894736842105,0.631578947368421
#democrite,0.011669445105977602,0.07430340557275547,11.605263157894738,2.779566563467492,0.049535603715170386,0.818885448916409,0.6965944272445818,0.012383900928792596,0.6826625386996906,1.3653250773993812
#criseis,0.10364372469635626,0.22456140350877188,2.779566563467492,20.63157894736842,3.980263157894737,0.8526315789473685,0.5802631578947367,0.42631578947368426,0.2631578947368421,0.42631578947368426
#agelas,1.117914979757085,0.08881578947368426,0.04953560371517027,3.980263157894737,23.68421052631579,5.529605263157896,0.2779605263157894,0.7960526315789475,0.21052631578947367,0.42105263157894735
#agenor,0.025303643724696342,0.4298245614035089,0.8188854489164087,0.8526315789473685,5.529605263157896,30.42105263157895,0.029605263157894756,2.960526315789474,0.10526315789473684,0.21052631578947367
#cleanthis,0.04099190283400812,0.1096491228070175,0.6965944272445821,0.5802631578947367,0.2779605263157894,0.029605263157894756,23.68421052631579,5.921052631578948,0.21052631578947367,0.42105263157894735
#ismene,0.09919028340080974,0.21491228070175444,0.012383900928792567,0.42631578947368426,0.7960526315789475,2.960526315789474,5.921052631578948,34.10526315789474,0.05263157894736842,0.10526315789473684
#l-intendant,0.145748987854251,0.3157894736842105,0.6826625386996902,0.2631578947368421,0.21052631578947367,0.10526315789473684,0.21052631578947367,0.05263157894736842,36.02631578947369,17.05263157894737
#le-maitre-d-hotel,0.291497975708502,0.631578947368421,1.3653250773993804,0.42631578947368426,0.42105263157894735,0.21052631578947367,0.42105263157894735,0.10526315789473684,17.05263157894737,34.10526315789474
Successions,#strabon,#thaler,#democrite,#criseis,#agelas,#agenor,#cleanthis,#ismene,#l-intendant,#le-maitre-d-hotel
#strabon,0.03763440860215054,0.34408602150537637,0.1881720430107527,0.04838709677419355,0.06989247311827956,0.021505376344086023,0.27956989247311825,0.0,0.0,0.010752688172043012
#thaler,0.5462184873949579,0.008403361344537815,0.08403361344537816,0.11764705882352941,0.15966386554621848,0.008403361344537815,0.07563025210084033,0.0,0.0,0.0
#democrite,0.3867924528301887,0.11320754716981132,0.009433962264150943,0.11320754716981132,0.18867924528301888,0.0,0.11320754716981132,0.0,0.03773584905660377,0.03773584905660377
#criseis,0.10869565217391304,0.34782608695652173,0.30434782608695654,0.0,0.21739130434782608,0.0,0.0,0.0,0.0,0.021739130434782608
#agelas,0.1527777777777778,0.2222222222222222,0.3333333333333333,0.1388888888888889,0.013888888888888888,0.09722222222222222,0.027777777777777776,0.013888888888888888,0.0,0.0
#agenor,0.3333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.4166666666666667,0.0,0.0,0.08333333333333333,0.0,0.0
#cleanthis,0.6190476190476191,0.09523809523809523,0.14285714285714285,0.0,0.03571428571428571,0.0,0.0,0.10714285714285714,0.0,0.0
#ismene,0.0,0.09090909090909091,0.0,0.0,0.09090909090909091,0.0,0.8181818181818182,0.0,0.0,0.0
#l-intendant,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666
#le-maitre-d-hotel,0.125,0.0,0.5,0.125,0.0,0.0,0.0,0.0,0.25,0.0
