VALEUR,#jason,#iphite,#creuse,#creon,#medee,#rhodope,#premier-enfant,#second-enfant,#cydippe
Fréquences (scènes),0.4230769230769231,0.11538461538461539,0.11538461538461539,0.07692307692307693,0.6923076923076923,0.15384615384615385,0.038461538461538464,0.038461538461538464,0.038461538461538464
Fréquences(répliques),0.2653208363374189,0.024513338139870222,0.08147080028839221,0.07281903388608507,0.5068493150684932,0.046142754145638065,0.0007209805335255948,0.0014419610670511895,0.0007209805335255948
Confrontation,0.25,0.06818181818181818,0.09090909090909091,0.045454545454545456,0.22727272727272727,0.13636363636363635,0.06818181818181818,0.06818181818181818,0.045454545454545456
Déviations,#jason,#iphite,#creuse,#creon,#medee,#rhodope,#premier-enfant,#second-enfant,#cydippe
#jason,8.653846153846152,2.3601398601398595,2.3601398601398595,0.02797202797202793,2.7972027972027966,1.6923076923076925,0.42307692307692313,0.42307692307692313,0.7867132867132864
#iphite,2.3601398601398604,20.346153846153843,0.34615384615384615,0.23076923076923078,2.0769230769230766,0.46153846153846156,0.11538461538461539,0.11538461538461539,0.11538461538461539
#creuse,2.3601398601398604,0.34615384615384615,20.346153846153843,0.23076923076923078,2.0769230769230766,0.46153846153846156,0.11538461538461539,0.11538461538461539,6.782051282051281
#creon,0.027972027972027975,0.23076923076923078,0.23076923076923078,22.153846153846157,0.10683760683760682,0.3076923076923077,0.07692307692307693,0.07692307692307693,0.07692307692307693
#medee,2.7972027972027966,2.076923076923077,2.076923076923077,0.10683760683760682,2.4615384615384612,0.5470085470085471,0.13675213675213677,0.13675213675213677,0.6923076923076923
#rhodope,1.6923076923076923,0.46153846153846156,0.46153846153846156,0.3076923076923077,0.5470085470085471,18.615384615384613,4.653846153846153,4.653846153846153,0.15384615384615385
#premier-enfant,0.4230769230769231,0.11538461538461539,0.11538461538461539,0.07692307692307693,0.13675213675213677,4.653846153846153,24.038461538461537,24.038461538461537,0.038461538461538464
#premier-enfant,0.4230769230769231,0.11538461538461539,0.11538461538461539,0.07692307692307693,0.13675213675213677,4.653846153846153,24.038461538461537,24.038461538461537,0.038461538461538464
#cydippe,0.7867132867132866,0.11538461538461539,6.782051282051281,0.07692307692307693,0.6923076923076923,0.15384615384615385,0.038461538461538464,0.038461538461538464,24.038461538461537
Successions,#jason,#iphite,#creuse,#creon,#medee,#rhodope,#premier-enfant,#second-enfant,#cydippe
#jason,0.0,0.15,0.25,0.05,0.525,0.0,0.0,0.0,0.025
#iphite,0.8571428571428571,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0
#creuse,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#creon,0.2222222222222222,0.0,0.1111111111111111,0.0,0.5555555555555556,0.1111111111111111,0.0,0.0,0.0
#medee,0.425531914893617,0.0,0.0,0.14893617021276595,0.19148936170212766,0.2127659574468085,0.0,0.02127659574468085,0.0
#rhodope,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
#rhodope,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
#second-enfant,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
#cydippe,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
