VALEUR,#alphrede,#cleandre,#rodolphe,#premier-arabe,#deuxieme-arabe,#ferrande,#amyntas,#acaste,#olenie,#eraste,#eurylas,#premier-soldat,#deuxieme-soldat,#isabelle,#premier-valet,#orante,#le-page,#le-pere,#l-oncle
Fréquences (scènes),0.2777777777777778,0.16666666666666666,0.3611111111111111,0.08333333333333333,0.05555555555555555,0.3055555555555556,0.19444444444444445,0.3888888888888889,0.027777777777777776,0.05555555555555555,0.1111111111111111,0.027777777777777776,0.027777777777777776,0.25,0.05555555555555555,0.19444444444444445,0.027777777777777776,0.027777777777777776,0.027777777777777776
Fréquences(répliques),0.2052657240370551,0.023890784982935155,0.20867869332033154,0.0034129692832764505,0.0024378352023403218,0.13066796684544124,0.09897610921501707,0.13505607020965382,0.0029254022428083864,0.007313505607020965,0.03461725987323257,0.00048756704046806434,0.00048756704046806434,0.056557776694295465,0.0009751340809361287,0.08093612871769869,0.0009751340809361287,0.0048756704046806435,0.0014627011214041932
Confrontation,0.11666666666666667,0.058333333333333334,0.1,0.03333333333333333,0.020833333333333332,0.1,0.041666666666666664,0.16666666666666666,0.0125,0.025,0.0625,0.020833333333333332,0.020833333333333332,0.10416666666666667,0.029166666666666667,0.05416666666666667,0.008333333333333333,0.0125,0.0125
Déviations,#alphrede,#cleandre,#rodolphe,#premier-arabe,#deuxieme-arabe,#ferrande,#amyntas,#acaste,#olenie,#eraste,#eurylas,#premier-soldat,#deuxieme-soldat,#isabelle,#premier-valet,#orante,#le-page,#le-pere,#l-oncle
#alphrede,18.77777777777778,0.06666666666666674,0.7188034188034188,0.8333333333333333,0.5555555555555556,1.382828282828283,0.0015873015873015888,2.488888888888889,1.8777777777777775,0.3555555555555555,3.211111111111111,1.8777777777777775,1.8777777777777775,0.1,0.3555555555555555,0.5730158730158731,0.2777777777777778,0.2777777777777778,0.2777777777777778
#cleandre,0.06666666666666664,25.0,3.7051282051282057,0.5,0.3333333333333333,0.7424242424242421,1.1666666666666667,0.04761904761904766,0.16666666666666666,0.3333333333333333,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333,1.1666666666666667,0.16666666666666666,0.16666666666666666,0.16666666666666666
#rodolphe,0.7188034188034188,3.7051282051282057,14.694444444444443,0.7756410256410258,2.26068376068376,2.3078865578865577,0.9233821733821733,0.8357753357753356,0.3611111111111111,0.7222222222222222,1.4444444444444444,0.3611111111111111,0.3611111111111111,0.4807692307692308,0.7222222222222222,2.5277777777777777,0.3611111111111111,0.3611111111111111,0.3611111111111111
#premier-arabe,0.8333333333333334,0.5,0.7756410256410258,30.25,20.166666666666664,1.28030303030303,0.29761904761904756,0.02380952380952383,0.08333333333333333,0.16666666666666666,0.3333333333333333,0.08333333333333333,0.08333333333333333,0.75,0.16666666666666666,0.5833333333333334,0.08333333333333333,0.08333333333333333,0.08333333333333333
#deuxieme-arabe,0.5555555555555556,0.3333333333333333,2.26068376068376,20.166666666666664,32.111111111111114,0.24747474747474738,0.3888888888888889,0.7777777777777778,0.05555555555555555,0.1111111111111111,0.2222222222222222,0.05555555555555555,0.05555555555555555,0.5,0.1111111111111111,0.3888888888888889,0.05555555555555555,0.05555555555555555,0.05555555555555555
#ferrande,1.382828282828283,0.7424242424242427,2.3078865578865577,1.2803030303030307,0.2474747474747476,17.361111111111104,0.009018759018759011,0.018037518037518022,0.3055555555555555,0.611111111111111,1.222222222222222,0.3055555555555555,0.3055555555555555,0.20454545454545456,0.611111111111111,2.138888888888889,0.3055555555555555,1.5782828282828283,1.5782828282828283
