VALEUR,#thesee,#dirce,#megare,#oedipe,#cleante,#jocaste,#dymas,#nerine,#phorbas,#page,#iphicrate
Fréquences (scènes),0.42857142857142855,0.4642857142857143,0.10714285714285714,0.5357142857142857,0.07142857142857142,0.35714285714285715,0.10714285714285714,0.07142857142857142,0.10714285714285714,0.03571428571428571,0.10714285714285714
Fréquences(répliques),0.15958498023715414,0.25691699604743085,0.015316205533596838,0.2618577075098814,0.00691699604743083,0.1650197628458498,0.031126482213438736,0.045454545454545456,0.026185770750988144,0.0009881422924901185,0.030632411067193676
Confrontation,0.1792452830188679,0.16981132075471697,0.04716981132075472,0.19811320754716982,0.03773584905660377,0.14150943396226415,0.0660377358490566,0.03773584905660377,0.0660377358490566,0.018867924528301886,0.03773584905660377
Déviations,#thesee,#dirce,#megare,#oedipe,#cleante,#jocaste,#dymas,#nerine,#phorbas,#page,#iphicrate
#thesee,9.142857142857146,0.032967032967033,0.06349206349206343,1.828571428571429,0.023809523809523826,0.019047619047619032,0.06349206349206343,0.023809523809523826,0.396825396825397,0.42857142857142855,1.2857142857142856
#dirce,0.032967032967033,8.035714285714286,1.8543956043956047,2.2565934065934066,0.005494505494505508,1.5043956043956046,0.11080586080586079,1.2362637362637368,1.3928571428571428,0.46428571428571425,1.3928571428571428
#megare,0.06349206349206343,1.8543956043956047,22.321428571428577,1.6071428571428572,0.21428571428571427,1.0714285714285714,0.3214285714285714,2.880952380952381,0.3214285714285714,0.10714285714285714,0.3214285714285714
#oedipe,1.828571428571428,2.2565934065934066,1.607142857142857,6.035714285714288,0.004761904761904758,0.07714285714285701,0.09603174603174612,1.0714285714285714,0.09603174603174612,0.4023809523809524,1.2071428571428575
#cleante,0.023809523809523826,0.005494505494505489,0.21428571428571427,0.004761904761904758,24.142857142857146,0.7142857142857143,2.880952380952381,0.14285714285714285,0.21428571428571427,0.07142857142857142,0.21428571428571427
#jocaste,0.019047619047619032,1.5043956043956046,1.0714285714285714,0.07714285714285725,0.7142857142857142,11.571428571428571,0.004761904761904758,0.7142857142857142,0.8047619047619048,0.3571428571428571,1.0714285714285714
#dymas,0.06349206349206343,0.11080586080586079,0.3214285714285714,0.09603174603174601,2.880952380952381,0.004761904761904758,22.321428571428577,0.21428571428571427,0.3214285714285714,7.440476190476192,0.3214285714285714
#nerine,0.023809523809523826,1.236263736263736,2.880952380952381,1.0714285714285714,0.14285714285714285,0.7142857142857143,0.21428571428571427,24.142857142857146,0.21428571428571427,0.07142857142857142,0.21428571428571427
#phorbas,0.396825396825397,1.3928571428571428,0.3214285714285714,0.09603174603174601,0.21428571428571427,0.8047619047619048,0.3214285714285714,0.21428571428571427,22.321428571428577,0.10714285714285714,1.4325396825396828
#page,0.42857142857142855,0.4642857142857143,0.10714285714285714,0.4023809523809524,0.07142857142857142,0.35714285714285715,7.440476190476192,0.07142857142857142,0.10714285714285714,26.03571428571429,0.10714285714285714
#iphicrate,1.2857142857142856,1.3928571428571428,0.3214285714285714,1.207142857142857,0.21428571428571427,1.0714285714285714,0.3214285714285714,0.21428571428571427,1.4325396825396828,0.10714285714285714,22.321428571428577
Successions,#thesee,#dirce,#megare,#oedipe,#cleante,#jocaste,#dymas,#nerine,#phorbas,#page,#iphicrate
#thesee,0.0,0.40350877192982454,0.0,0.21052631578947367,0.0,0.2982456140350877,0.03508771929824561,0.017543859649122806,0.03508771929824561,0.0,0.0
#dirce,0.3132530120481928,0.04819277108433735,0.10843373493975904,0.27710843373493976,0.012048192771084338,0.12048192771084337,0.012048192771084338,0.10843373493975904,0.0,0.0,0.0
#megare,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#oedipe,0.12631578947368421,0.24210526315789474,0.0,0.05263157894736842,0.010526315789473684,0.30526315789473685,0.042105263157894736,0.0,0.07368421052631578,0.010526315789473684,0.1368421052631579
#cleante,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#jocaste,0.26153846153846155,0.16923076923076924,0.0,0.46153846153846156,0.0,0.0,0.0,0.0,0.1076923076923077,0.0,0.0
#dymas,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0
#nerine,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#phorbas,0.047619047619047616,0.0,0.0,0.3333333333333333,0.0,0.38095238095238093,0.0,0.0,0.0,0.0,0.23809523809523808
#page,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#iphicrate,0.0,0.0,0.0,0.7222222222222222,0.0,0.0,0.0,0.0,0.2777777777777778,0.0,0.0
