VALEUR,#tarquin,#porsenne,#marcile,#arons,#licine,#junie,#fulvie,#scevole
Fréquences (scènes),0.3333333333333333,0.4583333333333333,0.3333333333333333,0.5,0.041666666666666664,0.5416666666666666,0.125,0.2916666666666667
Fréquences(répliques),0.12894144144144143,0.16891891891891891,0.04222972972972973,0.16272522522522523,0.0005630630630630631,0.27984234234234234,0.020833333333333332,0.19594594594594594
Confrontation,0.13076923076923078,0.19230769230769232,0.1076923076923077,0.18461538461538463,0.03076923076923077,0.19230769230769232,0.03076923076923077,0.13076923076923078
Déviations,#tarquin,#porsenne,#marcile,#arons,#licine,#junie,#fulvie,#scevole
#tarquin,10.66666666666667,3.0303030303030307,0.1666666666666666,0.25,1.3333333333333337,1.2564102564102562,1.0,0.04761904761904766
#porsenne,3.0303030303030307,7.04166666666667,0.12121212121212116,0.045454545454545456,0.6401515151515154,0.15413752913752907,1.375,0.013528138528138547
#marcile,0.1666666666666666,0.12121212121212116,10.66666666666667,0.0,0.3333333333333333,1.2564102564102562,1.0,0.19047619047619038
#arons,0.25,0.045454545454545456,0.0,6.0,0.5,0.038461538461538464,1.5,0.07142857142857142
#licine,1.3333333333333337,0.6401515151515154,0.3333333333333333,0.5,22.04166666666667,0.3878205128205129,0.125,0.2916666666666667
#junie,1.2564102564102562,0.15413752913752907,1.2564102564102562,0.038461538461538464,0.3878205128205129,5.041666666666669,1.1634615384615385,0.38507326007325987
#fulvie,1.0,1.375,1.0,1.5,0.125,1.1634615384615385,18.375,0.017857142857142856
#scevole,0.04761904761904754,0.01352813852813849,0.1904761904761907,0.07142857142857142,0.29166666666666663,0.3850732600732602,0.017857142857142856,12.041666666666664
Successions,#tarquin,#porsenne,#marcile,#arons,#licine,#junie,#fulvie,#scevole
#tarquin,0.0,0.5555555555555556,0.08888888888888889,0.17777777777777778,0.0,0.08888888888888889,0.0,0.08888888888888889
#porsenne,0.375,0.013888888888888888,0.041666666666666664,0.125,0.013888888888888888,0.3194444444444444,0.0,0.1111111111111111
#marcile,0.23529411764705882,0.11764705882352941,0.0,0.5294117647058824,0.0,0.058823529411764705,0.0,0.058823529411764705
#arons,0.14,0.22,0.14,0.06,0.0,0.3,0.0,0.14
#licine,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#junie,0.053763440860215055,0.24731182795698925,0.0,0.16129032258064516,0.0,0.010752688172043012,0.20430107526881722,0.3225806451612903
#fulvie,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
#scevole,0.06,0.16,0.06,0.12,0.0,0.6,0.0,0.0
