VALEUR,#tysapherne,#artaban,#xerces,#merodate,#artaxerce,#amestris,#barsine,#arsace,#cleone,#darius,#phenice
Fréquences (scènes),0.1,0.3,0.25,0.025,0.25,0.35,0.125,0.025,0.025,0.425,0.025
Fréquences(répliques),0.033421750663129975,0.2413793103448276,0.10981432360742706,0.002652519893899204,0.1363395225464191,0.17506631299734748,0.06312997347480107,0.0015915119363395225,0.0015915119363395225,0.23289124668435013,0.002122015915119363
Confrontation,0.07608695652173914,0.14130434782608695,0.08695652173913043,0.010869565217391304,0.17391304347826086,0.16304347826086957,0.07608695652173914,0.010869565217391304,0.010869565217391304,0.2391304347826087,0.010869565217391304
Déviations,#tysapherne,#artaban,#xerces,#merodate,#artaxerce,#amestris,#barsine,#arsace,#cleone,#darius,#phenice
#tysapherne,32.4,2.7,0.0,0.10000000000000002,0.0,1.4,0.5,0.10000000000000002,0.10000000000000002,0.28823529411764703,0.10000000000000002
#artaban,2.699999999999999,19.6,1.3333333333333333,0.30000000000000004,0.0,2.4380952380952374,0.16666666666666666,0.30000000000000004,0.30000000000000004,0.2372549019607842,0.30000000000000004
#xerces,0.0,1.3333333333333333,22.5,2.25,0.9,0.6428571428571429,1.25,0.25,0.25,1.1911764705882353,0.25
#merodate,0.10000000000000002,0.3,2.25,38.025,0.25,0.35,0.125,0.025000000000000005,0.025000000000000005,0.425,0.025000000000000005
#artaxerce,0.0,0.0,0.9,0.25,22.5,0.07142857142857142,0.05,0.25,0.25,0.7205882352941176,0.25
#amestris,1.4000000000000001,2.4380952380952383,0.6428571428571429,0.35000000000000003,0.07142857142857142,16.90000000000001,1.75,0.35000000000000003,0.35000000000000003,0.18529411764705875,1.2071428571428566
#barsine,0.5,0.16666666666666666,1.25,0.125,0.05,1.75,30.625,6.125,6.125,0.007352941176470588,0.125
#arsace,0.10000000000000002,0.3,0.25,0.025000000000000005,0.25,0.35,6.125,38.025,0.025000000000000005,0.425,0.025000000000000005
#cleone,0.10000000000000002,0.3,0.25,0.025000000000000005,0.25,0.35,6.125,0.025000000000000005,38.025,0.425,0.025000000000000005
#darius,0.2882352941176472,0.2372549019607842,1.1911764705882353,0.42500000000000004,0.7205882352941176,0.1852941176470591,0.007352941176470588,0.42500000000000004,0.42500000000000004,13.225000000000001,0.42500000000000004
#phenice,0.10000000000000002,0.3,0.25,0.025000000000000005,0.25,1.2071428571428573,0.125,0.025000000000000005,0.025000000000000005,0.425,38.025
Successions,#tysapherne,#artaban,#xerces,#merodate,#artaxerce,#amestris,#barsine,#arsace,#cleone,#darius,#phenice
#tysapherne,0.0,0.7777777777777778,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.1111111111111111,0.0
#artaban,0.14583333333333334,0.0625,0.10416666666666667,0.0,0.08333333333333333,0.041666666666666664,0.10416666666666667,0.0,0.0,0.4583333333333333,0.0
#xerces,0.037037037037037035,0.18518518518518517,0.14814814814814814,0.07407407407407407,0.07407407407407407,0.2962962962962963,0.037037037037037035,0.0,0.0,0.14814814814814814,0.0
#merodate,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#artaxerce,0.058823529411764705,0.20588235294117646,0.058823529411764705,0.0,0.029411764705882353,0.14705882352941177,0.0,0.0,0.0,0.5,0.0
#amestris,0.0,0.07692307692307693,0.3076923076923077,0.0,0.11538461538461539,0.0,0.0,0.0,0.0,0.4230769230769231,0.07692307692307693
#barsine,0.0,0.4166666666666667,0.0,0.0,0.08333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.25,0.0
#arsace,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
#arsace,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
#darius,0.0,0.31666666666666665,0.1,0.0,0.35,0.13333333333333333,0.06666666666666667,0.0,0.0,0.03333333333333333,0.0
#phenice,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
