VALEUR,#jupiter #venus #le-choeur,#venus,#choeur,#jupiter #venus,#momus,#jupiter,#choeur-des-deesses,#mercure,#le-choeur-des-dieux,#le-carnaval,#plutus #la-jeunesse,#plutus,#la-jeunesse,#la-folie,#la-folie #le-lethe,#le-chef-des-matelots,#le-lethe,#le-chef-des-matelots #le-choeur,#la-folie #le-choeur,#choeur-des-suivantes-de-la-folie,#le-professeur-de-folie,#choeur-de-la-suite-de-la-folie,#le-poete,#le-musicien #le-choeur,#bacchus
Fréquences (scènes),0.047619047619047616,0.09523809523809523,0.2857142857142857,0.09523809523809523,0.5238095238095238,0.14285714285714285,0.047619047619047616,0.09523809523809523,0.047619047619047616,0.5238095238095238,0.14285714285714285,0.047619047619047616,0.047619047619047616,0.47619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.14285714285714285,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616
Fréquences(répliques),0.00554016620498615,0.04016620498614958,0.04986149584487535,0.019390581717451522,0.1523545706371191,0.027700831024930747,0.008310249307479225,0.013850415512465374,0.002770083102493075,0.2077562326869806,0.036011080332409975,0.024930747922437674,0.012465373961218837,0.28254847645429365,0.0013850415512465374,0.006925207756232687,0.0110803324099723,0.00554016620498615,0.024930747922437674,0.013850415512465374,0.019390581717451522,0.004155124653739612,0.006925207756232687,0.019390581717451522,0.002770083102493075
Confrontation,0.022388059701492536,0.05223880597014925,0.11940298507462686,0.05223880597014925,0.08955223880597014,0.06343283582089553,0.022388059701492536,0.041044776119402986,0.011194029850746268,0.08582089552238806,0.026119402985074626,0.007462686567164179,0.007462686567164179,0.09701492537313433,0.011194029850746268,0.018656716417910446,0.018656716417910446,0.018656716417910446,0.07462686567164178,0.026119402985074626,0.026119402985074626,0.026119402985074626,0.026119402985074626,0.026119402985074626,0.029850746268656716
Déviations,#jupiter #venus #le-choeur,#venus,#choeur,#jupiter #venus,#momus,#jupiter,#choeur-des-deesses,#mercure,#le-choeur-des-dieux,#le-carnaval,#plutus #la-jeunesse,#plutus,#la-jeunesse,#la-folie,#la-folie #le-lethe,#le-chef-des-matelots,#le-lethe,#le-chef-des-matelots #le-choeur,#la-folie #le-choeur,#choeur-des-suivantes-de-la-folie,#le-professeur-de-folie,#choeur-de-la-suite-de-la-folie,#le-poete,#le-musicien #le-choeur,#bacchus
#jupiter #venus #le-choeur,19.047619047619047,8.595238095238097,1.7857142857142858,8.595238095238097,0.43290043290043284,5.142857142857144,19.047619047619047,0.09523809523809523,0.047619047619047616,0.5238095238095238,0.14285714285714285,0.047619047619047616,0.047619047619047616,0.47619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.14285714285714285,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616
#venus,8.595238095238097,17.190476190476193,3.5714285714285716,17.190476190476193,0.8658008658008657,10.285714285714288,8.595238095238097,3.4404761904761907,0.09523809523809523,0.002164502164502169,0.2857142857142857,0.09523809523809523,0.09523809523809523,0.9523809523809523,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.09523809523809523,1.7857142857142858,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.09523809523809523,8.595238095238097
#choeur,1.7857142857142858,3.5714285714285716,10.714285714285714,3.5714285714285716,0.4155844155844158,1.5238095238095237,1.7857142857142858,0.3214285714285715,0.2857142857142857,0.006493506493506528,0.023809523809523826,0.2857142857142857,0.2857142857142857,0.45714285714285746,1.7857142857142858,1.7857142857142858,1.7857142857142858,1.7857142857142858,5.357142857142857,1.7857142857142858,1.7857142857142858,1.7857142857142858,1.7857142857142858,1.7857142857142858,1.7857142857142858
#venus,8.595238095238097,17.190476190476193,3.5714285714285716,17.190476190476193,0.8658008658008657,10.285714285714288,8.595238095238097,3.4404761904761907,0.09523809523809523,0.002164502164502169,0.2857142857142857,0.09523809523809523,0.09523809523809523,0.9523809523809523,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.09523809523809523,1.7857142857142858,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.09523809523809523,8.595238095238097
#momus,0.4329004329004331,0.8658008658008662,0.41558441558441556,0.8658008658008662,4.761904761904762,1.2987012987012987,0.4329004329004331,0.8658008658008662,0.4329004329004331,0.10074773711137346,1.5714285714285714,0.5238095238095237,0.5238095238095237,0.9562770562770564,0.5238095238095237,0.5238095238095237,0.5238095238095237,0.5238095238095237,0.20779220779220778,0.5238095238095237,0.5238095238095237,0.5238095238095237,0.5238095238095237,0.5238095238095237,0.4329004329004331
#jupiter,5.142857142857144,10.285714285714288,1.5238095238095237,10.285714285714288,1.2987012987012982,15.428571428571432,5.142857142857144,10.285714285714288,5.142857142857144,0.2077922077922079,0.42857142857142855,0.14285714285714285,0.14285714285714285,1.4285714285714284,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.7619047619047619,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,5.142857142857144
#jupiter #venus #le-choeur,19.047619047619047,8.595238095238097,1.7857142857142858,8.595238095238097,0.43290043290043284,5.142857142857144,19.047619047619047,0.09523809523809523,0.047619047619047616,0.5238095238095238,0.14285714285714285,0.047619047619047616,0.047619047619047616,0.47619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.14285714285714285,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616
#mercure,0.09523809523809523,3.4404761904761907,0.3214285714285715,3.4404761904761907,0.8658008658008657,10.285714285714288,0.09523809523809523,17.190476190476193,8.595238095238097,0.002164502164502169,0.2857142857142857,0.09523809523809523,0.09523809523809523,0.9523809523809523,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.09523809523809523,1.7857142857142858,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.09523809523809523,8.595238095238097
#le-choeur-des-dieux,0.047619047619047616,0.09523809523809523,0.2857142857142857,0.09523809523809523,0.43290043290043284,5.142857142857144,0.047619047619047616,8.595238095238097,19.047619047619047,0.5238095238095238,0.14285714285714285,0.047619047619047616,0.047619047619047616,0.47619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.14285714285714285,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616
