VALEUR,#la-sultane,#un-esclave,#l-aga,#corchut,#selim,#l-esclave,#haly,#izaïde,#bajazet,#herzegoglis,#achmet
Fréquences (scènes),0.2916666666666667,0.041666666666666664,0.375,0.25,0.5,0.08333333333333333,0.2916666666666667,0.041666666666666664,0.125,0.08333333333333333,0.041666666666666664
Fréquences(répliques),0.17771739130434783,0.0005434782608695652,0.12445652173913044,0.0983695652173913,0.23315217391304346,0.002717391304347826,0.1559782608695652,0.034782608695652174,0.08858695652173913,0.08152173913043478,0.002173913043478261
Confrontation,0.0975609756097561,0.024390243902439025,0.2073170731707317,0.12195121951219512,0.18292682926829268,0.036585365853658534,0.15853658536585366,0.012195121951219513,0.06097560975609756,0.04878048780487805,0.04878048780487805
Déviations,#la-sultane,#un-esclave,#l-aga,#corchut,#selim,#l-esclave,#haly,#izaïde,#bajazet,#herzegoglis,#achmet
#la-sultane,12.041666666666664,1.7202380952380956,0.1488095238095238,0.03571428571428571,0.6428571428571429,0.5833333333333333,2.041666666666667,0.29166666666666663,0.875,0.5833333333333333,1.7202380952380956
#un-esclave,1.720238095238095,22.04166666666667,1.0416666666666667,0.25,0.5,0.08333333333333333,0.2916666666666667,0.041666666666666664,0.125,0.08333333333333333,0.041666666666666664
#l-aga,0.1488095238095238,1.0416666666666667,9.375,0.027777777777777776,0.05555555555555555,0.08333333333333333,0.7202380952380952,0.375,0.013888888888888888,0.75,1.0416666666666667
#corchut,0.03571428571428571,0.25,0.027777777777777776,13.5,0.0,0.5,0.03571428571428571,0.25,0.75,0.5,2.25
#selim,0.6428571428571429,0.5,0.05555555555555555,0.0,6.0,0.0,0.6428571428571429,0.5,1.5,1.0,0.5
#l-esclave,0.5833333333333334,0.08333333333333333,0.08333333333333333,0.5,0.0,20.166666666666664,0.29761904761904756,0.08333333333333333,0.25,0.16666666666666666,0.08333333333333333
#haly,2.041666666666667,0.29166666666666663,0.7202380952380952,0.03571428571428571,0.6428571428571429,0.2976190476190477,12.041666666666664,0.29166666666666663,1.4464285714285714,3.440476190476191,0.29166666666666663
#izaïde,0.2916666666666667,0.041666666666666664,0.375,0.25,0.5,0.08333333333333333,0.2916666666666667,22.04166666666667,0.125,0.08333333333333333,0.041666666666666664
#bajazet,0.875,0.125,0.013888888888888888,0.75,1.5,0.25,1.4464285714285714,0.125,18.375,12.25,0.125
#herzegoglis,0.5833333333333334,0.08333333333333333,0.75,0.5,1.0,0.16666666666666666,3.44047619047619,0.08333333333333333,12.25,20.166666666666664,0.08333333333333333
#achmet,1.720238095238095,0.041666666666666664,1.0416666666666667,2.25,0.5,0.08333333333333333,0.2916666666666667,0.041666666666666664,0.125,0.08333333333333333,22.04166666666667
Successions,#la-sultane,#un-esclave,#l-aga,#corchut,#selim,#l-esclave,#haly,#izaïde,#bajazet,#herzegoglis,#achmet
#la-sultane,0.0,0.023809523809523808,0.35714285714285715,0.19047619047619047,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0
#un-esclave,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#l-aga,0.3953488372093023,0.0,0.0,0.0,0.37209302325581395,0.023255813953488372,0.18604651162790697,0.0,0.023255813953488372,0.0,0.0
#corchut,0.375,0.0,0.041666666666666664,0.0,0.3333333333333333,0.0,0.16666666666666666,0.0,0.0,0.0,0.08333333333333333
#selim,0.22535211267605634,0.0,0.22535211267605634,0.14084507042253522,0.056338028169014086,0.014084507042253521,0.056338028169014086,0.23943661971830985,0.014084507042253521,0.0,0.028169014084507043
#l-esclave,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0,0.0
#haly,0.0,0.0,0.34615384615384615,0.15384615384615385,0.19230769230769232,0.038461538461538464,0.038461538461538464,0.0,0.19230769230769232,0.038461538461538464,0.0
#izaïde,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#bajazet,0.0,0.0,0.1,0.0,0.1,0.0,0.4,0.0,0.2,0.2,0.0
#herzegoglis,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0
#achmet,0.0,0.0,0.25,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0
