VALEUR,#rosandre,#luciane,#oronte,#almedor,#philante,#belise,#clorian,#doriste,#braside
Fréquences (scènes),0.30303030303030304,0.2727272727272727,0.30303030303030304,0.2727272727272727,0.30303030303030304,0.3333333333333333,0.2727272727272727,0.18181818181818182,0.15151515151515152
Fréquences(répliques),0.10188189487345879,0.11096690460739779,0.22323166774821546,0.12199870214146658,0.1382219338092148,0.16807268007787152,0.06229720960415315,0.053212199870214145,0.020116807268007787
Confrontation,0.12755102040816327,0.10714285714285714,0.12244897959183673,0.12755102040816327,0.11734693877551021,0.11734693877551021,0.11734693877551021,0.0663265306122449,0.09693877551020408
Déviations,#rosandre,#luciane,#oronte,#almedor,#philante,#belise,#clorian,#doriste,#braside
#rosandre,16.03030303030303,0.5939393939393942,0.31030303030303036,10.193939393939397,0.3503030303030303,0.5333333333333331,0.19393939393939383,0.3681818181818183,0.15515151515151518
#luciane,0.5939393939393937,17.45454545454546,0.5939393939393937,0.12121212121212141,1.0939393939393942,1.3333333333333333,0.8619528619528616,0.08080808080808076,0.09696969696969703
#oronte,0.31030303030303036,0.5939393939393942,16.03030303030303,0.027272727272727317,0.0003030303030303025,0.5333333333333331,0.027272727272727317,0.3681818181818183,4.075151515151515
#almedor,10.193939393939393,0.12121212121212141,0.02727272727272722,17.45454545454546,0.19393939393939405,0.0,0.08417508417508404,0.08080808080808076,0.29696969696969683
#philante,0.3503030303030303,1.0939393939393938,0.0003030303030303025,0.19393939393939383,16.03030303030303,0.03333333333333328,6.693939393939396,0.3681818181818183,4.075151515151515
#belise,0.5333333333333334,1.3333333333333333,0.5333333333333334,0.0,0.03333333333333336,14.66666666666667,0.0,2.0,0.2666666666666667
#clorian,0.19393939393939405,0.8619528619528616,0.02727272727272722,0.08417508417508404,6.6939393939393925,0.0,17.45454545454546,0.24747474747474754,5.096969696969697
#doriste,0.3681818181818183,0.08080808080808087,0.3681818181818183,0.08080808080808087,0.3681818181818183,2.0,0.2474747474747474,22.090909090909093,0.009090909090909073
#braside,0.15515151515151518,0.09696969696969691,4.075151515151515,0.2969696969696971,4.075151515151515,0.26666666666666655,5.0969696969696985,0.009090909090909073,23.757575757575754
Successions,#rosandre,#luciane,#oronte,#almedor,#philante,#belise,#clorian,#doriste,#braside
#rosandre,0.0,0.35,0.075,0.425,0.025,0.075,0.05,0.0,0.0
#luciane,0.35294117647058826,0.0,0.3235294117647059,0.0,0.0,0.29411764705882354,0.029411764705882353,0.0,0.0
#oronte,0.125,0.25,0.0,0.05,0.275,0.125,0.075,0.0,0.1
#almedor,0.46153846153846156,0.0,0.05128205128205128,0.0,0.28205128205128205,0.10256410256410256,0.02564102564102564,0.05128205128205128,0.02564102564102564
#philante,0.0425531914893617,0.0,0.2127659574468085,0.2978723404255319,0.0,0.14893617021276595,0.1702127659574468,0.02127659574468085,0.10638297872340426
#belise,0.075,0.25,0.075,0.1,0.225,0.0,0.075,0.175,0.025
#clorian,0.0,0.0,0.09523809523809523,0.047619047619047616,0.42857142857142855,0.19047619047619047,0.0,0.047619047619047616,0.19047619047619047
#doriste,0.0,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.6363636363636364,0.09090909090909091,0.0,0.0
#braside,0.06666666666666667,0.0,0.4666666666666667,0.0,0.3333333333333333,0.0,0.13333333333333333,0.0,0.0
