VALEUR,#zaïre,#asterie,#themir,#mirsas,#tamerlan,#axalla,#odmar,#adanaxe,#bajazet,#ciarcan
Fréquences (scènes),0.06060606060606061,0.36363636363636365,0.24242424242424243,0.030303030303030304,0.5151515151515151,0.21212121212121213,0.06060606060606061,0.3333333333333333,0.18181818181818182,0.030303030303030304
Fréquences(répliques),0.029906542056074768,0.22305295950155762,0.1059190031152648,0.006853582554517134,0.24361370716510902,0.06853582554517133,0.03426791277258567,0.17694704049844237,0.10654205607476636,0.004361370716510903
Confrontation,0.023809523809523808,0.17857142857142858,0.10714285714285714,0.011904761904761904,0.23809523809523808,0.10714285714285714,0.03571428571428571,0.16666666666666666,0.11904761904761904,0.011904761904761904
Déviations,#zaïre,#asterie,#themir,#mirsas,#tamerlan,#axalla,#odmar,#adanaxe,#bajazet,#ciarcan
#zaïre,29.12121212121212,2.227272727272727,0.48484848484848486,0.06060606060606061,1.0303030303030303,0.4242424242424243,0.12121212121212122,0.6666666666666666,0.36363636363636365,0.06060606060606061
#asterie,2.227272727272727,13.363636363636367,0.0028409090909090854,0.36363636363636365,1.6377005347593583,0.9383116883116882,0.7272727272727273,0.25,0.30681818181818193,0.36363636363636365
#themir,0.48484848484848486,0.0028409090909090854,18.939393939393938,2.367424242424242,0.3050356506238859,1.6969696969696972,0.48484848484848486,0.1666666666666666,1.4545454545454546,0.24242424242424243
#mirsas,0.06060606060606061,0.36363636363636365,2.367424242424242,31.03030303030303,0.5151515151515151,0.21212121212121215,0.06060606060606061,0.3333333333333333,0.18181818181818182,0.030303030303030304
#tamerlan,1.0303030303030303,1.6377005347593583,0.3050356506238859,0.5151515151515151,7.757575757575757,0.04303539597657247,0.9126559714795011,0.07843137254901947,0.38502673796791437,0.45632798573975053
#axalla,0.4242424242424243,0.9383116883116882,1.6969696969696972,0.21212121212121215,0.04303539597657247,20.484848484848488,0.7813852813852812,0.7619047619047616,0.4155844155844156,0.21212121212121215
#odmar,0.12121212121212122,0.7272727272727273,0.48484848484848486,0.06060606060606061,0.9126559714795011,0.7813852813852812,29.12121212121212,0.6666666666666666,0.36363636363636365,0.06060606060606061
#adanaxe,0.6666666666666667,0.25,0.1666666666666668,0.33333333333333337,0.07843137254901947,0.761904761904762,0.6666666666666667,14.66666666666667,0.5,0.33333333333333337
#bajazet,0.36363636363636365,0.30681818181818193,1.4545454545454546,0.18181818181818182,0.38502673796791437,0.4155844155844156,0.36363636363636365,0.5,22.090909090909093,0.18181818181818182
#ciarcan,0.06060606060606061,0.36363636363636365,0.24242424242424243,0.030303030303030304,0.45632798573975053,0.21212121212121215,0.06060606060606061,0.3333333333333333,0.18181818181818182,31.03030303030303
Successions,#zaïre,#asterie,#themir,#mirsas,#tamerlan,#axalla,#odmar,#adanaxe,#bajazet,#ciarcan
#zaïre,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#asterie,0.18032786885245902,0.0,0.06557377049180328,0.0,0.13114754098360656,0.01639344262295082,0.0,0.3770491803278688,0.22950819672131148,0.0
#themir,0.0,0.18181818181818182,0.0,0.12121212121212122,0.48484848484848486,0.0,0.0,0.21212121212121213,0.0,0.0
#mirsas,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#tamerlan,0.0,0.11842105263157894,0.23684210526315788,0.0,0.05263157894736842,0.14473684210526316,0.05263157894736842,0.23684210526315788,0.14473684210526316,0.013157894736842105
#axalla,0.0,0.09090909090909091,0.0,0.0,0.5,0.0,0.0,0.22727272727272727,0.18181818181818182,0.0
#odmar,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
#adanaxe,0.0,0.3333333333333333,0.1111111111111111,0.0,0.3333333333333333,0.06349206349206349,0.0,0.0,0.15873015873015872,0.0
#bajazet,0.0,0.325,0.0,0.0,0.25,0.15,0.0,0.25,0.025,0.0
#odmar,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
