VALEUR,#armande,#henriette,#clitandre,#belise,#ariste,#chrysale,#martine,#philaminte,#trissotin,#l-epine,#armande #belise,#philaminte #armande #belise,#vadius,#julien,#le-notaire
Fréquences (scènes),0.42857142857142855,0.4642857142857143,0.39285714285714285,0.35714285714285715,0.2857142857142857,0.4642857142857143,0.14285714285714285,0.4642857142857143,0.25,0.07142857142857142,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571
Fréquences(répliques),0.11899791231732777,0.12943632567849686,0.14561586638830898,0.0824634655532359,0.06315240083507306,0.14248434237995825,0.028183716075156576,0.16022964509394572,0.08663883089770355,0.0015657620041753654,0.0010438413361169101,0.0020876826722338203,0.029749478079331943,0.0020876826722338203,0.006263048016701462
Confrontation,0.11560693641618497,0.13005780346820808,0.10115606936416185,0.11560693641618497,0.05491329479768786,0.10115606936416185,0.03757225433526012,0.13583815028901733,0.08670520231213873,0.03757225433526012,0.02023121387283237,0.02023121387283237,0.017341040462427744,0.008670520231213872,0.017341040462427744
Déviations,#armande,#henriette,#clitandre,#belise,#ariste,#chrysale,#martine,#philaminte,#trissotin,#l-epine,#armande #belise,#philaminte #armande #belise,#vadius,#julien,#le-notaire
#armande,9.142857142857146,0.3663003663003665,0.35064935064935054,0.019047619047619032,0.5952380952380951,2.2893772893772892,1.7142857142857142,1.0586080586080588,1.3333333333333333,1.5238095238095237,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.42857142857142855
#henriette,0.3663003663003665,8.035714285714286,0.7015484515484519,0.02747252747252741,0.13736263736263726,0.1777261200338123,0.010989010989011016,0.1777261200338123,0.9423076923076923,1.2362637362637368,0.6181318681318684,0.6181318681318684,0.6181318681318684,0.46428571428571425,0.6181318681318684
#clitandre,0.35064935064935054,0.7015484515484511,10.321428571428573,0.21948051948051958,0.006493506493506488,0.002247752247752269,0.11688311688311691,0.002247752247752269,0.20454545454545456,0.7857142857142857,0.39285714285714285,0.39285714285714285,0.39285714285714285,0.9383116883116885,0.9383116883116885
#belise,0.019047619047619032,0.02747252747252741,0.21948051948051941,11.571428571428571,0.25714285714285695,0.02747252747252741,0.22857142857142873,2.427472527472527,2.5,2.314285714285715,1.1571428571428575,1.1571428571428575,1.1571428571428575,0.3571428571428571,1.1571428571428575
#ariste,0.5952380952380951,0.13736263736263743,0.006493506493506488,0.2571428571428572,14.285714285714286,2.906593406593406,1.1428571428571428,1.9835164835164836,0.5,0.5714285714285714,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857
#chrysale,2.2893772893772892,0.1777261200338123,0.002247752247752232,0.02747252747252741,2.9065934065934074,8.035714285714286,2.4725274725274735,0.1777261200338123,1.5576923076923077,0.9285714285714285,0.46428571428571425,0.46428571428571425,0.46428571428571425,0.46428571428571425,0.6181318681318684
#martine,1.7142857142857142,0.010989010989010978,0.11688311688311691,0.22857142857142854,1.1428571428571428,2.472527472527472,20.571428571428577,0.010989010989010978,1.0,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,5.142857142857144
#philaminte,1.0586080586080588,0.1777261200338123,0.002247752247752232,2.427472527472527,1.9835164835164831,0.1777261200338123,0.010989010989011016,8.035714285714286,2.326923076923077,1.2362637362637368,0.6181318681318684,0.6181318681318684,0.6181318681318684,0.6181318681318684,0.6181318681318684
#trissotin,1.3333333333333333,0.9423076923076923,0.20454545454545456,2.5,0.5,1.5576923076923077,1.0,2.326923076923077,15.75,4.5,2.25,2.25,2.25,0.25,0.25
#l-epine,1.5238095238095237,1.236263736263736,0.7857142857142857,2.3142857142857136,0.5714285714285714,0.9285714285714286,0.2857142857142857,1.236263736263736,4.5,24.142857142857146,12.071428571428573,12.071428571428573,12.071428571428573,0.07142857142857142,0.07142857142857142
#armande #belise,0.7619047619047619,0.618131868131868,0.39285714285714285,1.1571428571428568,0.2857142857142857,0.4642857142857143,0.14285714285714285,0.618131868131868,2.25,12.071428571428573,26.03571428571429,26.03571428571429,0.03571428571428571,0.03571428571428571,0.03571428571428571
#armande #belise,0.7619047619047619,0.618131868131868,0.39285714285714285,1.1571428571428568,0.2857142857142857,0.4642857142857143,0.14285714285714285,0.618131868131868,2.25,12.071428571428573,26.03571428571429,26.03571428571429,0.03571428571428571,0.03571428571428571,0.03571428571428571
#vadius,0.7619047619047619,0.618131868131868,0.39285714285714285,1.1571428571428568,0.2857142857142857,0.4642857142857143,0.14285714285714285,0.618131868131868,2.25,12.071428571428573,0.03571428571428571,0.03571428571428571,26.03571428571429,0.03571428571428571,0.03571428571428571
