VALEUR,#placide,#cleobule,#marcelle,#stephanie,#valens,#theodore,#paulin,#lycante,#didyme
Fréquences (scènes),0.3870967741935484,0.2903225806451613,0.3548387096774194,0.1935483870967742,0.22580645161290322,0.3225806451612903,0.2903225806451613,0.06451612903225806,0.16129032258064516
Fréquences(répliques),0.26889460154241646,0.07763496143958869,0.18766066838046272,0.043701799485861184,0.09871465295629821,0.1506426735218509,0.09768637532133675,0.009768637532133676,0.06529562982005141
Confrontation,0.17,0.11,0.15,0.07,0.09,0.15,0.14,0.03,0.09
Déviations,#placide,#cleobule,#marcelle,#stephanie,#valens,#theodore,#paulin,#lycante,#didyme
#placide,11.645161290322584,0.06720430107526894,0.3717008797653958,0.044802867383512475,1.0787250384024576,0.9043010752688172,0.07646356033452793,0.06586021505376345,0.4521505376344086
#cleobule,0.06720430107526883,15.612903225806448,1.5066797002280876,1.7419354838709677,0.5243215565796211,0.2810035842293907,0.995619275189168,0.30286738351254494,0.20716845878136197
#marcelle,0.3717008797653958,1.5066797002280876,12.903225806451612,0.007820136852394903,0.10724759111855885,0.08475073313782991,0.4460736396220269,0.7096774193548389,0.3378299120234604
#stephanie,0.044802867383512475,1.741935483870968,0.007820136852394903,20.16129032258065,0.09293394777265741,0.4521505376344086,1.741935483870968,0.9704301075268817,0.967741935483871
#valens,1.0787250384024576,0.5243215565796211,0.10724759111855885,0.09293394777265741,18.580645161290327,0.7009216589861749,0.0005120327700972854,0.45161290322580644,1.129032258064516
#theodore,0.9043010752688172,0.2810035842293907,0.08475073313783002,0.4521505376344086,0.7009216589861749,14.225806451612906,0.0032258064516128976,0.6451612903225806,1.1929032258064518
#paulin,0.07646356033452807,0.995619275189168,0.4460736396220269,1.7419354838709677,0.0005120327700972854,0.0032258064516128976,15.612903225806448,0.5806451612903225,0.20716845878136197
#lycante,0.06586021505376345,0.3028673835125447,0.7096774193548389,0.9704301075268817,0.45161290322580644,0.6451612903225806,0.5806451612903226,27.12903225806452,0.3225806451612903
#didyme,0.4521505376344086,0.20716845878136197,0.3378299120234605,0.967741935483871,1.129032258064516,1.1929032258064518,0.20716845878136197,0.3225806451612903,21.806451612903224
Successions,#placide,#cleobule,#marcelle,#stephanie,#valens,#theodore,#paulin,#lycante,#didyme
#placide,0.011111111111111112,0.16666666666666666,0.3111111111111111,0.08888888888888889,0.022222222222222223,0.06666666666666667,0.23333333333333334,0.044444444444444446,0.05555555555555555
#cleobule,0.42857142857142855,0.02857142857142857,0.08571428571428572,0.02857142857142857,0.11428571428571428,0.11428571428571428,0.08571428571428572,0.02857142857142857,0.08571428571428572
#marcelle,0.39473684210526316,0.039473684210526314,0.05263157894736842,0.10526315789473684,0.18421052631578946,0.15789473684210525,0.02631578947368421,0.0,0.039473684210526314
#stephanie,0.24,0.0,0.4,0.0,0.28,0.04,0.0,0.04,0.0
#valens,0.05,0.1,0.375,0.175,0.05,0.075,0.175,0.0,0.0
#theodore,0.13157894736842105,0.10526315789473684,0.34210526315789475,0.02631578947368421,0.07894736842105263,0.02631578947368421,0.18421052631578946,0.0,0.10526315789473684
#paulin,0.5365853658536586,0.04878048780487805,0.07317073170731707,0.0,0.17073170731707318,0.14634146341463414,0.0,0.0,0.024390243902439025
#lycante,0.8333333333333334,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#didyme,0.29411764705882354,0.29411764705882354,0.0,0.0,0.0,0.29411764705882354,0.058823529411764705,0.0,0.058823529411764705
