VALEUR,#dolicard,#anselme,#buscarino,#dolicard #anselme,#lericourt,#lucinet,#ensemble,#stanislas,#deligny,#tous
Fréquences (scènes),1.0,0.7272727272727273,0.18181818181818182,0.2727272727272727,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091
Fréquences(répliques),0.15151515151515152,0.1111111111111111,0.1414141414141414,0.04040404040404041,0.06060606060606061,0.10101010101010101,0.020202020202020204,0.35353535353535354,0.0,0.020202020202020204
Confrontation,0.2714285714285714,0.2571428571428571,0.07142857142857142,0.14285714285714285,0.04285714285714286,0.05714285714285714,0.05714285714285714,0.014285714285714285,0.04285714285714286,0.04285714285714286
Déviations,#dolicard,#anselme,#buscarino,#dolicard #anselme,#lericourt,#lucinet,#ensemble,#stanislas,#deligny,#tous
#dolicard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#anselme,0.0,0.818181818181818,0.2045454545454545,0.30681818181818193,0.10227272727272725,0.10227272727272725,0.10227272727272725,0.7272727272727273,0.10227272727272725,0.10227272727272725
#buscarino,0.0,0.2045454545454545,7.363636363636362,0.3787878787878789,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182
#dolicard #anselme,0.0,0.30681818181818193,0.3787878787878789,5.8181818181818175,1.9393939393939397,1.9393939393939397,1.9393939393939397,0.2727272727272727,0.2727272727272727,0.2727272727272727
#lericourt,0.0,0.10227272727272725,0.18181818181818182,1.9393939393939397,9.09090909090909,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091
#lucinet,0.0,0.10227272727272725,0.18181818181818182,1.9393939393939397,0.09090909090909091,9.09090909090909,9.09090909090909,0.09090909090909091,0.09090909090909091,0.09090909090909091
#lucinet,0.0,0.10227272727272725,0.18181818181818182,1.9393939393939397,0.09090909090909091,9.09090909090909,9.09090909090909,0.09090909090909091,0.09090909090909091,0.09090909090909091
#stanislas,0.0,0.7272727272727273,0.18181818181818182,0.2727272727272727,0.09090909090909091,0.09090909090909091,0.09090909090909091,9.09090909090909,0.09090909090909091,0.09090909090909091
#deligny,0.0,0.10227272727272725,0.18181818181818182,0.2727272727272727,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,9.09090909090909,9.09090909090909
#deligny,0.0,0.10227272727272725,0.18181818181818182,0.2727272727272727,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,9.09090909090909,9.09090909090909
Successions,#dolicard,#anselme,#buscarino,#dolicard #anselme,#lericourt,#lucinet,#ensemble,#stanislas,#deligny,#tous
#dolicard,0.05555555555555555,0.2638888888888889,0.1111111111111111,0.027777777777777776,0.20833333333333334,0.18055555555555555,0.0,0.1111111111111111,0.041666666666666664,0.0
#anselme,0.7857142857142857,0.0,0.17857142857142858,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0
#buscarino,0.5,0.375,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#dolicard #anselme,0.0,0.0,0.2,0.0,0.2,0.4,0.2,0.0,0.0,0.0
#lericourt,0.8823529411764706,0.058823529411764705,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0
#lucinet,0.75,0.125,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0
#ensemble,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
#stanislas,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#stanislas,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#stanislas,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
